datetime,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_solar_production_forecast,avg_other_production_forecast
2023-06-27 00:00:00,3.900626796611891,300.6852276885045,295.92061885503574,1.9486388841001143,0.3861070397094678,14685.78138,3709.09526,11036.25977,4503483.75061
2023-06-27 01:00:00,3.900626796611891,300.6852276885045,295.92061885503574,1.9486388841001143,0.3861070397094678,13949.71985,3713.69437,6677.43994,2724812.83609
2023-06-27 02:00:00,3.900626796611891,300.6852276885045,295.92061885503574,1.9486388841001143,0.3861070397094678,13048.79018,3722.72615,1746.82996,712815.79894
2023-06-27 03:00:00,3.900626796611891,300.6852276885045,295.92061885503574,1.9486388841001143,0.3861070397094678,12049.66252,3727.32384,6.09,2485.10069
2023-06-27 04:00:00,3.767107131929068,300.224900475738,295.90140816750613,1.9486388841001143,0.3861070397094678,10946.54058,3726.9069,0.0,0.0
2023-06-27 05:00:00,3.767107131929068,300.224900475738,295.90140816750613,1.9486388841001143,0.3861070397094678,9971.23927,3716.68143,0.0,0.0
2023-06-27 06:00:00,3.767107131929068,300.224900475738,295.90140816750613,1.9486388841001143,0.3861070397094678,8802.38057,3721.03925,0.0,0.0
2023-06-27 07:00:00,3.34133256150999,299.8844960026232,295.6261177640073,0.9742966409072792,0.6481890073934331,7891.12529,3684.15476,0.0,0.0
2023-06-27 08:00:00,3.34133256150999,299.8844960026232,295.6261177640073,0.9742966409072792,0.6481890073934331,7389.4828,3685.16383,0.0,0.0
2023-06-27 09:00:00,3.34133256150999,299.8844960026232,295.6261177640073,0.9742966409072792,0.6481890073934331,7081.2091,3689.70391,0.0,0.0
2023-06-27 10:00:00,3.147421586902274,300.4547252065937,295.7399614648621,0.0,0.7673291332968458,7255.81338,3720.04978,0.0,0.0
2023-06-27 11:00:00,3.147421586902274,300.4547252065937,295.7399614648621,0.0,0.7673291332968458,7621.92562,3719.88003,0.0,0.0
2023-06-27 12:00:00,3.147421586902274,300.4547252065937,295.7399614648621,0.0,0.7673291332968458,8350.87141,3721.36813,45.7,18648.45656
2023-06-27 13:00:00,3.0679272156452964,302.61286569332844,295.4340112817793,22.82888529560456,0.8698190502349702,9409.28649,3718.65895,2600.8501,1061309.39297
2023-06-27 14:00:00,3.0679272156452964,302.61286569332844,295.4340112817793,22.82888529560456,0.8698190502349702,10559.53823,3712.64729,8045.60986,3283111.67484
2023-06-27 15:00:00,3.0679272156452964,302.61286569332844,295.4340112817793,22.82888529560456,0.8698190502349702,11568.8066,3713.45167,11741.2998,4791184.15155
2023-06-27 16:00:00,3.452578771081651,304.0652995777035,295.1045835662352,537.609758333924,1.0032222594726894,12808.69837,3680.2356,13072.48047,5334389.06128
2023-06-27 17:00:00,3.452578771081651,304.0652995777035,295.1045835662352,537.609758333924,1.0032222594726894,13664.70596,3706.72086,13704.61035,5592337.56158
2023-06-27 18:00:00,3.452578771081651,304.0652995777035,295.1045835662352,537.609758333924,1.0032222594726894,14470.37904,3723.64101,14054.7002,5735196.09845
2023-06-27 19:00:00,4.271098106253484,304.1229888187684,295.1512926040258,737.820967002889,1.1000258511590182,14876.53566,3694.45979,14132.87988,5767098.29718
2023-06-27 20:00:00,4.271098106253484,304.1229888187684,295.1512926040258,737.820967002889,1.1000258511590182,15457.73146,3668.1313,14080.08984,5745556.66187
2023-06-27 21:00:00,4.271098106253484,304.1229888187684,295.1512926040258,737.820967002889,1.1000258511590182,15409.93824,3669.87367,13935.28027,5686465.30658
2023-06-27 22:00:00,4.333457562857007,302.20784919081365,295.9971306417989,819.4023160467289,1.1492442922533106,15405.8142,3669.0778,13549.28027,5528953.18158
2023-06-27 23:00:00,4.333457562857007,302.20784919081365,295.9971306417989,819.4023160467289,1.1492442922533106,14925.51669,3688.9817,12807.84961,5226403.13123
2023-06-28 00:00:00,4.333457562857007,302.20784919081365,295.9971306417989,819.4023160467289,1.1492442922533106,14495.3821,3690.41432,0.0,2202459.16296
2023-06-28 01:00:00,3.8701153661128855,300.95371967752453,295.8913639791183,561.1609758581438,1.4731563656898237,13735.81891,3695.16028,0.0,2405130.73596
2023-06-28 02:00:00,3.8701153661128855,300.95371967752453,295.8913639791183,561.1609758581438,1.4731563656898237,12808.16586,3704.17671,0.0,2176963.02744
2023-06-28 03:00:00,3.8701153661128855,300.95371967752453,295.8913639791183,561.1609758581438,1.4731563656898237,11778.26992,3708.4885,44.53757,1601805.30966
