Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,nuclear,oil,solar,other
41568,2023-10-15 00:00:00,2024-07-17 00:00:00,3.1,457.22,14168.0,2841.0,0.0,0.0,3297.0
41569,2023-10-15 01:00:00,2024-07-17 00:00:00,3.1,455.79,13263.0,2842.0,0.0,0.0,3307.0
41570,2023-10-15 02:00:00,2024-07-17 00:00:00,3.1,452.29,12426.0,2845.0,0.0,0.0,3165.0
41571,2023-10-15 03:00:00,2024-07-17 00:00:00,3.1,448.46,11312.0,2847.0,0.0,0.0,3072.0
41572,2023-10-15 04:00:00,2024-07-17 00:00:00,3.1,443.78,10046.0,2848.0,0.0,0.0,2987.0
41573,2023-10-15 05:00:00,2024-07-17 00:00:00,3.1,432.12,9156.0,2849.0,0.0,0.0,2490.0
41574,2023-10-15 06:00:00,2024-07-17 00:00:00,3.1,424.39,8272.0,2848.0,0.0,0.0,2292.0
41575,2023-10-15 07:00:00,2024-07-17 00:00:00,3.1,416.63,7607.0,2848.0,0.0,0.0,2097.0
41576,2023-10-15 08:00:00,2024-07-17 00:00:00,3.1,410.07,7238.0,2848.0,0.0,0.0,1915.0
41577,2023-10-15 09:00:00,2024-07-17 00:00:00,3.1,405.42,7011.0,2849.0,0.0,0.0,1792.0
41578,2023-10-15 10:00:00,2024-07-17 00:00:00,3.1,403.49,7003.0,2848.0,0.0,0.0,1717.0
41579,2023-10-15 11:00:00,2024-07-17 00:00:00,3.1,406.52,7017.0,2849.0,0.0,0.0,1834.0
41580,2023-10-15 12:00:00,2024-07-17 00:00:00,3.1,411.09,7139.0,2851.0,0.0,32.0,2029.0
41581,2023-10-15 13:00:00,2024-07-17 00:00:00,3.1,392.75,7554.0,2852.0,0.0,894.0,2155.0
41582,2023-10-15 14:00:00,2024-07-17 00:00:00,3.1,363.45,7873.0,2853.0,0.0,2340.0,2233.0
41583,2023-10-15 15:00:00,2024-07-17 00:00:00,3.1,356.51,8641.0,2853.0,0.0,3117.0,2330.0
41584,2023-10-15 16:00:00,2024-07-17 00:00:00,3.1,360.18,9590.0,2852.0,0.0,3439.0,2448.0
41585,2023-10-15 17:00:00,2024-07-17 00:00:00,3.1,364.84,10461.0,2851.0,0.0,3606.0,2536.0
41586,2023-10-15 18:00:00,2024-07-17 00:00:00,3.1,369.49,11088.0,2851.0,0.0,3673.0,2647.0
41587,2023-10-15 19:00:00,2024-07-17 00:00:00,3.1,378.94,11716.0,2850.0,0.0,3473.0,2817.0
41588,2023-10-15 20:00:00,2024-07-17 00:00:00,3.1,385.77,12207.0,2850.0,0.0,3295.0,2914.0
41589,2023-10-15 21:00:00,2024-07-17 00:00:00,3.1,398.73,12868.0,2852.0,0.0,2677.0,2906.0
41590,2023-10-15 22:00:00,2024-07-17 00:00:00,3.1,421.9,13382.0,2852.0,0.0,1595.0,3088.0
41591,2023-10-15 23:00:00,2024-07-17 00:00:00,3.1,449.59,13757.0,2852.0,0.0,288.0,3229.0
