UTC time,nat_gas,nuclear,oil,solar,other
2023-09-29 00:00:00,14159.0,3640.0,0.0,2.0,4147.0
2023-09-29 01:00:00,13402.0,3610.0,0.0,0.0,3853.0
2023-09-29 02:00:00,12634.0,3558.0,0.0,0.0,3548.0
2023-09-29 03:00:00,11293.0,3505.0,0.0,0.0,3552.0
2023-09-29 04:00:00,9928.0,3454.0,0.0,0.0,3417.0
2023-09-29 05:00:00,8768.0,3400.0,0.0,0.0,3327.0
2023-09-29 06:00:00,8117.0,3348.0,0.0,0.0,3130.0
2023-09-29 07:00:00,7633.0,3294.0,0.0,0.0,3098.0
2023-09-29 08:00:00,7270.0,3242.0,0.0,0.0,3104.0
2023-09-29 09:00:00,7223.0,3191.0,0.0,0.0,3127.0
2023-09-29 10:00:00,7806.0,3143.0,0.0,0.0,3129.0
2023-09-29 11:00:00,8633.0,3119.0,0.0,0.0,3291.0
2023-09-29 12:00:00,9086.0,3117.0,0.0,29.0,3576.0
2023-09-29 13:00:00,9456.0,3117.0,0.0,597.0,3578.0
2023-09-29 14:00:00,9940.0,3123.0,0.0,1734.0,3573.0
2023-09-29 15:00:00,10631.0,3124.0,0.0,2635.0,3405.0
2023-09-29 16:00:00,11686.0,3123.0,0.0,3036.0,3315.0
2023-09-29 17:00:00,12278.0,3126.0,0.0,3272.0,3579.0
2023-09-29 18:00:00,12724.0,3127.0,0.0,3344.0,3846.0
2023-09-29 19:00:00,13412.0,3121.0,0.0,3020.0,3819.0
2023-09-29 20:00:00,13745.0,3121.0,0.0,2523.0,3564.0
2023-09-29 21:00:00,13943.0,3116.0,0.0,1903.0,3540.0
2023-09-29 22:00:00,14171.0,3114.0,0.0,1140.0,3515.0
2023-09-29 23:00:00,14196.0,3099.0,0.0,224.0,3638.0
