datetime,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_solar_production_forecast,avg_other_production_forecast
2023-08-29 00:00:00,2023-08-30 02:35:36,3.0,4.558056099205301,301.68415186110235,297.52690405292896,0.0,1.23773229025579,14400.21279,3712.69003,9158.66016,3737305.76001
2023-08-29 01:00:00,2023-08-30 02:35:36,3.0,4.558056099205301,301.68415186110235,297.52690405292896,0.0,1.23773229025579,13824.27409,3717.26081,3410.63989,1391754.24117
2023-08-29 02:00:00,2023-08-30 02:35:36,3.0,4.558056099205301,301.68415186110235,297.52690405292896,0.0,1.23773229025579,13105.31813,3726.29565,188.28999,76834.08539
2023-08-29 03:00:00,2023-08-30 02:35:36,3.0,4.558056099205301,301.68415186110235,297.52690405292896,0.0,1.23773229025579,12327.35728,3730.94812,0.0,0.0
2023-08-29 04:00:00,2023-08-30 02:35:36,3.0,4.673656922944108,301.4294046782735,297.43867696964605,0.0,1.23773229025579,11384.15183,3730.51654,0.0,0.0
2023-08-29 05:00:00,2023-08-30 02:35:36,3.0,4.673656922944108,301.4294046782735,297.43867696964605,0.0,1.23773229025579,10523.53947,3720.20938,0.0,0.0
2023-08-29 06:00:00,2023-08-30 02:35:36,3.0,4.673656922944108,301.4294046782735,297.43867696964605,0.0,1.23773229025579,9459.15948,3724.58066,0.0,0.0
2023-08-29 07:00:00,2023-08-30 02:35:36,3.0,5.021892695969104,301.11953213879616,297.3971767845365,0.0,1.621525751339716,8583.0746,3687.60693,0.0,0.0
2023-08-29 08:00:00,2023-08-30 02:35:36,3.0,5.021892695969104,301.11953213879616,297.3971767845365,0.0,1.621525751339716,8089.20091,3688.60891,0.0,0.0
2023-08-29 09:00:00,2023-08-30 02:35:36,3.0,5.021892695969104,301.11953213879616,297.3971767845365,0.0,1.621525751339716,7713.13879,3693.16789,0.0,0.0
2023-08-29 10:00:00,2023-08-30 02:35:36,3.0,5.738997286198506,301.28807166780325,297.5865420725174,0.0,1.8848679236675177,7820.30152,3723.57727,0.0,0.0
