,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,nuclear,oil,solar,other
0,2023-08-20 00:00:00,2023-08-21 21:40:21,3.0,446.14,14317.0,3721.0,0.0,329.0,4410.0
1,2023-08-20 01:00:00,2023-08-21 21:40:21,3.0,451.56,13938.0,3720.0,0.0,29.0,4473.0
2,2023-08-20 02:00:00,2023-08-21 21:40:21,3.0,449.05,12808.0,3724.0,0.0,28.0,4441.0
3,2023-08-20 03:00:00,2023-08-21 21:40:21,3.0,444.76,11649.0,3727.0,0.0,28.0,4298.0
4,2023-08-20 04:00:00,2023-08-21 21:40:21,3.0,436.09,10639.0,3731.0,0.0,28.0,3864.0
5,2023-08-20 05:00:00,2023-08-21 21:40:21,3.0,429.62,9640.0,3731.0,0.0,28.0,3650.0
6,2023-08-20 06:00:00,2023-08-21 21:40:21,3.0,421.76,8888.0,3736.0,0.0,28.0,3360.0
7,2023-08-20 07:00:00,2023-08-21 21:40:21,3.0,416.73,8265.0,3741.0,0.0,28.0,3244.0
8,2023-08-20 08:00:00,2023-08-21 21:40:21,3.0,413.05,7765.0,3743.0,0.0,28.0,3185.0
9,2023-08-20 09:00:00,2023-08-21 21:40:21,3.0,410.46,7501.0,3743.0,0.0,28.0,3126.0
10,2023-08-20 10:00:00,2023-08-21 21:40:21,3.0,410.24,7435.0,3745.0,0.0,28.0,3136.0
11,2023-08-20 11:00:00,2023-08-21 21:40:21,3.0,411.15,7539.0,3744.0,0.0,28.0,3151.0
12,2023-08-20 12:00:00,2023-08-21 21:40:21,3.0,409.31,7686.0,3746.0,0.0,153.0,3178.0
13,2023-08-20 13:00:00,2023-08-21 21:40:21,3.0,392.73,8160.0,3747.0,0.0,1045.0,3242.0
14,2023-08-20 14:00:00,2023-08-21 21:40:21,3.0,376.81,8985.0,3747.0,0.0,2150.0,3290.0
15,2023-08-20 15:00:00,2023-08-21 21:40:21,3.0,375.48,10189.0,3747.0,0.0,2816.0,3469.0
16,2023-08-20 16:00:00,2023-08-21 21:40:21,3.0,377.69,11140.0,3748.0,0.0,3152.0,3624.0
17,2023-08-20 17:00:00,2023-08-21 21:40:21,3.0,380.03,11643.0,3747.0,0.0,3272.0,3734.0
18,2023-08-20 18:00:00,2023-08-21 21:40:21,3.0,383.51,12189.0,3746.0,0.0,3282.0,3806.0
19,2023-08-20 19:00:00,2023-08-21 21:40:21,3.0,386.14,12631.0,3744.0,0.0,3310.0,3881.0
20,2023-08-20 20:00:00,2023-08-21 21:40:21,3.0,391.51,12789.0,3742.0,0.0,3004.0,3895.0
21,2023-08-20 21:00:00,2023-08-21 21:40:21,3.0,401.69,13044.0,3742.0,0.0,2493.0,4008.0
22,2023-08-20 22:00:00,2023-08-21 21:40:21,3.0,412.41,13230.0,3743.0,0.0,1875.0,4037.0
23,2023-08-20 23:00:00,2023-08-21 21:40:21,3.0,427.03,13142.0,3743.0,0.0,1069.0,4155.0
