UTC time,creation_time (UTC),version,nat_gas,nuclear,oil,solar,other
2023-09-02 00:00:00,2023-09-04 18:10:14,3.0,15328.0,3705.0,0.0,135.0,4603.0
2023-09-02 01:00:00,2023-09-04 18:10:14,3.0,14659.0,3701.0,0.0,28.0,4614.0
2023-09-02 02:00:00,2023-09-04 18:10:14,3.0,14018.0,3702.0,0.0,28.0,3967.0
2023-09-02 03:00:00,2023-09-04 18:10:14,3.0,13208.0,3702.0,0.0,28.0,3549.0
2023-09-02 04:00:00,2023-09-04 18:10:14,3.0,11476.0,3704.0,0.0,28.0,3296.0
2023-09-02 05:00:00,2023-09-04 18:10:14,3.0,9958.0,3707.0,0.0,28.0,3122.0
2023-09-02 06:00:00,2023-09-04 18:10:14,3.0,9085.0,3708.0,0.0,28.0,2818.0
2023-09-02 07:00:00,2023-09-04 18:10:14,3.0,8343.0,3712.0,0.0,28.0,2708.0
2023-09-02 08:00:00,2023-09-04 18:10:14,3.0,7915.0,3711.0,0.0,28.0,2613.0
2023-09-02 09:00:00,2023-09-04 18:10:14,3.0,7615.0,3710.0,0.0,28.0,2610.0
2023-09-02 10:00:00,2023-09-04 18:10:14,3.0,7528.0,3711.0,0.0,28.0,2615.0
2023-09-02 11:00:00,2023-09-04 18:10:14,3.0,7658.0,3710.0,0.0,28.0,2614.0
2023-09-02 12:00:00,2023-09-04 18:10:14,3.0,8047.0,3710.0,0.0,86.0,2615.0
2023-09-02 13:00:00,2023-09-04 18:10:14,3.0,9010.0,3710.0,0.0,659.0,2632.0
2023-09-02 14:00:00,2023-09-04 18:10:14,3.0,10006.0,3709.0,0.0,1433.0,2899.0
2023-09-02 15:00:00,2023-09-04 18:10:14,3.0,11015.0,3710.0,0.0,1819.0,3210.0
2023-09-02 16:00:00,2023-09-04 18:10:14,3.0,11538.0,3710.0,0.0,2337.0,3138.0
2023-09-02 17:00:00,2023-09-04 18:10:14,3.0,11915.0,3709.0,0.0,2706.0,3243.0
2023-09-02 18:00:00,2023-09-04 18:10:14,3.0,12118.0,3709.0,0.0,2993.0,3515.0
2023-09-02 19:00:00,2023-09-04 18:10:14,3.0,12611.0,3707.0,0.0,3040.0,3713.0
2023-09-02 20:00:00,2023-09-04 18:10:14,3.0,13134.0,3704.0,0.0,3123.0,3693.0
2023-09-02 21:00:00,2023-09-04 18:10:14,3.0,13837.0,3704.0,0.0,2709.0,3586.0
2023-09-02 22:00:00,2023-09-04 18:10:14,3.0,14640.0,3702.0,0.0,1857.0,3515.0
2023-09-02 23:00:00,2023-09-04 18:10:14,3.0,14889.0,3701.0,0.0,907.0,3509.0
