datetime,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean
2023-08-16 00:00:00,2023-08-18 21:41:24,3.0,2.298674352258009,293.01477498394564,289.69907129603826,3.5102767358892875,0.3869219037259858
2023-08-16 01:00:00,2023-08-18 21:41:24,3.0,2.298674352258009,293.01477498394564,289.69907129603826,3.5102767358892875,0.3869219037259858
2023-08-16 02:00:00,2023-08-18 21:41:24,3.0,2.298674352258009,293.01477498394564,289.69907129603826,3.5102767358892875,0.3869219037259858
2023-08-16 03:00:00,2023-08-18 21:41:24,3.0,2.298674352258009,293.01477498394564,289.69907129603826,3.5102767358892875,0.3869219037259858
2023-08-16 04:00:00,2023-08-18 21:41:24,3.0,1.9479020616397569,291.4549615372131,289.1993310589578,3.5102767358892875,0.3869219037259858
2023-08-16 05:00:00,2023-08-18 21:41:24,3.0,1.9479020616397569,291.4549615372131,289.1993310589578,3.5102767358892875,0.3869219037259858
2023-08-16 06:00:00,2023-08-18 21:41:24,3.0,1.9479020616397569,291.4549615372131,289.1993310589578,3.5102767358892875,0.3869219037259858
2023-08-16 07:00:00,2023-08-18 21:41:24,3.0,1.8271756514819568,290.22371357746187,288.5914918357238,1.7553553257497236,0.4805530351754541
2023-08-16 08:00:00,2023-08-18 21:41:24,3.0,1.8271756514819568,290.22371357746187,288.5914918357238,1.7553553257497236,0.4805530351754541
2023-08-16 09:00:00,2023-08-18 21:41:24,3.0,1.8271756514819568,290.22371357746187,288.5914918357238,1.7553553257497236,0.4805530351754541
2023-08-16 10:00:00,2023-08-18 21:41:24,3.0,1.622146467338501,290.67090131666873,288.677789212849,0.0,0.5184169802516124
2023-08-16 11:00:00,2023-08-18 21:41:24,3.0,1.622146467338501,290.67090131666873,288.677789212849,0.0,0.5184169802516124
2023-08-16 12:00:00,2023-08-18 21:41:24,3.0,1.622146467338501,290.67090131666873,288.677789212849,0.0,0.5184169802516124
2023-08-16 13:00:00,2023-08-18 21:41:24,3.0,2.1167086198762046,297.42325917501114,288.7648481142387,6.550340552400983,0.5613996916041558
2023-08-16 14:00:00,2023-08-18 21:41:24,3.0,2.1167086198762046,297.42325917501114,288.7648481142387,6.550340552400983,0.5613996916041558
2023-08-16 15:00:00,2023-08-18 21:41:24,3.0,2.1167086198762046,297.42325917501114,288.7648481142387,6.550340552400983,0.5613996916041558
2023-08-16 16:00:00,2023-08-18 21:41:24,3.0,2.056726547077531,301.556747600862,287.83312925903846,403.45543451744106,0.5890792453408835
2023-08-16 17:00:00,2023-08-18 21:41:24,3.0,2.056726547077531,301.556747600862,287.83312925903846,403.45543451744106,0.5890792453408835
2023-08-16 18:00:00,2023-08-18 21:41:24,3.0,2.056726547077531,301.556747600862,287.83312925903846,403.45543451744106,0.5890792453408835
2023-08-16 19:00:00,2023-08-18 21:41:24,3.0,2.1580934188259526,302.31017234896694,287.38076065161715,619.6993748719406,0.6076293028525143
2023-08-16 20:00:00,2023-08-18 21:41:24,3.0,2.1580934188259526,302.31017234896694,287.38076065161715,619.6993748719406,0.6076293028525143
2023-08-16 21:00:00,2023-08-18 21:41:24,3.0,2.1580934188259526,302.31017234896694,287.38076065161715,619.6993748719406,0.6076293028525143
2023-08-16 22:00:00,2023-08-18 21:41:24,3.0,1.90127271726366,297.6921228664133,289.46279807043766,764.0628422739009,0.6182040280242627
2023-08-16 23:00:00,2023-08-18 21:41:24,3.0,1.90127271726366,297.6921228664133,289.46279807043766,764.0628422739009,0.6182040280242627
2023-08-17 00:00:00,2023-08-18 21:41:24,3.0,1.90127271726366,297.6921228664133,289.46279807043766,764.0628422739009,0.6182040280242627
2023-08-17 01:00:00,2023-08-18 21:41:24,3.0,1.767247265084925,293.6425978866262,288.0002844825669,539.824374906415,0.6428192493924639
2023-08-17 02:00:00,2023-08-18 21:41:24,3.0,1.767247265084925,293.6425978866262,288.0002844825669,539.824374906415,0.6428192493924639
2023-08-17 03:00:00,2023-08-18 21:41:24,3.0,1.767247265084925,293.6425978866262,288.0002844825669,539.824374906415,0.6428192493924639
2023-08-17 04:00:00,2023-08-18 21:41:24,3.0,1.6301520601602826,292.05479726744693,287.9226105606908,3.723084159593319,0.7950519787149396
2023-08-17 05:00:00,2023-08-18 21:41:24,3.0,1.6301520601602826,292.05479726744693,287.9226105606908,3.723084159593319,0.7950519787149396
