UTC time,nuclear,hydro,solar,wind
2023-09-27 00:00:00,2987.0,1222.0,0.0,2.0
2023-09-27 01:00:00,2989.0,1340.0,0.0,3.0
2023-09-27 02:00:00,2989.0,1328.0,0.0,2.0
2023-09-27 03:00:00,2990.0,2132.0,0.0,2.0
2023-09-27 04:00:00,2992.0,3256.0,0.0,2.0
2023-09-27 05:00:00,2992.0,3748.0,6.0,2.0
2023-09-27 06:00:00,2990.0,3777.0,138.0,3.0
2023-09-27 07:00:00,2988.0,3293.0,569.0,4.0
2023-09-27 08:00:00,2988.0,1873.0,1176.0,5.0
2023-09-27 09:00:00,2982.0,1379.0,1677.0,4.0
2023-09-27 10:00:00,2973.0,1135.0,1928.0,2.0
2023-09-27 11:00:00,2965.0,1039.0,1973.0,2.0
2023-09-27 12:00:00,2961.0,1170.0,1935.0,4.0
2023-09-27 13:00:00,2956.0,1297.0,1713.0,5.0
2023-09-27 14:00:00,2955.0,2555.0,1152.0,8.0
2023-09-27 15:00:00,2956.0,3128.0,711.0,8.0
2023-09-27 16:00:00,2955.0,3652.0,256.0,8.0
2023-09-27 17:00:00,2958.0,4049.0,12.0,5.0
2023-09-27 18:00:00,2967.0,3677.0,0.0,1.0
2023-09-27 19:00:00,2973.0,2976.0,0.0,0.0
2023-09-27 20:00:00,2976.0,2015.0,0.0,0.0
2023-09-27 21:00:00,2981.0,1173.0,0.0,1.0
2023-09-27 22:00:00,2981.0,1076.0,0.0,2.0
2023-09-27 23:00:00,2984.0,859.0,0.0,5.0
