,UTC time,carbon_intensity,coal,nat_gas,nuclear,hydro,solar,wind,other
0,2023-08-04 00:00:00,312.14,11533.0,45006.0,4931.0,216.0,9359.0,10611.0,268.0
1,2023-08-04 01:00:00,330.33,11713.0,46163.0,4932.0,236.0,4449.0,11535.0,503.0
2,2023-08-04 02:00:00,344.87,11882.0,46497.0,4932.0,234.0,409.0,12411.0,442.0
3,2023-08-04 03:00:00,333.05,11734.0,43259.0,4933.0,58.0,59.0,14911.0,164.0
4,2023-08-04 04:00:00,311.92,10917.0,37663.0,4934.0,5.0,0.0,17889.0,158.0
5,2023-08-04 05:00:00,290.67,10288.0,32031.0,4935.0,5.0,0.0,20530.0,120.0
6,2023-08-04 06:00:00,268.81,8659.0,28780.0,4937.0,41.0,0.0,21762.0,74.0
7,2023-08-04 07:00:00,255.69,7392.0,27021.0,4938.0,41.0,0.0,21756.0,61.0
8,2023-08-04 08:00:00,248.54,6531.0,26015.0,4939.0,41.0,0.0,21275.0,78.0
9,2023-08-04 09:00:00,248.18,6052.0,25819.0,4938.0,41.0,0.0,20272.0,74.0
10,2023-08-04 10:00:00,254.66,6221.0,25983.0,4938.0,39.0,0.0,19205.0,55.0
11,2023-08-04 11:00:00,266.91,6613.0,27214.0,4938.0,4.0,0.0,17871.0,73.0
12,2023-08-04 12:00:00,283.82,7513.0,28502.0,4937.0,4.0,4.0,16406.0,90.0
13,2023-08-04 13:00:00,285.13,7663.0,28575.0,4938.0,4.0,1723.0,14739.0,133.0
14,2023-08-04 14:00:00,260.38,7250.0,27845.0,4939.0,4.0,8160.0,12604.0,61.0
15,2023-08-04 15:00:00,228.62,6204.0,27201.0,4940.0,4.0,12027.0,14407.0,90.0
16,2023-08-04 16:00:00,246.02,7400.0,30364.0,4939.0,4.0,13073.0,12980.0,176.0
17,2023-08-04 17:00:00,288.33,10647.0,34927.0,4939.0,4.0,13210.0,9402.0,245.0
18,2023-08-04 18:00:00,311.47,11601.0,40764.0,4938.0,13.0,13083.0,6468.0,162.0
19,2023-08-04 19:00:00,318.62,11759.0,44257.0,4937.0,112.0,12743.0,5740.0,131.0
20,2023-08-04 20:00:00,319.39,11734.0,45835.0,4936.0,113.0,12524.0,6023.0,182.0
21,2023-08-04 21:00:00,318.84,11731.0,46352.0,4935.0,114.0,12488.0,6316.0,228.0
22,2023-08-04 22:00:00,318.72,11688.0,46736.0,4934.0,181.0,12120.0,6657.0,235.0
23,2023-08-04 23:00:00,320.56,11467.0,47181.0,4931.0,190.0,11399.0,6740.0,333.0
