UTC time,creation_time (UTC),version,coal,nat_gas,nuclear,hydro,solar,wind,other
2023-08-24 00:00:00,2023-08-25 21:23:44,3.0,11379.0,44879.0,4942.0,190.0,7651.0,12291.0,220.0
2023-08-24 01:00:00,2023-08-25 21:23:44,3.0,11747.0,46887.0,4943.0,208.0,2449.0,10805.0,737.0
2023-08-24 02:00:00,2023-08-25 21:23:44,3.0,11774.0,47819.0,4943.0,177.0,53.0,8577.0,975.0
2023-08-24 03:00:00,2023-08-25 21:23:44,3.0,11383.0,46784.0,4945.0,9.0,1.0,7892.0,292.0
2023-08-24 04:00:00,2023-08-25 21:23:44,3.0,10965.0,43979.0,4945.0,0.0,0.0,7640.0,174.0
2023-08-24 05:00:00,2023-08-25 21:23:44,3.0,10819.0,39468.0,4946.0,0.0,0.0,8174.0,86.0
2023-08-24 06:00:00,2023-08-25 21:23:44,3.0,10956.0,35442.0,4947.0,0.0,0.0,8324.0,75.0
2023-08-24 07:00:00,2023-08-25 21:23:44,3.0,9580.0,33919.0,4947.0,0.0,0.0,8358.0,82.0
2023-08-24 08:00:00,2023-08-25 21:23:44,3.0,9271.0,33017.0,4948.0,0.0,0.0,7478.0,76.0
2023-08-24 09:00:00,2023-08-25 21:23:44,3.0,9202.0,32557.0,4950.0,18.0,0.0,6608.0,88.0
2023-08-24 10:00:00,2023-08-25 21:23:44,3.0,9195.0,32848.0,4951.0,2.0,0.0,5878.0,72.0
2023-08-24 11:00:00,2023-08-25 21:23:44,3.0,8815.0,34570.0,4951.0,0.0,0.0,5229.0,112.0
2023-08-24 12:00:00,2023-08-25 21:23:44,3.0,9043.0,36456.0,4952.0,0.0,0.0,4644.0,76.0
2023-08-24 13:00:00,2023-08-25 21:23:44,3.0,9024.0,37027.0,4953.0,0.0,654.0,3899.0,105.0
2023-08-24 14:00:00,2023-08-25 21:23:44,3.0,8716.0,35738.0,4954.0,0.0,5836.0,2490.0,72.0
2023-08-24 15:00:00,2023-08-25 21:23:44,3.0,8803.0,34837.0,4954.0,1.0,10878.0,2107.0,149.0
2023-08-24 16:00:00,2023-08-25 21:23:44,3.0,9027.0,37782.0,4952.0,19.0,12489.0,2512.0,119.0
2023-08-24 17:00:00,2023-08-25 21:23:44,3.0,8993.0,39865.0,4952.0,19.0,12925.0,5105.0,114.0
2023-08-24 18:00:00,2023-08-25 21:23:44,3.0,9700.0,41849.0,4952.0,27.0,12722.0,7648.0,178.0
2023-08-24 19:00:00,2023-08-25 21:23:44,3.0,10746.0,44838.0,4950.0,107.0,12454.0,7549.0,230.0
2023-08-24 20:00:00,2023-08-25 21:23:44,3.0,11463.0,47339.0,4947.0,109.0,12111.0,6518.0,234.0
2023-08-24 21:00:00,2023-08-25 21:23:44,3.0,11660.0,48345.0,4944.0,135.0,11974.0,5639.0,244.0
2023-08-24 22:00:00,2023-08-25 21:23:44,3.0,11612.0,49259.0,4938.0,141.0,11718.0,5543.0,217.0
2023-08-24 23:00:00,2023-08-25 21:23:44,3.0,11617.0,49758.0,4936.0,200.0,10370.0,5827.0,196.0
