,UTC time,carbon_intensity,coal,nat_gas,nuclear,hydro,solar,wind,other
0,2023-08-01 00:00:00,411.21,11451.0,47567.0,4925.0,155.0,7883.0,8997.0,295.0
1,2023-08-01 01:00:00,433.28,11546.0,48665.0,4926.0,169.0,2935.0,9885.0,874.0
2,2023-08-01 02:00:00,445.47,11687.0,48404.0,4928.0,167.0,179.0,10192.0,684.0
3,2023-08-01 03:00:00,432.92,11715.0,45455.0,4932.0,24.0,12.0,12120.0,281.0
4,2023-08-01 04:00:00,410.94,11474.0,39752.0,4937.0,4.0,10.0,14828.0,239.0
5,2023-08-01 05:00:00,378.53,10714.0,33217.0,4937.0,4.0,0.0,18115.0,112.0
6,2023-08-01 06:00:00,353.92,9478.0,29175.0,4939.0,4.0,0.0,19620.0,88.0
7,2023-08-01 07:00:00,342.86,8077.0,27761.0,4939.0,5.0,0.0,19083.0,84.0
8,2023-08-01 08:00:00,341.82,7328.0,27087.0,4936.0,4.0,0.0,17878.0,72.0
9,2023-08-01 09:00:00,345.3,6850.0,26934.0,4937.0,20.0,0.0,16570.0,119.0
10,2023-08-01 10:00:00,351.94,6865.0,27060.0,4936.0,11.0,0.0,15574.0,121.0
11,2023-08-01 11:00:00,364.32,7174.0,28074.0,4938.0,5.0,0.0,14387.0,82.0
12,2023-08-01 12:00:00,371.98,7483.0,28826.0,4939.0,5.0,3.0,13874.0,104.0
13,2023-08-01 13:00:00,367.61,7389.0,28800.0,4940.0,5.0,1501.0,13029.0,65.0
14,2023-08-01 14:00:00,351.14,7277.0,28537.0,4940.0,5.0,7632.0,9948.0,64.0
15,2023-08-01 15:00:00,331.8,7284.0,28540.0,4942.0,5.0,11017.0,10497.0,104.0
16,2023-08-01 16:00:00,353.19,9440.0,31079.0,4946.0,23.0,11772.0,9897.0,147.0
17,2023-08-01 17:00:00,375.32,10639.0,35655.0,4945.0,24.0,12589.0,7968.0,144.0
18,2023-08-01 18:00:00,392.61,11241.0,40611.0,4943.0,24.0,13001.0,6306.0,185.0
19,2023-08-01 19:00:00,403.9,11801.0,44362.0,4940.0,23.0,12691.0,5846.0,225.0
20,2023-08-01 20:00:00,402.94,11977.0,45741.0,4932.0,24.0,12439.0,6722.0,159.0
21,2023-08-01 21:00:00,400.97,12064.0,45792.0,4926.0,52.0,11819.0,7821.0,204.0
22,2023-08-01 22:00:00,391.1,11769.0,44996.0,4921.0,91.0,11025.0,10094.0,173.0
23,2023-08-01 23:00:00,381.99,11512.0,43659.0,4918.0,99.0,10338.0,12185.0,320.0
