datetime,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_coal_production_forecast,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast,avg_other_production_forecast
2023-08-06 00:00:00,5.151765524055233,303.53024588131666,289.41242982455515,44.64968197251056,0.0259882481854796,10611.02071,47949.01826,7487.67889,2584.72412,10526.18983,2769.03999,18.8113
2023-08-06 01:00:00,5.151765524055233,303.53024588131666,289.41242982455515,44.64968197251056,0.0259882481854796,10409.41415,42500.35355,7740.72381,2585.04576,5663.26993,3059.00004,21.12446
2023-08-06 02:00:00,5.151765524055233,303.53024588131666,289.41242982455515,44.64968197251056,0.0259882481854796,10106.59807,38274.14417,7993.89203,2587.22301,1082.94001,3305.63997,23.09203
2023-08-06 03:00:00,5.151765524055233,303.53024588131666,289.41242982455515,44.64968197251056,0.0259882481854796,9788.54592,33562.71289,8605.30947,2589.89427,0.01,3504.49999,24.67844
2023-08-06 04:00:00,5.238331461330789,301.5437580505286,290.3889334583724,44.64968197251056,0.0259882481854796,9210.06453,31942.20863,9096.4482,2592.06881,0.0,3602.11,25.45713
2023-08-06 05:00:00,5.238331461330789,301.5437580505286,290.3889334583724,44.64968197251056,0.0259882481854796,8355.58526,33269.12327,9495.74357,2597.34527,0.0,3621.8501,25.6146
2023-08-06 06:00:00,5.238331461330789,301.5437580505286,290.3889334583724,44.64968197251056,0.0259882481854796,7733.61305,30523.16029,9709.65388,2599.13416,0.0,3567.26009,25.17911
2023-08-06 07:00:00,4.985083252991799,299.79089818425183,291.18964087113585,22.324713021846605,0.0521011562543535,7211.41733,20027.31657,9749.94115,2595.89871,0.0,3533.90989,24.91306
2023-08-06 08:00:00,4.985083252991799,299.79089818425183,291.18964087113585,22.324713021846605,0.0521011562543535,6552.90476,3839.59472,9600.40376,2596.95062,0.0,3362.02997,23.54188
2023-08-06 09:00:00,4.985083252991799,299.79089818425183,291.18964087113585,22.324713021846605,0.0521011562543535,5894.41114,0.0,9455.17391,2595.5933,0.0,3168.29001,21.99632
2023-08-06 10:00:00,4.224436109689441,298.1901978115799,291.9112941441344,0.0,0.3496435860195235,5312.1916,0.0,9411.65141,2595.9712,0.0,2947.66006,20.23624
2023-08-06 11:00:00,4.224436109689441,298.1901978115799,291.9112941441344,0.0,0.3496435860195235,5342.43644,0.0,9057.57928,2600.74085,0.0,2702.54002,18.28079
2023-08-06 12:00:00,4.224436109689441,298.1901978115799,291.9112941441344,0.0,0.3496435860195235,5571.7133,0.0,8649.3729,2604.81084,0.21,2422.38008,16.04581
2023-08-06 13:00:00,4.754722946312501,302.52569927910235,291.579360029979,0.1291451779985527,0.9230208871360148,6106.03875,4187.47896,8324.74718,2608.73309,1387.67,2089.36993,13.38922
2023-08-06 14:00:00,4.754722946312501,302.52569927910235,291.579360029979,0.1291451779985527,0.9230208871360148,6814.58496,8065.06232,7926.20831,2611.55758,6374.75985,1692.90003,10.22638
2023-08-06 15:00:00,4.754722946312501,302.52569927910235,291.579360029979,0.1291451779985527,0.9230208871360148,7703.92634,6662.0692,7730.96243,2616.49988,11021.64034,1277.91996,6.91587
2023-08-06 16:00:00,4.294691236722108,307.5894040158192,289.8157456439432,236.74092263177567,1.3029915409583728,8448.29341,3829.39154,7606.28231,2622.4564,12681.99025,947.27999,4.27818
