UTC Time,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore
2020-03-25 22:00:00+00:00,False,True,True,True,True,True,True,False,True,False
2020-03-25 23:00:00+00:00,False,True,True,True,True,True,True,False,True,False
2020-03-26 00:00:00+00:00,False,True,True,True,True,True,True,False,True,False
2020-03-26 01:00:00+00:00,False,True,True,True,True,True,True,False,True,False
2020-03-26 02:00:00+00:00,False,True,True,True,True,True,True,False,True,False
2020-03-26 03:00:00+00:00,False,True,True,True,True,True,True,False,True,False
2020-03-26 04:00:00+00:00,False,True,True,True,True,True,True,False,True,False
2020-03-26 05:00:00+00:00,False,True,True,True,True,True,True,False,True,False
2020-03-26 06:00:00+00:00,False,True,True,True,True,True,True,False,True,False
2020-03-26 07:00:00+00:00,False,True,True,True,True,True,True,False,True,False
2020-03-26 08:00:00+00:00,False,True,True,True,True,True,True,False,True,False
2020-03-26 09:00:00+00:00,False,True,True,True,True,True,True,False,True,False
2020-03-26 10:00:00+00:00,False,True,True,True,True,True,True,False,True,False
2020-03-26 11:00:00+00:00,False,True,True,True,True,True,True,False,True,False
2020-03-26 12:00:00+00:00,False,True,True,True,True,True,True,False,True,False
2020-03-26 13:00:00+00:00,False,True,True,True,True,True,True,False,True,False
2020-03-26 14:00:00+00:00,False,True,True,True,True,True,True,False,True,False
2020-03-26 15:00:00+00:00,False,True,True,True,True,True,True,False,True,False
2020-03-26 16:00:00+00:00,False,True,True,True,True,True,True,False,True,False
2020-03-26 17:00:00+00:00,False,True,True,True,True,True,True,False,True,False
2020-03-26 18:00:00+00:00,False,True,True,True,True,True,True,False,True,False
2020-03-26 19:00:00+00:00,False,True,True,True,True,True,True,False,True,False
2020-03-26 20:00:00+00:00,False,True,True,True,True,True,True,False,True,False
2020-03-26 21:00:00+00:00,False,True,True,True,True,True,True,False,True,False
2020-03-26 22:00:00+00:00,True,True,True,True,True,True,True,False,False,False
2020-03-26 23:00:00+00:00,True,True,True,True,True,True,True,False,False,False
2020-03-27 00:00:00+00:00,True,True,True,True,True,True,True,False,False,False
2020-03-27 01:00:00+00:00,True,True,True,True,True,True,True,False,False,False
2020-03-27 02:00:00+00:00,True,True,True,True,True,True,True,False,False,False
2020-03-27 03:00:00+00:00,True,True,True,True,True,True,True,False,False,False
