,UTC time,Local time,carbon_intensity,coal,nat_gas,nuclear,oil,hydro,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean
0,01/01/2019 00:00:00,2018-12-31 19:00:00,271.15,2,5796,4003,0,1832,8.47234521850339,270.025970869743,265.232072701348,77.8995378354869,0.038057649976678
1,01/01/2019 01:00:00,2018-12-31 20:00:00,272.46,3,5494,4006,0,1431,7.08639416338076,267.85969126485,262.870474957076,0,0
2,01/01/2019 02:00:00,2018-12-31 21:00:00,266.9,1,4993,3992,0,1217,7.08639416338076,267.85969126485,262.870474957076,0,0
3,01/01/2019 03:00:00,2018-12-31 22:00:00,251.64,1,4162,3995,0,1070,7.08639416338076,267.85969126485,262.870474957076,0,0
4,01/01/2019 04:00:00,2018-12-31 23:00:00,238.59,0,3618,4017,0,1022,6.01539282974233,265.839197673789,260.703839098693,0,0
5,01/01/2019 05:00:00,2019-01-01 00:00:00,208.74,0,2872,4019,0,1424,6.01539282974233,265.839197673789,260.703839098693,0,0
6,01/01/2019 06:00:00,2019-01-01 01:00:00,200.58,0,2407,4013,0,1069,6.01539282974233,265.839197673789,260.703839098693,0,0
7,01/01/2019 07:00:00,2019-01-01 02:00:00,202.81,0,2401,4017,0,879,5.1555498905316,264.653176015226,259.204058029637,0,0
8,01/01/2019 08:00:00,2019-01-01 03:00:00,190.95,0,2096,4007,0,900,5.1555498905316,264.653176015226,259.204058029637,0,0
9,01/01/2019 09:00:00,2019-01-01 04:00:00,186.08,0,1965,4016,0,939,5.1555498905316,264.653176015226,259.204058029637,0,0
10,01/01/2019 10:00:00,2019-01-01 05:00:00,184.37,0,1864,4026,0,951,4.54073119838862,264.041299018879,258.224367482692,0,0
11,01/01/2019 11:00:00,2019-01-01 06:00:00,187.84,0,1981,4031,0,971,4.54073119838862,264.041299018879,258.224367482692,0,0
12,01/01/2019 12:00:00,2019-01-01 07:00:00,196.26,0,2190,4031,0,975,4.54073119838862,264.041299018879,258.224367482692,0,0
13,01/01/2019 13:00:00,2019-01-01 08:00:00,205.67,0,2293,4016,0,884,4.0249828569309,266.067709618524,258.629439764643,133.769223644531,0
14,01/01/2019 14:00:00,2019-01-01 09:00:00,216.35,0,2653,4058,0,837,4.0249828569309,266.067709618524,258.629439764643,133.769223644531,0
15,01/01/2019 15:00:00,2019-01-01 10:00:00,215,0,2806,4033,0,1133,4.0249828569309,266.067709618524,258.629439764643,133.769223644531,0
16,01/01/2019 16:00:00,2019-01-01 11:00:00,213.35,0,2795,4018,0,1182,3.17471858498833,268.249223698728,259.440584198172,249.483387735352,0
17,01/01/2019 17:00:00,2019-01-01 12:00:00,210.55,0,2614,4011,0,990,3.17471858498833,268.249223698728,259.440584198172,249.483387735352,0
18,01/01/2019 18:00:00,2019-01-01 13:00:00,206.86,0,2590,4035,0,973,3.17471858498833,268.249223698728,259.440584198172,249.483387735352,0
19,01/01/2019 19:00:00,2019-01-01 14:00:00,211.59,0,2862,4069,0,973,2.33600367405595,267.041506602423,259.520892242825,181.732899625184,0
20,01/01/2019 20:00:00,2019-01-01 15:00:00,219.84,0,3151,4040,0,975,2.33600367405595,267.041506602423,259.520892242825,181.732899625184,0
21,01/01/2019 21:00:00,2019-01-01 16:00:00,229.44,0,3539,4046,0,1037,2.33600367405595,267.041506602423,259.520892242825,181.732899625184,0
22,01/01/2019 22:00:00,2019-01-01 17:00:00,235.63,0,4189,4089,0,1462,2.12580979706576,266.067832514142,259.288562262771,91.3831215112754,0
23,01/01/2019 23:00:00,2019-01-01 18:00:00,253.7,0,5159,4055,0,1579,2.12580979706576,266.067832514142,259.288562262771,91.3831215112754,0
24,01/02/2019 00:00:00,2019-01-01 19:00:00,254.02,0,5263,4021,0,1671,2.12580979706576,266.067832514142,259.288562262771,91.3831215112754,0
25,01/02/2019 01:00:00,2019-01-01 20:00:00,249.84,0,4925,3989,0,1566,2.49821236601393,266.504931069747,259.93606752843,0,0.005674573623794
26,01/02/2019 02:00:00,2019-01-01 21:00:00,251.84,0,4737,3982,0,1295,2.49821236601393,266.504931069747,259.93606752843,0,0.005674573623794
27,01/02/2019 03:00:00,2019-01-01 22:00:00,240.99,0,3965,3977,0,993,2.49821236601393,266.504931069747,259.93606752843,0,0.005674573623794
28,01/02/2019 04:00:00,2019-01-01 23:00:00,224.52,0,3240,3977,0,962,3.23177708228494,267.560060226434,262.118235283723,0,0.062171249559171
29,01/02/2019 05:00:00,2019-01-02 00:00:00,214.59,0,2810,4012,0,903,3.23177708228494,267.560060226434,262.118235283723,0,0.062171249559171
30,01/02/2019 06:00:00,2019-01-02 01:00:00,206.62,0,2408,3982,0,852,3.23177708228494,267.560060226434,262.118235283723,0,0.062171249559171
31,01/02/2019 07:00:00,2019-01-02 02:00:00,199.49,0,2117,4021,0,826,4.08884772158833,268.995064227089,265.234830191322,0,0.417448932335412
32,01/02/2019 08:00:00,2019-01-02 03:00:00,202.03,0,2203,4026,0,873,4.08884772158833,268.995064227089,265.234830191322,0,0.417448932335412
33,01/02/2019 09:00:00,2019-01-02 04:00:00,207.52,0,2354,4027,0,883,4.08884772158833,268.995064227089,265.234830191322,0,0.417448932335412
34,01/02/2019 10:00:00,2019-01-02 05:00:00,220.58,1,2752,4041,0,905,4.72756422950542,270.03597488395,267.877702495947,0,1.73122659079741
35,01/02/2019 11:00:00,2019-01-02 06:00:00,244.67,0,3707,4068,0,913,4.72756422950542,270.03597488395,267.877702495947,0,1.73122659079741
36,01/02/2019 12:00:00,2019-01-02 07:00:00,276.74,0,5331,4042,0,1018,4.72756422950542,270.03597488395,267.877702495947,0,1.73122659079741
37,01/02/2019 13:00:00,2019-01-02 08:00:00,280.42,0,5911,4021,0,1262,4.7873515521876,272.392947667855,270.1932288466,55.7751277560604,1.43209296464029
38,01/02/2019 14:00:00,2019-01-02 09:00:00,278.75,3,5625,4005,0,1215,4.7873515521876,272.392947667855,270.1932288466,55.7751277560604,1.43209296464029
39,01/02/2019 15:00:00,2019-01-02 10:00:00,280.84,4,5507,4019,0,1160,4.7873515521876,272.392947667855,270.1932288466,55.7751277560604,1.43209296464029
40,01/02/2019 16:00:00,2019-01-02 11:00:00,287.04,1,5571,4018,0,1009,4.57107389361571,274.204631416975,271.236872353847,133.652907082846,2.21961655345369
41,01/02/2019 17:00:00,2019-01-02 12:00:00,288.93,2,5599,4011,0,934,4.57107389361571,274.204631416975,271.236872353847,133.652907082846,2.21961655345369
42,01/02/2019 18:00:00,2019-01-02 13:00:00,285.68,0,5400,4010,0,928,4.57107389361571,274.204631416975,271.236872353847,133.652907082846,2.21961655345369
43,01/02/2019 19:00:00,2019-01-02 14:00:00,289.51,0,5643,4031,0,975,4.46398780554165,273.090121977665,270.414898870022,135.959025784583,0.140036078646068
44,01/02/2019 20:00:00,2019-01-02 15:00:00,294.42,0,5935,4034,0,1028,4.46398780554165,273.090121977665,270.414898870022,135.959025784583,0.140036078646068
45,01/02/2019 21:00:00,2019-01-02 16:00:00,303.66,0,6635,4040,0,1137,4.46398780554165,273.090121977665,270.414898870022,135.959025784583,0.140036078646068
46,01/02/2019 22:00:00,2019-01-02 17:00:00,302.02,1,7049,4044,0,1491,4.27039115741083,271.810313277435,269.28085660475,68.5784764286507,0.213673386916137
47,01/02/2019 23:00:00,2019-01-02 18:00:00,288.24,5,7315,4047,0,2419,4.27039115741083,271.810313277435,269.28085660475,68.5784764286507,0.213673386916137
