datetime,wind_actual,avg_wind_production_forecast
2020-01-01T00:00:00.000000000,291.0,435.84326
2020-01-01T01:00:00.000000000,237.0,438.5859
2020-01-01T02:00:00.000000000,197.0,448.2869
2020-01-01T03:00:00.000000000,151.0,455.28088
2020-01-01T04:00:00.000000000,110.0,481.15637
2020-01-01T05:00:00.000000000,130.0,502.66336
2020-01-01T06:00:00.000000000,181.0,512.66296
2020-01-01T07:00:00.000000000,203.0,537.3375
2020-01-01T08:00:00.000000000,236.0,550.0256
2020-01-01T09:00:00.000000000,270.0,568.54956
2020-01-01T10:00:00.000000000,355.0,578.7987
2020-01-01T11:00:00.000000000,386.0,596.7837
2020-01-01T12:00:00.000000000,372.0,600.4293
2020-01-01T13:00:00.000000000,418.0,615.79236
2020-01-01T14:00:00.000000000,430.0,627.80316
2020-01-01T15:00:00.000000000,405.0,645.25854
2020-01-01T16:00:00.000000000,458.0,658.4183
2020-01-01T17:00:00.000000000,522.0,670.9135
2020-01-01T18:00:00.000000000,558.0,689.2637
2020-01-01T19:00:00.000000000,562.0,698.1329
2020-01-01T20:00:00.000000000,556.0,695.3993
2020-01-01T21:00:00.000000000,560.0,692.17126
2020-01-01T22:00:00.000000000,620.0,692.12964
2020-01-01T23:00:00.000000000,628.0,693.0186
2020-01-02T00:00:00.000000000,644.0,708.74524
2020-01-02T01:00:00.000000000,683.0,701.40955
2020-01-02T02:00:00.000000000,689.0,706.7648
2020-01-02T03:00:00.000000000,688.0,712.36053
2020-01-02T04:00:00.000000000,670.0,721.96387
2020-01-02T05:00:00.000000000,636.0,724.1887
2020-01-02T06:00:00.000000000,637.0,725.3564
2020-01-02T07:00:00.000000000,618.0,730.18243
2020-01-02T08:00:00.000000000,653.0,718.70026
2020-01-02T09:00:00.000000000,654.0,713.8997
2020-01-02T10:00:00.000000000,647.0,703.7048
2020-01-02T11:00:00.000000000,630.0,691.7653
2020-01-02T12:00:00.000000000,582.0,667.92346
2020-01-02T13:00:00.000000000,536.0,649.97943
2020-01-02T14:00:00.000000000,490.0,633.5433
2020-01-02T15:00:00.000000000,444.0,615.0596
2020-01-02T16:00:00.000000000,397.0,597.2527
2020-01-02T17:00:00.000000000,373.0,581.5762
2020-01-02T18:00:00.000000000,307.0,563.55804
2020-01-02T19:00:00.000000000,261.0,546.10455
2020-01-02T20:00:00.000000000,217.0,518.0421
2020-01-02T21:00:00.000000000,193.0,500.30493
2020-01-02T22:00:00.000000000,185.0,482.06775
2020-01-02T23:00:00.000000000,201.0,465.2469
2020-01-03T00:00:00.000000000,257.0,272.61945
2020-01-03T01:00:00.000000000,268.0,284.66727
2020-01-03T02:00:00.000000000,291.0,311.46402
2020-01-03T03:00:00.000000000,337.0,335.0284
2020-01-03T04:00:00.000000000,330.0,358.43396
2020-01-03T05:00:00.000000000,299.0,378.7444
2020-01-03T06:00:00.000000000,314.0,401.5292
2020-01-03T07:00:00.000000000,338.0,412.71008
2020-01-03T08:00:00.000000000,366.0,419.06213
2020-01-03T09:00:00.000000000,406.0,430.26035
2020-01-03T10:00:00.000000000,473.0,433.08707
2020-01-03T11:00:00.000000000,517.0,418.26505
2020-01-03T12:00:00.000000000,483.0,410.51196
2020-01-03T13:00:00.000000000,427.0,395.4599
2020-01-03T14:00:00.000000000,397.0,367.83847
2020-01-03T15:00:00.000000000,344.0,349.31635
2020-01-03T16:00:00.000000000,365.0,323.76648
2020-01-03T17:00:00.000000000,349.0,293.69525
2020-01-03T18:00:00.000000000,344.0,260.4435
2020-01-03T19:00:00.000000000,368.0,235.11313
2020-01-03T20:00:00.000000000,358.0,210.72232
2020-01-03T21:00:00.000000000,369.0,191.6064
2020-01-03T22:00:00.000000000,392.0,170.27316
2020-01-03T23:00:00.000000000,422.0,156.61154
2020-01-04T00:00:00.000000000,463.0,410.93625
2020-01-04T01:00:00.000000000,478.0,394.73782
2020-01-04T02:00:00.000000000,459.0,376.90994
2020-01-04T03:00:00.000000000,525.0,366.50668
2020-01-04T04:00:00.000000000,515.0,355.12073
2020-01-04T05:00:00.000000000,479.0,321.60477
2020-01-04T06:00:00.000000000,443.0,311.36703
2020-01-04T07:00:00.000000000,433.0,295.73364
2020-01-04T08:00:00.000000000,398.0,270.11234
2020-01-04T09:00:00.000000000,346.0,248.8098
2020-01-04T10:00:00.000000000,339.0,229.6856
2020-01-04T11:00:00.000000000,260.0,203.16821
2020-01-04T12:00:00.000000000,210.0,179.3956
2020-01-04T13:00:00.000000000,189.0,157.44478
2020-01-04T14:00:00.000000000,149.0,140.36789
2020-01-04T15:00:00.000000000,95.0,121.62583
2020-01-04T16:00:00.000000000,48.0,112.18963
2020-01-04T17:00:00.000000000,44.0,96.89102
2020-01-04T18:00:00.000000000,50.0,100.93024
2020-01-04T19:00:00.000000000,35.0,108.83878
2020-01-04T20:00:00.000000000,24.0,99.511925
2020-01-04T21:00:00.000000000,25.0,108.885574
2020-01-04T22:00:00.000000000,34.0,114.73866
2020-01-04T23:00:00.000000000,18.0,116.94495
2020-01-05T00:00:00.000000000,28.0,101.807
2020-01-05T01:00:00.000000000,34.0,132.18224
2020-01-05T02:00:00.000000000,39.0,167.42274
2020-01-05T03:00:00.000000000,55.0,204.8898
2020-01-05T04:00:00.000000000,84.0,259.29385
2020-01-05T05:00:00.000000000,129.0,327.0955
2020-01-05T06:00:00.000000000,188.0,400.37006
2020-01-05T07:00:00.000000000,247.0,465.29163
2020-01-05T08:00:00.000000000,277.0,507.58664
2020-01-05T09:00:00.000000000,346.0,599.2275
2020-01-05T10:00:00.000000000,417.0,629.9939
2020-01-05T11:00:00.000000000,484.0,660.7779
2020-01-05T12:00:00.000000000,536.0,673.6346
2020-01-05T13:00:00.000000000,608.0,699.87463
2020-01-05T14:00:00.000000000,679.0,749.03577
2020-01-05T15:00:00.000000000,775.0,763.4274
2020-01-05T16:00:00.000000000,860.0,754.2518
2020-01-05T17:00:00.000000000,911.0,770.6941
2020-01-05T18:00:00.000000000,935.0,774.4489
2020-01-05T19:00:00.000000000,944.0,776.1226
2020-01-05T20:00:00.000000000,969.0,767.40546
2020-01-05T21:00:00.000000000,963.0,749.2467
2020-01-05T22:00:00.000000000,977.0,735.4099
2020-01-05T23:00:00.000000000,941.0,743.40857
2020-01-06T00:00:00.000000000,893.0,938.7374
2020-01-06T01:00:00.000000000,827.0,885.4668
2020-01-06T02:00:00.000000000,768.0,806.1401
2020-01-06T03:00:00.000000000,666.0,763.05054
2020-01-06T04:00:00.000000000,547.0,707.498
2020-01-06T05:00:00.000000000,598.0,618.4607
2020-01-06T06:00:00.000000000,534.0,550.3184
2020-01-06T07:00:00.000000000,472.0,494.96036
2020-01-06T08:00:00.000000000,425.0,432.72504
2020-01-06T09:00:00.000000000,367.0,359.20386
2020-01-06T10:00:00.000000000,262.0,295.42398
2020-01-06T11:00:00.000000000,141.0,254.76955
2020-01-06T12:00:00.000000000,96.0,196.88263
2020-01-06T13:00:00.000000000,68.0,165.71729
2020-01-06T14:00:00.000000000,50.0,146.48203
2020-01-06T15:00:00.000000000,55.0,114.8534
2020-01-06T16:00:00.000000000,78.0,102.25459
2020-01-06T17:00:00.000000000,88.0,108.016785
2020-01-06T18:00:00.000000000,107.0,145.37558
2020-01-06T19:00:00.000000000,130.0,164.35847
2020-01-06T20:00:00.000000000,136.0,177.4932
2020-01-06T21:00:00.000000000,145.0,207.23424
2020-01-06T22:00:00.000000000,165.0,249.27286
2020-01-06T23:00:00.000000000,231.0,262.3112
2020-01-07T00:00:00.000000000,305.0,305.4688
2020-01-07T01:00:00.000000000,319.0,330.61035
2020-01-07T02:00:00.000000000,345.0,377.81747
2020-01-07T03:00:00.000000000,353.0,430.62885
2020-01-07T04:00:00.000000000,320.0,480.95688
2020-01-07T05:00:00.000000000,342.0,519.8547
2020-01-07T06:00:00.000000000,356.0,565.73615
2020-01-07T07:00:00.000000000,386.0,594.8628
2020-01-07T08:00:00.000000000,413.0,601.6512
2020-01-07T09:00:00.000000000,464.0,618.5932
2020-01-07T10:00:00.000000000,523.0,621.5941
2020-01-07T11:00:00.000000000,586.0,599.618
2020-01-07T12:00:00.000000000,610.0,577.777
2020-01-07T13:00:00.000000000,623.0,543.93225
2020-01-07T14:00:00.000000000,587.0,499.79935
2020-01-07T15:00:00.000000000,465.0,455.36267
2020-01-07T16:00:00.000000000,407.0,410.21906
2020-01-07T17:00:00.000000000,345.0,351.4322
2020-01-07T18:00:00.000000000,295.0,295.95035
2020-01-07T19:00:00.000000000,208.0,246.11923
2020-01-07T20:00:00.000000000,150.0,195.04025
2020-01-07T21:00:00.000000000,108.0,158.07452
2020-01-07T22:00:00.000000000,92.0,123.14024
2020-01-07T23:00:00.000000000,83.0,89.28857
2020-01-08T00:00:00.000000000,89.0,193.25256
2020-01-08T01:00:00.000000000,89.0,192.46431
2020-01-08T02:00:00.000000000,95.0,187.41736
2020-01-08T03:00:00.000000000,90.0,200.04791
2020-01-08T04:00:00.000000000,95.0,225.46806
2020-01-08T05:00:00.000000000,96.0,235.45827
2020-01-08T06:00:00.000000000,62.0,242.78693
2020-01-08T07:00:00.000000000,69.0,280.34787
2020-01-08T08:00:00.000000000,100.0,312.7668
2020-01-08T09:00:00.000000000,118.0,329.4723
