,UTC time,solar,wind
0,2019/01/01 00:00,,
1,2019/01/01 01:00,,
2,2019/01/01 02:00,,
3,2019/01/01 03:00,,
4,2019/01/01 04:00,,
5,2019/01/01 05:00,,
6,2019/01/01 06:00,,
7,2019/01/01 07:00,,
8,2019/01/01 08:00,,
9,2019/01/01 09:00,,
10,2019/01/01 10:00,,
11,2019/01/01 11:00,,
12,2019/01/01 12:00,,
13,2019/01/01 13:00,,
14,2019/01/01 14:00,,
15,2019/01/01 15:00,,
16,2019/01/01 16:00,,
17,2019/01/01 17:00,,
18,2019/01/01 18:00,,
19,2019/01/01 19:00,,
20,2019/01/01 20:00,,
21,2019/01/01 21:00,,
22,2019/01/01 22:00,,
23,2019/01/01 23:00,,
24,2019/01/02 00:00,,
25,2019/01/02 01:00,,
26,2019/01/02 02:00,,
27,2019/01/02 03:00,,
28,2019/01/02 04:00,,
29,2019/01/02 05:00,,
30,2019/01/02 06:00,,
31,2019/01/02 07:00,,
32,2019/01/02 08:00,,
33,2019/01/02 09:00,,
34,2019/01/02 10:00,,
35,2019/01/02 11:00,,
36,2019/01/02 12:00,,
37,2019/01/02 13:00,,
38,2019/01/02 14:00,,
39,2019/01/02 15:00,,
40,2019/01/02 16:00,,
41,2019/01/02 17:00,,
42,2019/01/02 18:00,,
43,2019/01/02 19:00,,
44,2019/01/02 20:00,,
45,2019/01/02 21:00,,
46,2019/01/02 22:00,,
47,2019/01/02 23:00,,
48,2019/01/03 00:00,,
49,2019/01/03 01:00,,
50,2019/01/03 02:00,,
51,2019/01/03 03:00,,
52,2019/01/03 04:00,,
53,2019/01/03 05:00,,
54,2019/01/03 06:00,,
55,2019/01/03 07:00,,
56,2019/01/03 08:00,,
57,2019/01/03 09:00,,
58,2019/01/03 10:00,,
59,2019/01/03 11:00,,
60,2019/01/03 12:00,,
61,2019/01/03 13:00,,
62,2019/01/03 14:00,,
63,2019/01/03 15:00,,
64,2019/01/03 16:00,,
65,2019/01/03 17:00,,
66,2019/01/03 18:00,,
67,2019/01/03 19:00,,
68,2019/01/03 20:00,,
69,2019/01/03 21:00,,
70,2019/01/03 22:00,,
71,2019/01/03 23:00,,
72,2019/01/04 00:00,,
73,2019/01/04 01:00,,
74,2019/01/04 02:00,,
75,2019/01/04 03:00,,
76,2019/01/04 04:00,,
77,2019/01/04 05:00,,
78,2019/01/04 06:00,,
79,2019/01/04 07:00,,
80,2019/01/04 08:00,,
81,2019/01/04 09:00,,
82,2019/01/04 10:00,,
83,2019/01/04 11:00,,
84,2019/01/04 12:00,,
85,2019/01/04 13:00,,
86,2019/01/04 14:00,,
87,2019/01/04 15:00,,
88,2019/01/04 16:00,,
89,2019/01/04 17:00,,
90,2019/01/04 18:00,,
91,2019/01/04 19:00,,
92,2019/01/04 20:00,,
93,2019/01/04 21:00,,
94,2019/01/04 22:00,,
95,2019/01/04 23:00,,
96,2019/01/05 00:00,,
97,2019/01/05 01:00,,
98,2019/01/05 02:00,,
99,2019/01/05 03:00,,
100,2019/01/05 04:00,,
101,2019/01/05 05:00,,
102,2019/01/05 06:00,,
103,2019/01/05 07:00,,
104,2019/01/05 08:00,,
105,2019/01/05 09:00,,
106,2019/01/05 10:00,,
107,2019/01/05 11:00,,
108,2019/01/05 12:00,,
109,2019/01/05 13:00,,
110,2019/01/05 14:00,,
111,2019/01/05 15:00,,
112,2019/01/05 16:00,,
113,2019/01/05 17:00,,
114,2019/01/05 18:00,,
115,2019/01/05 19:00,,
116,2019/01/05 20:00,,
117,2019/01/05 21:00,,
118,2019/01/05 22:00,,
119,2019/01/05 23:00,,
120,2019/01/06 00:00,,
121,2019/01/06 01:00,,
122,2019/01/06 02:00,,
123,2019/01/06 03:00,,
124,2019/01/06 04:00,,
125,2019/01/06 05:00,,
126,2019/01/06 06:00,,
127,2019/01/06 07:00,,
128,2019/01/06 08:00,,
129,2019/01/06 09:00,,
130,2019/01/06 10:00,,
131,2019/01/06 11:00,,
132,2019/01/06 12:00,,
133,2019/01/06 13:00,,
134,2019/01/06 14:00,,
135,2019/01/06 15:00,,
136,2019/01/06 16:00,,
137,2019/01/06 17:00,,
138,2019/01/06 18:00,,
139,2019/01/06 19:00,,
140,2019/01/06 20:00,,
141,2019/01/06 21:00,,
142,2019/01/06 22:00,,
143,2019/01/06 23:00,,
144,2019/01/07 00:00,,
145,2019/01/07 01:00,,
146,2019/01/07 02:00,,
147,2019/01/07 03:00,,
148,2019/01/07 04:00,,
149,2019/01/07 05:00,,
150,2019/01/07 06:00,,
151,2019/01/07 07:00,,
152,2019/01/07 08:00,,
153,2019/01/07 09:00,,
154,2019/01/07 10:00,,
155,2019/01/07 11:00,,
156,2019/01/07 12:00,,
157,2019/01/07 13:00,,
158,2019/01/07 14:00,,
159,2019/01/07 15:00,,
160,2019/01/07 16:00,,
161,2019/01/07 17:00,,
162,2019/01/07 18:00,,
163,2019/01/07 19:00,,
164,2019/01/07 20:00,,
165,2019/01/07 21:00,,
166,2019/01/07 22:00,,
167,2019/01/07 23:00,,
168,2019/01/08 00:00,,
169,2019/01/08 01:00,,
170,2019/01/08 02:00,,
171,2019/01/08 03:00,,
172,2019/01/08 04:00,,
173,2019/01/08 05:00,,
174,2019/01/08 06:00,,
175,2019/01/08 07:00,,
176,2019/01/08 08:00,,
177,2019/01/08 09:00,,
178,2019/01/08 10:00,,
179,2019/01/08 11:00,,
180,2019/01/08 12:00,,
181,2019/01/08 13:00,,
182,2019/01/08 14:00,,
183,2019/01/08 15:00,,
184,2019/01/08 16:00,,
185,2019/01/08 17:00,,
186,2019/01/08 18:00,,
187,2019/01/08 19:00,,
188,2019/01/08 20:00,,
189,2019/01/08 21:00,,
190,2019/01/08 22:00,,
191,2019/01/08 23:00,,
