,UTC time,carbon_intensity,coal,nat_gas,oil,hydro,solar,wind,biomass,geothermal,unknown
0,2019-01-01 00:00:00,239.87,200.0,207.0,17.0,173.0,0.0,409.0,40.0,0.0,46.0
1,2019-01-01 01:00:00,245.72,200.0,205.0,17.0,150.0,0.0,405.0,40.0,0.0,46.0
2,2019-01-01 02:00:00,250.07,200.0,206.0,17.0,157.0,0.0,380.0,40.0,0.0,46.0
3,2019-01-01 03:00:00,247.58,200.0,205.0,17.0,123.0,0.0,424.0,40.0,0.0,46.0
4,2019-01-01 04:00:00,253.29,200.0,214.0,18.0,154.0,0.0,374.0,40.0,0.0,46.0
5,2019-01-01 05:00:00,241.54,200.0,213.0,19.0,234.0,0.0,345.0,40.0,0.0,46.0
6,2019-01-01 06:00:00,231.51,200.0,215.0,18.0,282.0,0.0,345.0,40.0,0.0,46.0
7,2019-01-01 07:00:00,215.52,200.0,215.0,18.0,383.0,3.0,326.0,40.0,0.0,46.0
8,2019-01-01 08:00:00,223.41,199.0,216.0,17.0,382.0,8.0,276.0,40.0,0.0,46.0
9,2019-01-01 09:00:00,222.88,200.0,216.0,18.0,448.0,11.0,213.0,40.0,0.0,46.0
10,2019-01-01 10:00:00,234.64,200.0,216.0,19.0,468.0,13.0,132.0,40.0,0.0,46.0
11,2019-01-01 11:00:00,239.66,200.0,215.0,18.0,478.0,13.0,97.0,40.0,0.0,46.0
12,2019-01-01 12:00:00,247.37,200.0,214.0,18.0,449.0,12.0,92.0,40.0,0.0,46.0
13,2019-01-01 13:00:00,259.74,200.0,214.0,18.0,419.0,9.0,74.0,40.0,0.0,46.0
14,2019-01-01 14:00:00,265.47,200.0,214.0,18.0,418.0,3.0,59.0,40.0,0.0,46.0
15,2019-01-01 15:00:00,247.81,200.0,213.0,17.0,494.0,0.0,56.0,40.0,0.0,46.0
16,2019-01-01 16:00:00,209.64,199.0,215.0,17.0,682.0,0.0,61.0,40.0,0.0,46.0
17,2019-01-01 17:00:00,200.23,200.0,215.0,17.0,744.0,0.0,61.0,40.0,0.0,46.0
18,2019-01-01 18:00:00,201.72,201.0,215.0,16.0,762.0,0.0,35.0,40.0,0.0,46.0
19,2019-01-01 19:00:00,206.15,200.0,215.0,16.0,743.0,0.0,23.0,40.0,0.0,46.0
20,2019-01-01 20:00:00,206.79,200.0,215.0,17.0,739.0,0.0,24.0,40.0,0.0,46.0
21,2019-01-01 21:00:00,226.38,199.0,215.0,21.0,622.0,0.0,31.0,40.0,0.0,46.0
22,2019-01-01 22:00:00,235.46,199.0,212.0,21.0,579.0,0.0,27.0,40.0,0.0,46.0
23,2019-01-01 23:00:00,309.82,200.0,212.0,22.0,317.0,0.0,21.0,40.0,0.0,46.0
24,2019-01-02 00:00:00,341.45,199.0,211.0,21.0,235.0,0.0,22.0,40.0,0.0,46.0
25,2019-01-02 01:00:00,340.2,200.0,210.0,21.0,238.0,0.0,23.0,40.0,0.0,46.0
26,2019-01-02 02:00:00,325.5,200.0,209.0,21.0,265.0,0.0,31.0,40.0,0.0,46.0
27,2019-01-02 03:00:00,316.41,200.0,213.0,21.0,256.0,0.0,64.0,40.0,0.0,46.0
28,2019-01-02 04:00:00,308.15,200.0,214.0,25.0,268.0,0.0,76.0,40.0,0.0,46.0
29,2019-01-02 05:00:00,238.36,200.0,214.0,23.0,518.0,0.0,79.0,40.0,0.0,46.0
30,2019-01-02 06:00:00,196.26,200.0,214.0,19.0,716.0,0.0,117.0,40.0,0.0,46.0
31,2019-01-02 07:00:00,171.0,200.0,214.0,17.0,816.0,4.0,210.0,40.0,0.0,46.0
32,2019-01-02 08:00:00,164.45,199.0,214.0,17.0,738.0,9.0,341.0,40.0,0.0,46.0
33,2019-01-02 09:00:00,157.45,200.0,215.0,18.0,744.0,12.0,410.0,40.0,0.0,46.0
34,2019-01-02 10:00:00,154.55,200.0,216.0,18.0,745.0,14.0,440.0,40.0,0.0,46.0
35,2019-01-02 11:00:00,155.0,200.0,216.0,18.0,720.0,14.0,460.0,40.0,0.0,46.0
36,2019-01-02 12:00:00,156.58,200.0,214.0,18.0,701.0,13.0,460.0,40.0,0.0,46.0
37,2019-01-02 13:00:00,157.51,200.0,214.0,18.0,719.0,10.0,435.0,40.0,0.0,46.0
38,2019-01-02 14:00:00,155.83,199.0,216.0,18.0,719.0,3.0,459.0,40.0,0.0,46.0
39,2019-01-02 15:00:00,155.55,200.0,215.0,17.0,753.0,0.0,432.0,40.0,0.0,46.0
40,2019-01-02 16:00:00,152.71,200.0,215.0,19.0,804.0,0.0,416.0,40.0,0.0,46.0
41,2019-01-02 17:00:00,150.98,199.0,216.0,20.0,839.0,0.0,400.0,40.0,0.0,46.0
42,2019-01-02 18:00:00,150.06,200.0,217.0,18.0,848.0,0.0,404.0,40.0,0.0,46.0
43,2019-01-02 19:00:00,150.83,200.0,216.0,16.0,837.0,0.0,401.0,40.0,0.0,46.0
44,2019-01-02 20:00:00,154.05,200.0,217.0,18.0,794.0,0.0,412.0,40.0,0.0,46.0
45,2019-01-02 21:00:00,159.76,200.0,214.0,21.0,714.0,0.0,431.0,40.0,0.0,46.0
46,2019-01-02 22:00:00,171.31,200.0,210.0,21.0,591.0,0.0,437.0,40.0,0.0,46.0
47,2019-01-02 23:00:00,210.24,199.0,207.0,21.0,334.0,0.0,403.0,40.0,0.0,46.0
48,2019-01-03 00:00:00,244.49,200.0,205.0,21.0,241.0,0.0,322.0,40.0,0.0,46.0
49,2019-01-03 01:00:00,254.53,200.0,205.0,20.0,216.0,0.0,304.0,40.0,0.0,46.0
50,2019-01-03 02:00:00,258.56,199.0,205.0,20.0,230.0,0.0,272.0,40.0,0.0,46.0
51,2019-01-03 03:00:00,252.49,199.0,206.0,22.0,264.0,0.0,264.0,40.0,0.0,46.0
