UTC time,nat_gas,oil,hydro,solar,wind,other
2023-09-05 00:00:00,267.0,0.0,755.0,361.0,386.0,33.0
2023-09-05 01:00:00,269.0,0.0,785.0,294.0,346.0,33.0
2023-09-05 02:00:00,267.0,0.0,871.0,76.0,256.0,34.0
2023-09-05 03:00:00,269.0,0.0,796.0,0.0,222.0,33.0
2023-09-05 04:00:00,269.0,0.0,797.0,0.0,199.0,35.0
2023-09-05 05:00:00,269.0,0.0,754.0,0.0,122.0,38.0
2023-09-05 06:00:00,272.0,0.0,716.0,0.0,77.0,38.0
2023-09-05 07:00:00,273.0,0.0,709.0,0.0,66.0,41.0
2023-09-05 08:00:00,275.0,0.0,712.0,0.0,55.0,39.0
2023-09-05 09:00:00,276.0,0.0,674.0,0.0,21.0,42.0
2023-09-05 10:00:00,277.0,0.0,587.0,0.0,11.0,39.0
2023-09-05 11:00:00,280.0,0.0,623.0,0.0,8.0,42.0
2023-09-05 12:00:00,279.0,0.0,770.0,0.0,13.0,41.0
2023-09-05 13:00:00,280.0,0.0,701.0,0.0,29.0,42.0
2023-09-05 14:00:00,281.0,0.0,770.0,32.0,64.0,42.0
2023-09-05 15:00:00,280.0,0.0,781.0,244.0,76.0,41.0
2023-09-05 16:00:00,278.0,0.0,799.0,415.0,44.0,38.0
2023-09-05 17:00:00,275.0,0.0,856.0,430.0,44.0,37.0
2023-09-05 18:00:00,271.0,0.0,896.0,433.0,50.0,34.0
2023-09-05 19:00:00,307.0,0.0,917.0,408.0,69.0,45.0
2023-09-05 20:00:00,483.0,0.0,910.0,372.0,70.0,45.0
2023-09-05 21:00:00,601.0,0.0,932.0,392.0,53.0,51.0
2023-09-05 22:00:00,606.0,0.0,916.0,323.0,45.0,47.0
2023-09-05 23:00:00,603.0,0.0,902.0,261.0,151.0,48.0
