UTC time,nat_gas,oil,hydro,solar,wind,other
2023-05-10 00:00:00,0.0,0.0,1469.0,393.0,18.0,29.0
2023-05-10 01:00:00,5.0,0.0,1500.0,371.0,16.0,31.0
2023-05-10 02:00:00,58.0,0.0,1518.0,170.0,24.0,31.0
2023-05-10 03:00:00,197.0,0.0,1532.0,21.0,29.0,31.0
2023-05-10 04:00:00,154.0,0.0,1533.0,0.0,63.0,34.0
2023-05-10 05:00:00,141.0,0.0,1509.0,0.0,67.0,32.0
2023-05-10 06:00:00,24.0,0.0,1494.0,0.0,44.0,33.0
2023-05-10 07:00:00,0.0,0.0,1482.0,0.0,39.0,33.0
2023-05-10 08:00:00,0.0,0.0,1414.0,0.0,48.0,34.0
2023-05-10 09:00:00,0.0,0.0,1426.0,0.0,75.0,32.0
2023-05-10 10:00:00,0.0,0.0,1446.0,0.0,44.0,33.0
2023-05-10 11:00:00,8.0,0.0,1458.0,0.0,42.0,32.0
2023-05-10 12:00:00,124.0,0.0,1484.0,0.0,58.0,34.0
2023-05-10 13:00:00,131.0,0.0,1498.0,4.0,62.0,30.0
2023-05-10 14:00:00,152.0,0.0,1514.0,80.0,56.0,30.0
2023-05-10 15:00:00,122.0,0.0,1484.0,165.0,47.0,19.0
2023-05-10 16:00:00,8.0,0.0,1479.0,266.0,52.0,19.0
2023-05-10 17:00:00,0.0,0.0,1443.0,360.0,56.0,20.0
2023-05-10 18:00:00,0.0,0.0,1363.0,392.0,89.0,28.0
2023-05-10 19:00:00,0.0,0.0,1428.0,396.0,68.0,33.0
2023-05-10 20:00:00,0.0,0.0,1399.0,392.0,48.0,33.0
2023-05-10 21:00:00,0.0,0.0,1391.0,394.0,43.0,29.0
2023-05-10 22:00:00,0.0,0.0,1419.0,392.0,48.0,30.0
2023-05-10 23:00:00,0.0,0.0,1380.0,380.0,73.0,30.0
