UTC time,solar,nuclear,nat_gas,other,oil,hydro,coal,wind
2019-01-01 00:00:00,1222.0,2273.0,6574.0,0.0,88.0,2403.0,9.0,2497.0
2019-01-01 01:00:00,0.0,2274.0,9094.0,0.0,87.0,3328.0,11.0,2187.0
2019-01-01 02:00:00,0.0,2274.0,9212.0,15.0,90.0,3539.0,11.0,2297.0
2019-01-01 03:00:00,0.0,2272.0,8309.0,35.0,90.0,3480.0,10.0,2304.0
2019-01-01 04:00:00,0.0,2273.0,7912.0,8.0,88.0,3192.0,10.0,2472.0
2019-01-01 05:00:00,0.0,2274.0,7098.0,0.0,88.0,2715.0,8.0,3282.0
2019-01-01 06:00:00,0.0,2271.0,7431.0,0.0,90.0,2454.0,11.0,2954.0
2019-01-01 07:00:00,0.0,2272.0,7567.0,0.0,89.0,2316.0,12.0,2670.0
2019-01-01 08:00:00,0.0,2272.0,7098.0,75.0,93.0,2084.0,12.0,2918.0
2019-01-01 09:00:00,0.0,2273.0,6838.0,51.0,89.0,2110.0,11.0,2501.0
2019-01-01 10:00:00,0.0,2275.0,6693.0,0.0,89.0,1883.0,10.0,2365.0
2019-01-01 11:00:00,0.0,2274.0,6574.0,0.0,88.0,1592.0,11.0,2416.0
2019-01-01 12:00:00,0.0,2273.0,6597.0,0.0,90.0,1618.0,9.0,2319.0
2019-01-01 13:00:00,0.0,2275.0,6920.0,14.0,91.0,1822.0,12.0,2162.0
2019-01-01 14:00:00,0.0,2276.0,7111.0,0.0,88.0,2246.0,12.0,2101.0
2019-01-01 15:00:00,164.0,2274.0,7100.0,0.0,91.0,2392.0,10.0,1998.0
2019-01-01 16:00:00,3389.0,2274.0,5603.0,0.0,89.0,1507.0,13.0,1902.0
2019-01-01 17:00:00,6909.0,2274.0,4121.0,75.0,86.0,1390.0,14.0,1961.0
2019-01-01 18:00:00,7931.0,2273.0,3656.0,0.0,90.0,1187.0,12.0,1774.0
2019-01-01 19:00:00,7909.0,2274.0,3538.0,0.0,92.0,1077.0,13.0,2082.0
