UTC time,creation_time (UTC),version,nat_gas,solar
2023-08-14 00:00:00,2023-08-21 20:44:56,3.0,1080.0,154.0
2023-08-14 01:00:00,2023-08-21 20:44:56,3.0,1113.0,139.0
2023-08-14 02:00:00,2023-08-21 20:44:56,3.0,1103.0,52.0
2023-08-14 03:00:00,2023-08-21 20:44:56,3.0,1129.0,19.0
2023-08-14 04:00:00,2023-08-21 20:44:56,3.0,1084.0,4.0
2023-08-14 05:00:00,2023-08-21 20:44:56,3.0,1018.0,1.0
2023-08-14 06:00:00,2023-08-21 20:44:56,3.0,874.0,0.0
2023-08-14 07:00:00,2023-08-21 20:44:56,3.0,751.0,0.0
2023-08-14 08:00:00,2023-08-21 20:44:56,3.0,706.0,0.0
2023-08-14 09:00:00,2023-08-21 20:44:56,3.0,675.0,0.0
2023-08-14 10:00:00,2023-08-21 20:44:56,3.0,662.0,0.0
2023-08-14 11:00:00,2023-08-21 20:44:56,3.0,659.0,0.0
2023-08-14 12:00:00,2023-08-21 20:44:56,3.0,667.0,0.0
2023-08-14 13:00:00,2023-08-21 20:44:56,3.0,675.0,2.0
2023-08-14 14:00:00,2023-08-21 20:44:56,3.0,628.0,35.0
2023-08-14 15:00:00,2023-08-21 20:44:56,3.0,597.0,102.0
2023-08-14 16:00:00,2023-08-21 20:44:56,3.0,571.0,243.0
2023-08-14 17:00:00,2023-08-21 20:44:56,3.0,601.0,231.0
2023-08-14 18:00:00,2023-08-21 20:44:56,3.0,721.0,186.0
2023-08-14 19:00:00,2023-08-21 20:44:56,3.0,842.0,263.0
2023-08-14 20:00:00,2023-08-21 20:44:56,3.0,892.0,243.0
2023-08-14 21:00:00,2023-08-21 20:44:56,3.0,903.0,170.0
2023-08-14 22:00:00,2023-08-21 20:44:56,3.0,1010.0,185.0
2023-08-14 23:00:00,2023-08-21 20:44:56,3.0,1010.0,188.0
