,UTC time,carbon_intensity,nat_gas,solar
0,2023-08-01 00:00:00,318.95,1087.0,174.0
1,2023-08-01 01:00:00,332.58,1102.0,124.0
2,2023-08-01 02:00:00,364.89,1142.0,16.0
3,2023-08-01 03:00:00,369.38,1189.0,2.0
4,2023-08-01 04:00:00,369.34,1121.0,2.0
5,2023-08-01 05:00:00,370.0,1108.0,0.0
6,2023-08-01 06:00:00,370.0,1115.0,0.0
7,2023-08-01 07:00:00,370.0,1071.0,0.0
8,2023-08-01 08:00:00,370.0,981.0,0.0
9,2023-08-01 09:00:00,370.0,915.0,0.0
10,2023-08-01 10:00:00,370.0,887.0,0.0
11,2023-08-01 11:00:00,370.0,862.0,0.0
12,2023-08-01 12:00:00,370.0,881.0,0.0
13,2023-08-01 13:00:00,369.2,919.0,2.0
14,2023-08-01 14:00:00,338.3,683.0,64.0
15,2023-08-01 15:00:00,329.34,648.0,80.0
16,2023-08-01 16:00:00,314.72,575.0,101.0
17,2023-08-01 17:00:00,294.43,639.0,164.0
18,2023-08-01 18:00:00,294.03,867.0,224.0
19,2023-08-01 19:00:00,297.56,879.0,214.0
20,2023-08-01 20:00:00,306.49,830.0,172.0
21,2023-08-01 21:00:00,307.73,934.0,189.0
22,2023-08-01 22:00:00,307.54,965.0,196.0
23,2023-08-01 23:00:00,309.03,968.0,191.0
