UTC time,creation_time (UTC),version,nat_gas,solar
2023-08-07 00:00:00,2023-08-08 18:44:47,3.0,1125.0,143.0
2023-08-07 01:00:00,2023-08-08 18:44:47,3.0,1141.0,119.0
2023-08-07 02:00:00,2023-08-08 18:44:47,3.0,1151.0,56.0
2023-08-07 03:00:00,2023-08-08 18:44:47,3.0,1153.0,5.0
2023-08-07 04:00:00,2023-08-08 18:44:47,3.0,1157.0,1.0
2023-08-07 05:00:00,2023-08-08 18:44:47,3.0,1152.0,1.0
2023-08-07 06:00:00,2023-08-08 18:44:47,3.0,1164.0,0.0
2023-08-07 07:00:00,2023-08-08 18:44:47,3.0,1092.0,0.0
2023-08-07 08:00:00,2023-08-08 18:44:47,3.0,983.0,0.0
2023-08-07 09:00:00,2023-08-08 18:44:47,3.0,916.0,0.0
2023-08-07 10:00:00,2023-08-08 18:44:47,3.0,843.0,0.0
2023-08-07 11:00:00,2023-08-08 18:44:47,3.0,822.0,1.0
2023-08-07 12:00:00,2023-08-08 18:44:47,3.0,823.0,1.0
2023-08-07 13:00:00,2023-08-08 18:44:47,3.0,812.0,3.0
2023-08-07 14:00:00,2023-08-08 18:44:47,3.0,647.0,73.0
2023-08-07 15:00:00,2023-08-08 18:44:47,3.0,639.0,150.0
2023-08-07 16:00:00,2023-08-08 18:44:47,3.0,656.0,218.0
2023-08-07 17:00:00,2023-08-08 18:44:47,3.0,824.0,213.0
2023-08-07 18:00:00,2023-08-08 18:44:47,3.0,946.0,207.0
2023-08-07 19:00:00,2023-08-08 18:44:47,3.0,1040.0,242.0
2023-08-07 20:00:00,2023-08-08 18:44:47,3.0,1102.0,227.0
2023-08-07 21:00:00,2023-08-08 18:44:47,3.0,1132.0,197.0
2023-08-07 22:00:00,2023-08-08 18:44:47,3.0,1134.0,193.0
2023-08-07 23:00:00,2023-08-08 18:44:47,3.0,1138.0,174.0
