,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,solar
0,2023-08-20 00:00:00,2023-08-21 21:40:21,3.0,313.36,1101.0,199.0
1,2023-08-20 01:00:00,2023-08-21 21:40:21,3.0,325.55,1106.0,151.0
2,2023-08-20 02:00:00,2023-08-21 21:40:21,3.0,351.26,1106.0,59.0
3,2023-08-20 03:00:00,2023-08-21 21:40:21,3.0,355.91,1061.0,42.0
4,2023-08-20 04:00:00,2023-08-21 21:40:21,3.0,357.96,981.0,33.0
5,2023-08-20 05:00:00,2023-08-21 21:40:21,3.0,364.57,873.0,13.0
6,2023-08-20 06:00:00,2023-08-21 21:40:21,3.0,369.1,824.0,2.0
7,2023-08-20 07:00:00,2023-08-21 21:40:21,3.0,370.0,695.0,0.0
8,2023-08-20 08:00:00,2023-08-21 21:40:21,3.0,370.0,672.0,0.0
9,2023-08-20 09:00:00,2023-08-21 21:40:21,3.0,370.0,671.0,0.0
10,2023-08-20 10:00:00,2023-08-21 21:40:21,3.0,370.0,643.0,0.0
11,2023-08-20 11:00:00,2023-08-21 21:40:21,3.0,370.0,610.0,0.0
12,2023-08-20 12:00:00,2023-08-21 21:40:21,3.0,370.0,606.0,0.0
13,2023-08-20 13:00:00,2023-08-21 21:40:21,3.0,369.39,607.0,1.0
14,2023-08-20 14:00:00,2023-08-21 21:40:21,3.0,326.79,605.0,80.0
15,2023-08-20 15:00:00,2023-08-21 21:40:21,3.0,285.42,604.0,179.0
16,2023-08-20 16:00:00,2023-08-21 21:40:21,3.0,253.63,595.0,273.0
17,2023-08-20 17:00:00,2023-08-21 21:40:21,3.0,262.7,639.0,261.0
18,2023-08-20 18:00:00,2023-08-21 21:40:21,3.0,278.28,801.0,264.0
19,2023-08-20 19:00:00,2023-08-21 21:40:21,3.0,293.37,915.0,239.0
20,2023-08-20 20:00:00,2023-08-21 21:40:21,3.0,301.27,995.0,227.0
21,2023-08-20 21:00:00,2023-08-21 21:40:21,3.0,312.09,1067.0,198.0
22,2023-08-20 22:00:00,2023-08-21 21:40:21,3.0,313.01,1071.0,195.0
23,2023-08-20 23:00:00,2023-08-21 21:40:21,3.0,316.27,1089.0,185.0
