datetime,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_solar_production_forecast,avg_other_production_forecast
2023-09-03 00:00:00,2023-09-04 18:10:14,3.0,5.8604332476721295,300.3174491088177,294.1404672252112,0.0,0.3926353190333288,14592.00844,3751.78436,6304.93994,2572809.55484
2023-09-03 01:00:00,2023-09-04 18:10:14,3.0,5.8604332476721295,300.3174491088177,294.1404672252112,0.0,0.3926353190333288,13994.15083,3756.04774,2025.08997,826363.27418
2023-09-03 02:00:00,2023-09-04 18:10:14,3.0,5.8604332476721295,300.3174491088177,294.1404672252112,0.0,0.3926353190333288,13191.92874,3765.11423,38.79,15828.74475
2023-09-03 03:00:00,2023-09-04 18:10:14,3.0,5.8604332476721295,300.3174491088177,294.1404672252112,0.0,0.3926353190333288,12252.06779,3770.36543,0.0,0.0
2023-09-03 04:00:00,2023-09-04 18:10:14,3.0,5.579435418789132,299.6309154037216,293.4987468917612,0.0,0.3926353190333288,11147.38455,3769.77425,0.0,0.0
2023-09-03 05:00:00,2023-09-04 18:10:14,3.0,5.579435418789132,299.6309154037216,293.4987468917612,0.0,0.3926353190333288,10071.46008,3758.57867,0.0,0.0
2023-09-03 06:00:00,2023-09-04 18:10:14,3.0,5.579435418789132,299.6309154037216,293.4987468917612,0.0,0.3926353190333288,8795.58509,3763.09728,0.0,0.0
2023-09-03 07:00:00,2023-09-04 18:10:14,3.0,5.2998314390317685,299.1712290820176,292.9267904749901,0.0,0.5565973851730603,7717.49654,3725.15107,0.0,0.0
2023-09-03 08:00:00,2023-09-04 18:10:14,3.0,5.2998314390317685,299.1712290820176,292.9267904749901,0.0,0.5565973851730603,7007.71388,3726.07396,0.0,0.0
2023-09-03 09:00:00,2023-09-04 18:10:14,3.0,5.2998314390317685,299.1712290820176,292.9267904749901,0.0,0.5565973851730603,6515.80015,3730.83952,0.0,0.0
2023-09-03 10:00:00,2023-09-04 18:10:14,3.0,5.252735106704526,299.2525989710655,292.8770486731605,0.0,0.7176838760047984,6469.49279,3761.94018,0.0,0.0
2023-09-03 11:00:00,2023-09-04 18:10:14,3.0,5.252735106704526,299.2525989710655,292.8770486731605,0.0,0.7176838760047984,6714.19677,3761.80277,0.0,0.0
2023-09-03 12:00:00,2023-09-04 18:10:14,3.0,5.252735106704526,299.2525989710655,292.8770486731605,0.0,0.7176838760047984,7344.86321,3763.1079,0.0,0.0
2023-09-03 13:00:00,2023-09-04 18:10:14,3.0,5.957718528889954,301.303231203306,292.659890001656,6.1384432104290445,0.8400501501656097,8341.96658,3760.29177,430.88,175825.97199
2023-09-03 14:00:00,2023-09-04 18:10:14,3.0,5.957718528889954,301.303231203306,292.659890001656,6.1384432104290445,0.8400501501656097,9476.96915,3753.74748,3356.96997,1369853.55867
2023-09-03 15:00:00,2023-09-04 18:10:14,3.0,5.957718528889954,301.303231203306,292.659890001656,6.1384432104290445,0.8400501501656097,10496.06687,3754.41775,7492.39014,3057363.45016
2023-09-03 16:00:00,2023-09-04 18:10:14,3.0,5.768814666076128,302.5705016766683,292.3366529698699,396.6108697816345,0.913442868394458,11744.77472,3720.28045,9925.08984,4050056.97437
2023-09-03 17:00:00,2023-09-04 18:10:14,3.0,5.768814666076128,302.5705016766683,292.3366529698699,396.6108697816345,0.913442868394458,12675.24566,3747.22893,11097.37012,4528420.59344
2023-09-03 18:00:00,2023-09-04 18:10:14,3.0,5.768814666076128,302.5705016766683,292.3366529698699,396.6108697816345,0.913442868394458,13548.11327,3764.67249,11824.0498,4824951.32343
2023-09-03 19:00:00,2023-09-04 18:10:14,3.0,5.440011379981593,302.52926034625614,292.3554627775037,625.9988101780596,0.9686769495818036,14042.59639,3734.68832,12187.37012,4973208.71844
2023-09-03 20:00:00,2023-09-04 18:10:14,3.0,5.440011379981593,302.52926034625614,292.3554627775037,625.9988101780596,0.9686769495818036,14739.90414,3707.48463,12331.50977,5032026.70374
2023-09-03 21:00:00,2023-09-04 18:10:14,3.0,5.440011379981593,302.52926034625614,292.3554627775037,625.9988101780596,0.9686769495818036,14850.26344,3709.19867,12260.66016,5003115.63501
2023-09-03 22:00:00,2023-09-04 18:10:14,3.0,5.372242476122299,300.82860700015783,293.04410060489687,750.0188463447694,1.0143456969297588,14979.59803,3708.16788,11821.5,4823910.84375
2023-09-03 23:00:00,2023-09-04 18:10:14,3.0,5.372242476122299,300.82860700015783,293.04410060489687,750.0188463447694,1.0143456969297588,14694.46581,3728.76283,10657.03027,4348734.41595
2023-09-04 00:00:00,2023-09-04 18:10:14,3.0,5.372242476122299,300.82860700015783,293.04410060489687,750.0188463447694,1.0143456969297588,14245.90324,3737.71741,0.0,1712115.08392
2023-09-04 01:00:00,2023-09-04 18:10:14,3.0,5.705045741355787,299.99148407583016,293.1439661000162,480.6822618774893,1.0564531575299672,13564.25291,3742.09128,0.0,1869695.35217
2023-09-04 02:00:00,2023-09-04 18:10:14,3.0,5.705045741355787,299.99148407583016,293.1439661000162,480.6822618774893,1.0564531575299672,12689.91349,3751.14643,0.0,1692331.4249
2023-09-04 03:00:00,2023-09-04 18:10:14,3.0,5.705045741355787,299.99148407583016,293.1439661000162,480.6822618774893,1.0564531575299672,11689.67273,3756.18232,4.85479,1245228.72078
