,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,nuclear,oil,solar,other
0,2023-08-03 00:00:00,2023-08-13 18:54:59,3.0,340.32,14755.0,3681.0,0.0,392.0,4040.0
1,2023-08-03 01:00:00,2023-08-13 18:54:59,3.0,342.44,14590.0,3681.0,0.0,18.0,3718.0
2,2023-08-03 02:00:00,2023-08-13 18:54:59,3.0,340.92,13216.0,3683.0,0.0,0.0,3722.0
3,2023-08-03 03:00:00,2023-08-13 18:54:59,3.0,338.54,11979.0,3687.0,0.0,0.0,3685.0
4,2023-08-03 04:00:00,2023-08-13 18:54:59,3.0,333.77,10417.0,3690.0,0.0,0.0,3541.0
5,2023-08-03 05:00:00,2023-08-13 18:54:59,3.0,328.11,9558.0,3690.0,0.0,0.0,3282.0
6,2023-08-03 06:00:00,2023-08-13 18:54:59,3.0,326.44,8630.0,3690.0,0.0,0.0,3334.0
7,2023-08-03 07:00:00,2023-08-13 18:54:59,3.0,320.1,8282.0,3691.0,0.0,0.0,3014.0
8,2023-08-03 08:00:00,2023-08-13 18:54:59,3.0,313.76,7995.0,3691.0,0.0,0.0,2712.0
9,2023-08-03 09:00:00,2023-08-13 18:54:59,3.0,312.85,7870.0,3691.0,0.0,0.0,2689.0
10,2023-08-03 10:00:00,2023-08-13 18:54:59,3.0,314.05,8185.0,3690.0,0.0,0.0,2686.0
11,2023-08-03 11:00:00,2023-08-13 18:54:59,3.0,316.9,8816.0,3690.0,0.0,0.0,2717.0
12,2023-08-03 12:00:00,2023-08-13 18:54:59,3.0,315.01,9394.0,3691.0,0.0,235.0,2770.0
13,2023-08-03 13:00:00,2023-08-13 18:54:59,3.0,299.63,9845.0,3695.0,0.0,1295.0,2914.0
14,2023-08-03 14:00:00,2023-08-13 18:54:59,3.0,285.99,9948.0,3696.0,0.0,2527.0,3266.0
15,2023-08-03 15:00:00,2023-08-13 18:54:59,3.0,280.96,10905.0,3696.0,0.0,3201.0,3288.0
16,2023-08-03 16:00:00,2023-08-13 18:54:59,3.0,282.4,12381.0,3696.0,0.0,3552.0,3289.0
17,2023-08-03 17:00:00,2023-08-13 18:54:59,3.0,286.29,13869.0,3694.0,0.0,3699.0,3310.0
18,2023-08-03 18:00:00,2023-08-13 18:54:59,3.0,290.94,15061.0,3693.0,0.0,3677.0,3357.0
19,2023-08-03 19:00:00,2023-08-13 18:54:59,3.0,295.57,15657.0,3690.0,0.0,3539.0,3476.0
20,2023-08-03 20:00:00,2023-08-13 18:54:59,3.0,305.04,15499.0,3687.0,0.0,3214.0,4068.0
21,2023-08-03 21:00:00,2023-08-13 18:54:59,3.0,311.54,15304.0,3683.0,0.0,2720.0,4176.0
22,2023-08-03 22:00:00,2023-08-13 18:54:59,3.0,319.11,15088.0,3682.0,0.0,2077.0,4181.0
23,2023-08-03 23:00:00,2023-08-13 18:54:59,3.0,327.19,15007.0,3678.0,0.0,1317.0,4003.0
