UTC time,coal,nat_gas,hydro,wind,biomass,unknown
2023-01-01 00:00:00,1947.0,237.0,1001.0,105.0,30.0,27.0
2023-01-01 01:00:00,1945.0,239.0,909.0,157.0,30.0,27.0
2023-01-01 02:00:00,1924.0,239.0,764.0,76.0,30.0,27.0
2023-01-01 03:00:00,1934.0,237.0,876.0,38.0,30.0,27.0
2023-01-01 04:00:00,1943.0,238.0,996.0,95.0,30.0,27.0
2023-01-01 05:00:00,1946.0,242.0,844.0,121.0,30.0,27.0
2023-01-01 06:00:00,1956.0,233.0,890.0,116.0,30.0,27.0
2023-01-01 07:00:00,1931.0,240.0,1099.0,111.0,30.0,27.0
2023-01-01 08:00:00,1932.0,233.0,1314.0,70.0,30.0,27.0
2023-01-01 09:00:00,1954.0,233.0,1493.0,92.0,30.0,27.0
2023-01-01 10:00:00,1948.0,233.0,1487.0,66.0,30.0,27.0
2023-01-01 11:00:00,1957.0,235.0,1382.0,61.0,30.0,27.0
2023-01-01 12:00:00,1959.0,235.0,1357.0,49.0,30.0,27.0
2023-01-01 13:00:00,1938.0,233.0,1355.0,40.0,30.0,27.0
2023-01-01 14:00:00,1911.0,231.0,1347.0,39.0,30.0,27.0
2023-01-01 15:00:00,1896.0,232.0,1453.0,48.0,30.0,27.0
2023-01-01 16:00:00,1896.0,235.0,1420.0,88.0,30.0,27.0
2023-01-01 17:00:00,1936.0,235.0,1224.0,111.0,30.0,27.0
2023-01-01 18:00:00,1942.0,235.0,1256.0,63.0,30.0,27.0
2023-01-01 19:00:00,1926.0,236.0,1280.0,50.0,30.0,27.0
2023-01-01 20:00:00,1935.0,235.0,1196.0,81.0,30.0,27.0
2023-01-01 21:00:00,1934.0,237.0,1220.0,97.0,30.0,27.0
2023-01-01 22:00:00,1947.0,235.0,1322.0,96.0,30.0,27.0
2023-01-01 23:00:00,1911.0,234.0,1262.0,72.0,30.0,27.0
2023-01-02 00:00:00,1900.0,233.0,1156.0,45.0,30.0,27.0
2023-01-02 01:00:00,1906.0,233.0,1041.0,28.0,30.0,27.0
2023-01-02 02:00:00,1886.0,232.0,993.0,23.0,30.0,27.0
2023-01-02 03:00:00,1923.0,232.0,891.0,34.0,30.0,27.0
2023-01-02 04:00:00,1930.0,232.0,770.0,43.0,30.0,27.0
2023-01-02 05:00:00,1943.0,225.0,962.0,56.0,30.0,27.0
2023-01-02 06:00:00,1952.0,225.0,1076.0,93.0,30.0,27.0
2023-01-02 07:00:00,1943.0,232.0,1336.0,105.0,30.0,27.0
2023-01-02 08:00:00,1951.0,233.0,1483.0,86.0,30.0,27.0
2023-01-02 09:00:00,1951.0,233.0,1471.0,66.0,30.0,27.0
2023-01-02 10:00:00,1972.0,230.0,1464.0,52.0,30.0,27.0
2023-01-02 11:00:00,1974.0,235.0,1403.0,40.0,30.0,27.0
2023-01-02 12:00:00,1980.0,225.0,1369.0,41.0,30.0,27.0
2023-01-02 13:00:00,1981.0,232.0,1386.0,44.0,30.0,27.0
2023-01-02 14:00:00,2035.0,230.0,1446.0,33.0,30.0,27.0
2023-01-02 15:00:00,2129.0,229.0,1483.0,46.0,30.0,27.0
2023-01-02 16:00:00,2134.0,229.0,1493.0,59.0,30.0,27.0
2023-01-02 17:00:00,2143.0,230.0,1473.0,57.0,30.0,27.0
2023-01-02 18:00:00,2144.0,231.0,1459.0,50.0,30.0,27.0
2023-01-02 19:00:00,2137.0,230.0,1469.0,24.0,30.0,27.0
2023-01-02 20:00:00,2125.0,228.0,1187.0,16.0,30.0,27.0
2023-01-02 21:00:00,2107.0,230.0,1098.0,23.0,30.0,27.0
2023-01-02 22:00:00,2131.0,233.0,1023.0,24.0,30.0,27.0
2023-01-02 23:00:00,2118.0,232.0,1579.0,13.0,30.0,27.0
2023-01-03 00:00:00,2158.0,230.0,1321.0,5.0,30.0,27.0
2023-01-03 01:00:00,2155.0,232.0,1086.0,0.0,30.0,27.0
2023-01-03 02:00:00,2180.0,233.0,778.0,5.0,30.0,27.0
2023-01-03 03:00:00,2182.0,229.0,460.0,5.0,30.0,27.0
2023-01-03 04:00:00,2158.0,233.0,824.0,2.0,30.0,27.0
2023-01-03 05:00:00,2157.0,231.0,958.0,2.0,30.0,27.0
2023-01-03 06:00:00,2156.0,236.0,1088.0,21.0,30.0,27.0
2023-01-03 07:00:00,2227.0,237.0,1295.0,46.0,30.0,27.0
2023-01-03 08:00:00,2311.0,238.0,1337.0,56.0,30.0,27.0
2023-01-03 09:00:00,2335.0,234.0,1245.0,22.0,30.0,27.0
2023-01-03 10:00:00,2366.0,233.0,1213.0,7.0,30.0,27.0
2023-01-03 11:00:00,2366.0,235.0,1211.0,8.0,30.0,27.0
2023-01-03 12:00:00,2336.0,234.0,1318.0,13.0,30.0,27.0
2023-01-03 13:00:00,2335.0,236.0,1290.0,26.0,30.0,27.0
2023-01-03 14:00:00,2327.0,230.0,1094.0,54.0,30.0,27.0
2023-01-03 15:00:00,2333.0,232.0,1339.0,92.0,30.0,27.0
2023-01-03 16:00:00,2309.0,225.0,1567.0,46.0,30.0,27.0
2023-01-03 17:00:00,2319.0,236.0,1560.0,31.0,30.0,27.0
2023-01-03 18:00:00,2347.0,230.0,1476.0,60.0,30.0,27.0
2023-01-03 19:00:00,2353.0,231.0,1434.0,52.0,30.0,27.0
2023-01-03 20:00:00,2280.0,232.0,1437.0,30.0,30.0,27.0
2023-01-03 21:00:00,2052.0,236.0,1608.0,24.0,30.0,27.0
2023-01-03 22:00:00,2044.0,238.0,1560.0,24.0,30.0,27.0
2023-01-03 23:00:00,2022.0,234.0,1427.0,14.0,30.0,27.0
2023-01-04 00:00:00,2028.0,233.0,1261.0,18.0,30.0,27.0
2023-01-04 01:00:00,2020.0,235.0,917.0,26.0,30.0,27.0
