,UTC time,carbon_intensity,coal,nat_gas,oil,hydro,wind,biomass,solar
21888,07/01/2021 00:00:00,574.41,10030.33,902.09,0,172.64,756.55,56.95,3487.38
21889,07/01/2021 01:00:00,561.44,10022.33,762.64,0,172.73,718.32,23.82,3951.48
21890,07/01/2021 02:00:00,576.01,10296.83,792.29,0,172.59,546.9,42.32,3813.92
21891,07/01/2021 03:00:00,604.13,10448.67,911.89,0,172.46,429.33,61.22,3172.62
21892,07/01/2021 04:00:00,628.06,10473.83,1479.62,0,186.44,328.27,57.67,2517.77
21893,07/01/2021 05:00:00,655.76,10557.33,2337.65,0,286.62,189.6,61.17,1665.35
21894,07/01/2021 06:00:00,680.08,10771.83,2735.05,111.04,291.45,281.07,74.32,899.4
21895,07/01/2021 07:00:00,700.4,11722.33,2903.77,368.31,537.23,270.15,75.1,286.21
21896,07/01/2021 08:00:00,693.87,11692.17,3307.03,491.95,761.58,325.78,81.63,12.9
21897,07/01/2021 09:00:00,686.01,11626.33,3251.45,372.39,787.93,519.07,76.87,0
21898,07/01/2021 10:00:00,691.64,11675.33,2773.05,33.37,652.35,701.35,54.7,0
21899,07/01/2021 11:00:00,710.18,11734.67,2247.18,0,501.9,601.35,60.58,0
21900,07/01/2021 12:00:00,739.1,11475,1696.62,0,212.56,446.32,56.48,0
21901,07/01/2021 13:00:00,750.65,11182.83,930.27,0,172.46,508.42,60.75,0
21902,07/01/2021 14:00:00,751.71,11094,823.61,0,172.4,523.38,55.4,0
21903,07/01/2021 15:00:00,745.44,10421.17,807.96,0,172.21,564.6,61.42,0
21904,07/01/2021 16:00:00,745.13,9935.67,758.91,0,172.82,539.22,57.73,0
21905,07/01/2021 17:00:00,741.13,9776.83,755.28,0,172.81,586.75,57.02,0
21906,07/01/2021 18:00:00,746.98,9786.83,752.61,0,172.78,495.15,61.75,0
21907,07/01/2021 19:00:00,750.82,9878.33,807.71,0,173.43,428.07,57.55,0
21908,07/01/2021 20:00:00,748.34,10762.83,1092.13,29.33,258.7,360.97,63.07,0
21909,07/01/2021 21:00:00,737.29,11342,1583.9,88.33,306.72,383.03,57.55,18.16
21910,07/01/2021 22:00:00,712.07,11498.17,1727.45,27.33,306.63,396.37,63.38,504.12
21911,07/01/2021 23:00:00,673.91,11272.83,1673.37,0,234.49,295.17,67.3,1528.25
21912,07/02/2021 00:00:00,636.83,10942.5,1465.3,0,173.03,268.38,78.35,2506.2
21913,07/02/2021 01:00:00,608.92,10533.67,933.49,0,172.92,164.17,65.78,3348.42
21914,07/02/2021 02:00:00,593.08,10176,925.1,0,172.6,95.92,61.95,3717.02
21915,07/02/2021 03:00:00,617.37,10348.5,1074.8,0,172.56,54.61,48.68,3154.58
21916,07/02/2021 04:00:00,633.97,10407.67,1264.4,0,186.9,36.46,56.68,2707.23
21917,07/02/2021 05:00:00,655.96,10404.33,1920.78,0,224.53,5.46,61.88,1990.67
21918,07/02/2021 06:00:00,682.56,10562.17,1941.47,0,237.97,8.26,55.7,1396.42
21919,07/02/2021 07:00:00,710.81,11213.17,2461.67,6.83,494.92,14.84,59.07,453.05
21920,07/02/2021 08:00:00,711.1,11386.5,2566.92,191.5,872.15,31.53,60.37,15.48
21921,07/02/2021 09:00:00,711.19,11332.5,2563.63,106.33,810.5,104.91,60.53,0
21922,07/02/2021 10:00:00,722,11377.17,2307.87,89.5,637.67,140.13,57.67,0
21923,07/02/2021 11:00:00,725.29,11181.17,2072.3,17.33,468.13,295.08,62.52,0
21924,07/02/2021 12:00:00,742.58,11062.67,1493.49,0,219.97,401.57,53.45,0
21925,07/02/2021 13:00:00,761.18,10931.17,1225.4,0,172.6,199.93,63.08,0
21926,07/02/2021 14:00:00,771.64,10784.17,787.21,0,172.43,183.51,57.87,0
21927,07/02/2021 15:00:00,778.27,10353.83,463.28,0,172.64,176.16,60.4,0
21928,07/02/2021 16:00:00,777.4,10194.67,467.4,0,172.78,179.15,59.33,0
21929,07/02/2021 17:00:00,784.98,9931.5,455.2,0,172.62,62.36,61.1,0
21930,07/02/2021 18:00:00,779.05,9857.5,453.76,0,173.01,143.57,57.52,0
21931,07/02/2021 19:00:00,777.08,10195.33,466.43,0,176.81,180.73,58.55,0
21932,07/02/2021 20:00:00,762.84,10678.5,766,0,239.95,255.5,60.02,0
