datetime,avg_nuclear_production_forecast
2023-06-27T00:00:00.000000000,3709.09526
2023-06-27T01:00:00.000000000,3713.69437
2023-06-27T02:00:00.000000000,3722.72615
2023-06-27T03:00:00.000000000,3727.32384
2023-06-27T04:00:00.000000000,3726.9069
2023-06-27T05:00:00.000000000,3716.68143
2023-06-27T06:00:00.000000000,3721.03925
2023-06-27T07:00:00.000000000,3684.15476
2023-06-27T08:00:00.000000000,3685.16383
2023-06-27T09:00:00.000000000,3689.70391
2023-06-27T10:00:00.000000000,3720.04978
2023-06-27T11:00:00.000000000,3719.88003
2023-06-27T12:00:00.000000000,3721.36813
2023-06-27T13:00:00.000000000,3718.65895
2023-06-27T14:00:00.000000000,3712.64729
2023-06-27T15:00:00.000000000,3713.45167
2023-06-27T16:00:00.000000000,3680.2356
2023-06-27T17:00:00.000000000,3706.72086
2023-06-27T18:00:00.000000000,3723.64101
2023-06-27T19:00:00.000000000,3694.45979
2023-06-27T20:00:00.000000000,3668.1313
2023-06-27T21:00:00.000000000,3669.87367
2023-06-27T22:00:00.000000000,3669.0778
2023-06-27T23:00:00.000000000,3688.9817
2023-06-28T00:00:00.000000000,3690.41432
2023-06-28T01:00:00.000000000,3695.16028
2023-06-28T02:00:00.000000000,3704.17671
2023-06-28T03:00:00.000000000,3708.4885
2023-06-28T04:00:00.000000000,3708.14758
2023-06-28T05:00:00.000000000,3698.34684
2023-06-28T06:00:00.000000000,3702.63384
2023-06-28T07:00:00.000000000,3666.21398
2023-06-28T08:00:00.000000000,3667.26129
2023-06-28T09:00:00.000000000,3671.70269
2023-06-28T10:00:00.000000000,3701.71827
2023-06-28T11:00:00.000000000,3701.53411
2023-06-28T12:00:00.000000000,3703.10225
2023-06-28T13:00:00.000000000,3700.43982
2023-06-28T14:00:00.000000000,3694.66142
2023-06-28T15:00:00.000000000,3695.52434
2023-06-28T16:00:00.000000000,3662.71129
2023-06-28T17:00:00.000000000,3688.99398
2023-06-28T18:00:00.000000000,3705.68512
2023-06-28T19:00:00.000000000,3676.85497
2023-06-28T20:00:00.000000000,3650.90966
2023-06-28T21:00:00.000000000,3652.66454
2023-06-28T22:00:00.000000000,3651.97161
2023-06-28T23:00:00.000000000,3671.57308
2023-06-29T00:00:00.000000000,3673.24769
2023-06-29T01:00:00.000000000,3678.1287
2023-06-29T02:00:00.000000000,3687.1312
2023-06-29T03:00:00.000000000,3691.18021
2023-06-29T04:00:00.000000000,3690.90941
2023-06-29T05:00:00.000000000,3681.4987
2023-06-29T06:00:00.000000000,3685.72125
2023-06-29T07:00:00.000000000,3649.72824
2023-06-29T08:00:00.000000000,3650.81026
2023-06-29T09:00:00.000000000,3655.16077
2023-06-29T10:00:00.000000000,3684.87272
2023-06-29T11:00:00.000000000,3684.67582
2023-06-29T12:00:00.000000000,3686.31738
2023-06-29T13:00:00.000000000,3683.69816
2023-06-29T14:00:00.000000000,3678.13389
2023-06-29T15:00:00.000000000,3679.05088
2023-06-29T16:00:00.000000000,3646.60826
2023-06-29T17:00:00.000000000,3672.70467
2023-06-29T18:00:00.000000000,3689.18522
2023-06-29T19:00:00.000000000,3660.67781
2023-06-29T20:00:00.000000000,3635.08451
2023-06-29T21:00:00.000000000,3636.85097
2023-06-29T22:00:00.000000000,3636.25223
2023-06-29T23:00:00.000000000,3655.57606
2023-06-30T00:00:00.000000000,3657.48369
2023-06-30T01:00:00.000000000,3662.48865
2023-06-30T02:00:00.000000000,3671.4784
2023-06-30T03:00:00.000000000,3675.28589
2023-06-30T04:00:00.000000000,3675.07954
2023-06-30T05:00:00.000000000,3666.02699
2023-06-30T06:00:00.000000000,3670.19004
2023-06-30T07:00:00.000000000,3634.58919
2023-06-30T08:00:00.000000000,3635.70308
2023-06-30T09:00:00.000000000,3639.97024
2023-06-30T10:00:00.000000000,3669.40361
2023-06-30T11:00:00.000000000,3669.19467
2023-06-30T12:00:00.000000000,3670.90375
2023-06-30T13:00:00.000000000,3668.32371
2023-06-30T14:00:00.000000000,3662.95635
2023-06-30T15:00:00.000000000,3663.92292
2023-06-30T16:00:00.000000000,3631.82028
2023-06-30T17:00:00.000000000,3657.74576
2023-06-30T18:00:00.000000000,3674.03318
2023-06-30T19:00:00.000000000,3645.82207
2023-06-30T20:00:00.000000000,3620.55222
2023-06-30T21:00:00.000000000,3622.3293
2023-06-30T22:00:00.000000000,3621.81721
2023-06-30T23:00:00.000000000,3640.88581
