UTC Time,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Hydro Run-of-river and poundage,Hydro Water Reservoir,Marine,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
Total Missing Minutes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Percentage per Source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
