,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Oil,Fossil Oil,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Waste,Wind Onshore,Wind Onshore,Solar,Other renewable,Hydro Water Reservoir,Fossil Hard coal,Geothermal,Fossil Hard coal
,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Consumption
2019-01-01 01:00:00+01:00,362.0,1542.0,2908.0,0.0,,48.0,60.0,7750.0,208.0,32.0,55.0,5.0,,,,,,,
2019-01-01 02:00:00+01:00,312.0,1314.0,2568.0,0.0,,48.0,60.0,7744.0,208.0,21.0,54.0,0.0,,,,,,,
2019-01-01 03:00:00+01:00,284.0,1134.0,2498.0,0.0,,48.0,60.0,7747.0,208.0,18.0,52.0,1.0,,,,,,,
2019-01-01 04:00:00+01:00,280.0,1113.0,2338.0,0.0,,48.0,60.0,7748.0,208.0,16.0,56.0,1.0,,,,,,,
2019-01-01 05:00:00+01:00,305.0,1183.0,2293.0,0.0,,48.0,60.0,7750.0,240.0,18.0,56.0,32.0,,,,,,,
2019-01-01 06:00:00+01:00,350.0,1343.0,2105.0,0.0,,48.0,60.0,7753.0,248.0,33.0,51.0,97.0,,,,,,,
2019-01-01 07:00:00+01:00,375.0,1486.0,2102.0,0.0,,51.0,60.0,7756.0,248.0,40.0,58.0,198.0,,,,,,,
2019-01-01 08:00:00+01:00,374.0,1583.0,1852.0,0.0,,52.0,60.0,7758.0,248.0,41.0,54.0,380.0,,,,,,,
2019-01-01 09:00:00+01:00,376.0,1662.0,1880.0,0.0,,52.0,60.0,7761.0,248.0,44.0,59.0,415.0,,,,,,,
2019-01-01 10:00:00+01:00,372.0,1643.0,2117.0,0.0,,50.0,60.0,7760.0,244.0,44.0,53.0,410.0,,,,,,,
2019-01-01 11:00:00+01:00,365.0,1645.0,2211.0,0.0,,48.0,60.0,7760.0,244.0,44.0,52.0,454.0,,,,,,,
2019-01-01 12:00:00+01:00,365.0,1646.0,2449.0,0.0,,48.0,60.0,7756.0,244.0,48.0,51.0,551.0,,,,,,,
2019-01-01 13:00:00+01:00,362.0,1657.0,2592.0,0.0,,48.0,58.0,7756.0,240.0,45.0,52.0,563.0,,,,,,,
