Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,hydro,other
38952,2023-06-14 00:00:00,2024-07-17 00:00:00,3.1,201.86,661.0,236.0
38953,2023-06-14 01:00:00,2024-07-17 00:00:00,3.1,435.94,150.0,234.0
38954,2023-06-14 02:00:00,2024-07-17 00:00:00,3.1,478.52,115.0,236.0
38955,2023-06-14 03:00:00,2024-07-17 00:00:00,3.1,538.63,74.0,236.0
38956,2023-06-14 04:00:00,2024-07-17 00:00:00,3.1,538.73,73.0,233.0
38957,2023-06-14 05:00:00,2024-07-17 00:00:00,3.1,528.51,69.0,203.0
38958,2023-06-14 06:00:00,2024-07-17 00:00:00,3.1,595.35,37.0,202.0
38959,2023-06-14 07:00:00,2024-07-17 00:00:00,3.1,594.46,37.0,200.0
38960,2023-06-14 08:00:00,2024-07-17 00:00:00,3.1,591.15,38.0,198.0
38961,2023-06-14 09:00:00,2024-07-17 00:00:00,3.1,584.52,41.0,199.0
38962,2023-06-14 10:00:00,2024-07-17 00:00:00,3.1,580.06,44.0,204.0
38963,2023-06-14 11:00:00,2024-07-17 00:00:00,3.1,599.58,41.0,235.0
38964,2023-06-14 12:00:00,2024-07-17 00:00:00,3.1,596.19,43.0,237.0
38965,2023-06-14 13:00:00,2024-07-17 00:00:00,3.1,576.03,53.0,236.0
38966,2023-06-14 14:00:00,2024-07-17 00:00:00,3.1,571.79,55.0,235.0
38967,2023-06-14 15:00:00,2024-07-17 00:00:00,3.1,457.52,132.0,236.0
38968,2023-06-14 16:00:00,2024-07-17 00:00:00,3.1,568.49,57.0,236.0
38969,2023-06-14 17:00:00,2024-07-17 00:00:00,3.1,381.79,209.0,235.0
38970,2023-06-14 18:00:00,2024-07-17 00:00:00,3.1,269.15,413.0,235.0
38971,2023-06-14 19:00:00,2024-07-17 00:00:00,3.1,253.55,459.0,236.0
38972,2023-06-14 20:00:00,2024-07-17 00:00:00,3.1,229.25,539.0,235.0
38973,2023-06-14 21:00:00,2024-07-17 00:00:00,3.1,144.13,1092.0,236.0
38974,2023-06-14 22:00:00,2024-07-17 00:00:00,3.1,137.15,1174.0,236.0
38975,2023-06-14 23:00:00,2024-07-17 00:00:00,3.1,139.28,1143.0,235.0
