Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,hydro,other
38832,2023-06-09 00:00:00,2024-07-17 00:00:00,3.1,179.75,785.0,235.0
38833,2023-06-09 01:00:00,2024-07-17 00:00:00,3.1,246.49,479.0,235.0
38834,2023-06-09 02:00:00,2024-07-17 00:00:00,3.1,284.0,376.0,235.0
38835,2023-06-09 03:00:00,2024-07-17 00:00:00,3.1,325.06,269.0,216.0
38836,2023-06-09 04:00:00,2024-07-17 00:00:00,3.1,321.27,265.0,208.0
38837,2023-06-09 05:00:00,2024-07-17 00:00:00,3.1,329.77,247.0,204.0
38838,2023-06-09 06:00:00,2024-07-17 00:00:00,3.1,325.95,249.0,201.0
38839,2023-06-09 07:00:00,2024-07-17 00:00:00,3.1,390.4,169.0,200.0
38840,2023-06-09 08:00:00,2024-07-17 00:00:00,3.1,383.69,175.0,199.0
38841,2023-06-09 09:00:00,2024-07-17 00:00:00,3.1,524.09,70.0,199.0
38842,2023-06-09 10:00:00,2024-07-17 00:00:00,3.1,531.64,66.0,199.0
38843,2023-06-09 11:00:00,2024-07-17 00:00:00,3.1,529.73,67.0,199.0
38844,2023-06-09 12:00:00,2024-07-17 00:00:00,3.1,531.63,67.0,202.0
38845,2023-06-09 13:00:00,2024-07-17 00:00:00,3.1,525.39,70.0,201.0
38846,2023-06-09 14:00:00,2024-07-17 00:00:00,3.1,533.49,67.0,205.0
38847,2023-06-09 15:00:00,2024-07-17 00:00:00,3.1,531.59,71.0,214.0
38848,2023-06-09 16:00:00,2024-07-17 00:00:00,3.1,525.33,77.0,221.0
38849,2023-06-09 17:00:00,2024-07-17 00:00:00,3.1,461.75,123.0,226.0
38850,2023-06-09 18:00:00,2024-07-17 00:00:00,3.1,287.78,361.0,231.0
38851,2023-06-09 19:00:00,2024-07-17 00:00:00,3.1,317.64,306.0,235.0
38852,2023-06-09 20:00:00,2024-07-17 00:00:00,3.1,202.05,660.0,236.0
38853,2023-06-09 21:00:00,2024-07-17 00:00:00,3.1,167.69,878.0,237.0
38854,2023-06-09 22:00:00,2024-07-17 00:00:00,3.1,157.73,961.0,237.0
38855,2023-06-09 23:00:00,2024-07-17 00:00:00,3.1,159.2,948.0,237.0
