UTC time,hydro,other
2023-07-12 00:00:00,942.0,236.0
2023-07-12 01:00:00,574.0,234.0
2023-07-12 02:00:00,186.0,236.0
2023-07-12 03:00:00,78.0,236.0
2023-07-12 04:00:00,72.0,235.0
2023-07-12 05:00:00,72.0,215.0
2023-07-12 06:00:00,61.0,186.0
2023-07-12 07:00:00,62.0,181.0
2023-07-12 08:00:00,42.0,177.0
2023-07-12 09:00:00,42.0,177.0
2023-07-12 10:00:00,43.0,177.0
2023-07-12 11:00:00,42.0,178.0
2023-07-12 12:00:00,42.0,180.0
2023-07-12 13:00:00,43.0,205.0
2023-07-12 14:00:00,51.0,234.0
2023-07-12 15:00:00,76.0,234.0
2023-07-12 16:00:00,85.0,234.0
2023-07-12 17:00:00,362.0,234.0
2023-07-12 18:00:00,884.0,236.0
2023-07-12 19:00:00,1196.0,235.0
2023-07-12 20:00:00,1310.0,235.0
2023-07-12 21:00:00,1377.0,235.0
2023-07-12 22:00:00,1375.0,235.0
2023-07-12 23:00:00,1364.0,234.0
