Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,hydro,other
39240,2023-06-26 00:00:00,2024-07-17 00:00:00,3.1,163.69,593.0,236.0
39241,2023-06-26 01:00:00,2024-07-17 00:00:00,3.1,348.26,153.0,235.0
39242,2023-06-26 02:00:00,2024-07-17 00:00:00,3.1,359.95,141.0,236.0
39243,2023-06-26 03:00:00,2024-07-17 00:00:00,3.1,361.3,139.0,235.0
39244,2023-06-26 04:00:00,2024-07-17 00:00:00,3.1,351.65,141.0,222.0
39245,2023-06-26 05:00:00,2024-07-17 00:00:00,3.1,394.5,97.0,212.0
39246,2023-06-26 06:00:00,2024-07-17 00:00:00,3.1,361.28,126.0,213.0
39247,2023-06-26 07:00:00,2024-07-17 00:00:00,3.1,359.38,126.0,210.0
39248,2023-06-26 08:00:00,2024-07-17 00:00:00,3.1,355.3,128.0,207.0
39249,2023-06-26 09:00:00,2024-07-17 00:00:00,3.1,407.62,85.0,207.0
39250,2023-06-26 10:00:00,2024-07-17 00:00:00,3.1,407.62,85.0,207.0
39251,2023-06-26 11:00:00,2024-07-17 00:00:00,3.1,408.45,84.0,206.0
39252,2023-06-26 12:00:00,2024-07-17 00:00:00,3.1,410.15,84.0,209.0
39253,2023-06-26 13:00:00,2024-07-17 00:00:00,3.1,410.44,85.0,212.0
39254,2023-06-26 14:00:00,2024-07-17 00:00:00,3.1,438.1,70.0,224.0
39255,2023-06-26 15:00:00,2024-07-17 00:00:00,3.1,437.83,73.0,233.0
39256,2023-06-26 16:00:00,2024-07-17 00:00:00,3.1,432.28,69.0,209.0
39257,2023-06-26 17:00:00,2024-07-17 00:00:00,3.1,398.75,80.0,181.0
39258,2023-06-26 18:00:00,2024-07-17 00:00:00,3.1,162.45,386.0,152.0
39259,2023-06-26 19:00:00,2024-07-17 00:00:00,3.1,126.0,449.0,126.0
39260,2023-06-26 20:00:00,2024-07-17 00:00:00,3.1,72.38,875.0,126.0
39261,2023-06-26 21:00:00,2024-07-17 00:00:00,3.1,39.73,1253.0,93.0
39262,2023-06-26 22:00:00,2024-07-17 00:00:00,3.1,31.82,1246.0,73.0
39263,2023-06-26 23:00:00,2024-07-17 00:00:00,3.1,16.92,1253.0,38.0
