UTC time,hydro,other
2023-12-16 00:00:00,507.0,0.0
2023-12-16 01:00:00,245.0,0.0
2023-12-16 02:00:00,136.0,0.0
2023-12-16 03:00:00,41.0,0.0
2023-12-16 04:00:00,8.0,0.0
2023-12-16 05:00:00,8.0,0.0
2023-12-16 06:00:00,8.0,0.0
2023-12-16 07:00:00,8.0,0.0
2023-12-16 08:00:00,8.0,0.0
2023-12-16 09:00:00,9.0,0.0
2023-12-16 10:00:00,8.0,0.0
2023-12-16 11:00:00,27.0,0.0
2023-12-16 12:00:00,28.0,0.0
2023-12-16 13:00:00,34.0,0.0
2023-12-16 14:00:00,48.0,0.0
2023-12-16 15:00:00,183.0,0.0
2023-12-16 16:00:00,188.0,0.0
2023-12-16 17:00:00,102.0,0.0
2023-12-16 18:00:00,83.0,0.0
2023-12-16 19:00:00,29.0,0.0
2023-12-16 20:00:00,28.0,0.0
2023-12-16 21:00:00,28.0,0.0
2023-12-16 22:00:00,30.0,0.0
2023-12-16 23:00:00,228.0,0.0
