UTC time,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_hydro_production_forecast,avg_other_production_forecast
2023-12-10 00:00:00,2024-07-17 00:00:00,3.1,2.5697030653829835,276.24601203842457,265.72744519338653,244.9336425215095,0.0,281.2163,4.49472
2023-12-10 01:00:00,2024-07-17 00:00:00,3.1,2.501133785184664,275.1440701253153,266.4103837522126,0.0,0.0,328.01844,6.73233
2023-12-10 02:00:00,2024-07-17 00:00:00,3.1,2.501133785184664,275.1440701253153,266.4103837522126,0.0,0.0,325.93432,9.48794
2023-12-10 03:00:00,2024-07-17 00:00:00,3.1,2.501133785184664,275.1440701253153,266.4103837522126,0.0,0.0,298.44743,10.31961
2023-12-10 04:00:00,2024-07-17 00:00:00,3.1,2.472731996660255,274.10413006058013,266.1694468669371,0.0,0.0,282.22773,11.65429
2023-12-10 05:00:00,2024-07-17 00:00:00,3.1,2.472731996660255,274.10413006058013,266.1694468669371,0.0,0.0,236.77473,12.8525
2023-12-10 06:00:00,2024-07-17 00:00:00,3.1,2.472731996660255,274.10413006058013,266.1694468669371,0.0,0.0,205.72414,13.89817
2023-12-10 07:00:00,2024-07-17 00:00:00,3.1,2.349528124720198,273.3259035278631,265.8238827049522,0.0,0.0,162.07056,14.15298
2023-12-10 08:00:00,2024-07-17 00:00:00,3.1,2.349528124720198,273.3259035278631,265.8238827049522,0.0,0.0,165.55558,14.92583
2023-12-10 09:00:00,2024-07-17 00:00:00,3.1,2.349528124720198,273.3259035278631,265.8238827049522,0.0,0.0,155.04675,16.69197
2023-12-10 10:00:00,2024-07-17 00:00:00,3.1,2.230721122988167,272.78742810952576,265.5116701819343,0.0,0.0,216.34164,18.04903
2023-12-10 11:00:00,2024-07-17 00:00:00,3.1,2.230721122988167,272.78742810952576,265.5116701819343,0.0,0.0,305.12123,19.7417
2023-12-10 12:00:00,2024-07-17 00:00:00,3.1,2.230721122988167,272.78742810952576,265.5116701819343,0.0,0.0,398.63837,21.33115
2023-12-10 13:00:00,2024-07-17 00:00:00,3.1,2.582420045522978,275.80168642303977,266.0471136410243,55.73835509362469,0.0,425.62374,22.81928
2023-12-10 14:00:00,2024-07-17 00:00:00,3.1,2.582420045522978,275.80168642303977,266.0471136410243,55.73835509362469,0.0,457.31288,24.54723
2023-12-10 15:00:00,2024-07-17 00:00:00,3.1,2.582420045522978,275.80168642303977,266.0471136410243,55.73835509362469,0.0,449.27111,25.5208
2023-12-10 16:00:00,2024-07-17 00:00:00,3.1,3.440058079895162,281.5763174199955,266.72379750133706,230.59458440615504,0.0,451.70529,26.58529
2023-12-10 17:00:00,2024-07-17 00:00:00,3.1,3.440058079895162,281.5763174199955,266.72379750133706,230.59458440615504,0.0,433.17983,26.77086
2023-12-10 18:00:00,2024-07-17 00:00:00,3.1,3.440058079895162,281.5763174199955,266.72379750133706,230.59458440615504,0.0,390.40598,26.74609
2023-12-10 19:00:00,2024-07-17 00:00:00,3.1,3.467858438945388,283.2876862320113,267.7575528787044,427.7998757681969,0.0,341.15679,26.08154
2023-12-10 20:00:00,2024-07-17 00:00:00,3.1,3.467858438945388,283.2876862320113,267.7575528787044,427.7998757681969,0.0,305.39095,26.72392
2023-12-10 21:00:00,2024-07-17 00:00:00,3.1,3.467858438945388,283.2876862320113,267.7575528787044,427.7998757681969,0.0,269.19574,28.26875
2023-12-10 22:00:00,2024-07-17 00:00:00,3.1,2.4896247336354005,278.41172437125454,268.55925471597175,252.6165226694972,0.0,242.35854,28.21877
2023-12-10 23:00:00,2024-07-17 00:00:00,3.1,2.4896247336354005,278.41172437125454,268.55925471597175,252.6165226694972,0.0,285.09449,28.46652
2023-12-11 00:00:00,2024-07-17 00:00:00,3.1,2.4896247336354005,278.41172437125454,268.55925471597175,252.6165226694972,0.0,341.19356,4.49472
2023-12-11 01:00:00,2024-07-17 00:00:00,3.1,2.7198116935554992,277.10460823489825,268.67725900803134,0.0,0.0,370.10888,6.73233
2023-12-11 02:00:00,2024-07-17 00:00:00,3.1,2.7198116935554992,277.10460823489825,268.67725900803134,0.0,0.0,349.39187,9.48794
2023-12-11 03:00:00,2024-07-17 00:00:00,3.1,2.7198116935554992,277.10460823489825,268.67725900803134,0.0,0.0,311.0605,10.31961
2023-12-11 04:00:00,2024-07-17 00:00:00,3.1,2.706042512787892,276.2923624965001,268.83961312727774,0.0,0.0,284.86971,11.65429
2023-12-11 05:00:00,2024-07-17 00:00:00,3.1,2.706042512787892,276.2923624965001,268.83961312727774,0.0,0.0,231.61211,12.8525
2023-12-11 06:00:00,2024-07-17 00:00:00,3.1,2.706042512787892,276.2923624965001,268.83961312727774,0.0,0.0,194.77239,13.89817
2023-12-11 07:00:00,2024-07-17 00:00:00,3.1,2.4985409277343766,275.6752611627968,268.92282275852506,0.0,0.0,146.27439,14.15298
2023-12-11 08:00:00,2024-07-17 00:00:00,3.1,2.4985409277343766,275.6752611627968,268.92282275852506,0.0,0.0,150.36884,14.92583
2023-12-11 09:00:00,2024-07-17 00:00:00,3.1,2.4985409277343766,275.6752611627968,268.92282275852506,0.0,0.0,139.95803,16.69197
2023-12-11 10:00:00,2024-07-17 00:00:00,3.1,2.3295043164345866,275.14492373097045,268.82013204221266,0.0,0.0,194.7961,18.04903
2023-12-11 11:00:00,2024-07-17 00:00:00,3.1,2.3295043164345866,275.14492373097045,268.82013204221266,0.0,0.0,274.11198,19.7417
