UTC time,coal,nat_gas,oil,hydro,solar,wind,biomass,geothermal,unknown,avg_wind_production_forecast
1/1/2019 0:00,620,3783,0,11460,0,756,1616,0,88,1592
1/1/2019 1:00,622,2475,0,11254,0,568,1616,0,88,1352
1/1/2019 2:00,623,2302,0,11262,0,472,1616,0,88,1236
1/1/2019 3:00,617,1798,0,11163,0,660,1616,0,88,1280
1/1/2019 4:00,621,1727,0,10949,0,1144,1616,0,88,1472
1/1/2019 5:00,622,1702,0,11068,0,1804,1616,0,88,1760
1/1/2019 6:00,620,1772,0,11782,24,2372,1616,0,88,2100
1/1/2019 7:00,623,1786,0,11786,52,2560,1616,0,88,2536
1/1/2019 8:00,620,1835,0,12053,116,2728,1600,0,88,2984
1/1/2019 9:00,619,2018,0,12198,208,3636,1616,0,88,3380
1/1/2019 10:00,622,1840,0,12401,304,3836,1616,0,88,3808
1/1/2019 11:00,620,1869,0,12482,336,4416,1616,0,88,4316
1/1/2019 12:00,619,1809,0,12031,316,6552,1616,0,88,4880
1/1/2019 13:00,621,2094,0,11649,224,7252,1616,0,88,5544
1/1/2019 14:00,620,2058,0,11609,100,8276,1616,0,88,6384
1/1/2019 15:00,622,2298,0,11676,32,8860,1616,0,88,7304
1/1/2019 16:00,613,3092,0,12001,16,8876,1616,0,88,8200
1/1/2019 17:00,611,3282,0,12346,16,9132,1616,0,88,8896
1/1/2019 18:00,614,2816,0,11827,0,9504,1616,0,88,9268
1/1/2019 19:00,614,2471,0,10844,0,10728,1616,0,88,9436
1/1/2019 20:00,611,1726,0,11063,0,10028,1616,0,88,9560
1/1/2019 21:00,613,1640,0,10483,0,10600,1616,0,88,9784
1/1/2019 22:00,613,1533,0,10462,0,10836,1616,0,88,10132
1/1/2019 23:00,610,1800,0,9023,0,10568,1616,0,88,10824
1/2/2019 0:00,612,1863,0,8605,0,10356,1616,0,88,11064
1/2/2019 1:00,613,1820,0,8498,0,9980,1616,0,88,11224
