UTC time,oil,wind,biomass,geothermal,unknown,hydro,nat_gas,solar,coal
2023-01-01 00:00:00,728.0,171.0,742.0,622.0,1722.0,1725.0,8214.0,0.0,2932.0
2023-01-01 01:00:00,723.0,178.0,744.0,622.0,1592.0,1689.0,7397.0,0.0,2921.0
2023-01-01 02:00:00,726.0,193.0,744.0,622.0,1542.0,1683.0,6928.0,0.0,2820.0
2023-01-01 03:00:00,723.0,225.0,743.0,622.0,1555.0,1644.0,6736.0,0.0,2764.0
2023-01-01 04:00:00,725.0,251.0,741.0,622.0,1566.0,1649.0,6827.0,0.0,2785.0
2023-01-01 05:00:00,722.0,240.0,744.0,622.0,1546.0,1738.0,6984.0,0.0,2760.0
2023-01-01 06:00:00,724.0,220.0,745.0,622.0,1547.0,1829.0,7211.0,58.0,2771.0
2023-01-01 07:00:00,726.0,210.0,735.0,622.0,1517.0,2175.0,6739.0,1178.0,2788.0
2023-01-01 08:00:00,727.0,164.0,738.0,622.0,1580.0,2017.0,5878.0,3288.0,2783.0
2023-01-01 09:00:00,730.0,149.0,735.0,621.0,1690.0,1770.0,6130.0,4384.0,2834.0
2023-01-01 10:00:00,728.0,145.0,738.0,621.0,1869.0,1690.0,6419.0,5075.0,2820.0
2023-01-01 11:00:00,727.0,201.0,730.0,622.0,1967.0,1616.0,6695.0,4780.0,2792.0
2023-01-01 12:00:00,726.0,221.0,725.0,621.0,1831.0,1594.0,6818.0,4503.0,2791.0
2023-01-01 13:00:00,724.0,235.0,724.0,622.0,1701.0,1613.0,6631.0,3378.0,2792.0
2023-01-01 14:00:00,724.0,234.0,725.0,623.0,1789.0,1818.0,8022.0,1709.0,2782.0
2023-01-01 15:00:00,724.0,266.0,721.0,623.0,1833.0,2100.0,10163.0,205.0,2798.0
2023-01-01 16:00:00,721.0,261.0,718.0,625.0,1898.0,3100.0,11564.0,0.0,2763.0
2023-01-01 17:00:00,734.0,268.0,713.0,622.0,1820.0,3455.0,11960.0,0.0,2793.0
2023-01-01 18:00:00,733.0,311.0,718.0,622.0,1848.0,3339.0,12004.0,0.0,2777.0
2023-01-01 19:00:00,735.0,344.0,719.0,620.0,1796.0,2998.0,12031.0,0.0,2819.0
2023-01-01 20:00:00,725.0,368.0,720.0,621.0,1772.0,2085.0,11980.0,0.0,2843.0
2023-01-01 21:00:00,724.0,444.0,724.0,621.0,1800.0,1815.0,10714.0,0.0,2879.0
2023-01-01 22:00:00,719.0,440.0,727.0,621.0,1622.0,1687.0,9053.0,0.0,2898.0
2023-01-01 23:00:00,723.0,464.0,718.0,622.0,1796.0,1496.0,7352.0,0.0,2953.0
2023-01-02 00:00:00,724.0,543.0,715.0,622.0,1753.0,1460.0,7098.0,0.0,2953.0
2023-01-02 01:00:00,723.0,641.0,712.0,621.0,1694.0,1372.0,7369.0,0.0,2950.0
2023-01-02 02:00:00,724.0,633.0,695.0,621.0,1607.0,1351.0,7428.0,0.0,2949.0
2023-01-02 03:00:00,717.0,600.0,691.0,620.0,1610.0,1472.0,7207.0,0.0,2954.0
2023-01-02 04:00:00,724.0,585.0,692.0,619.0,1657.0,1541.0,7898.0,0.0,2958.0
2023-01-02 05:00:00,722.0,638.0,704.0,619.0,1784.0,1716.0,10146.0,0.0,2951.0
2023-01-02 06:00:00,723.0,750.0,702.0,620.0,2157.0,2215.0,12471.0,63.0,2973.0
2023-01-02 07:00:00,733.0,885.0,693.0,619.0,2256.0,3060.0,13608.0,802.0,3035.0
2023-01-02 08:00:00,724.0,912.0,689.0,610.0,2317.0,2957.0,14101.0,2199.0,3044.0
2023-01-02 09:00:00,724.0,936.0,669.0,608.0,2357.0,2603.0,12998.0,2972.0,3008.0
2023-01-02 10:00:00,724.0,1080.0,680.0,609.0,2364.0,2364.0,12268.0,3452.0,2943.0
2023-01-02 11:00:00,724.0,1089.0,689.0,608.0,2324.0,2237.0,11933.0,3488.0,2971.0
2023-01-02 12:00:00,724.0,1083.0,692.0,608.0,2332.0,2176.0,12113.0,3391.0,3021.0
2023-01-02 13:00:00,724.0,1056.0,688.0,606.0,2327.0,2167.0,13124.0,2853.0,3025.0
2023-01-02 14:00:00,724.0,927.0,671.0,608.0,2420.0,2306.0,14533.0,1435.0,3019.0
2023-01-02 15:00:00,724.0,851.0,679.0,609.0,2454.0,2905.0,15552.0,202.0,3028.0
2023-01-02 16:00:00,724.0,827.0,675.0,620.0,2522.0,3789.0,16682.0,0.0,3023.0
2023-01-02 17:00:00,724.0,740.0,691.0,619.0,2489.0,3796.0,16640.0,0.0,3026.0
2023-01-02 18:00:00,722.0,700.0,687.0,620.0,2502.0,3698.0,16904.0,0.0,3019.0
2023-01-02 19:00:00,723.0,615.0,685.0,620.0,2515.0,2973.0,15816.0,0.0,3026.0
2023-01-02 20:00:00,724.0,714.0,690.0,620.0,2381.0,2397.0,14124.0,0.0,3028.0
2023-01-02 21:00:00,724.0,771.0,669.0,619.0,2305.0,1791.0,12233.0,0.0,3035.0
2023-01-02 22:00:00,724.0,808.0,659.0,620.0,2206.0,1532.0,10229.0,0.0,3009.0
2023-01-02 23:00:00,760.0,872.0,670.0,621.0,1574.0,1303.0,8479.0,0.0,2853.0
2023-01-03 00:00:00,762.0,803.0,669.0,621.0,1651.0,1263.0,7803.0,0.0,2833.0
2023-01-03 01:00:00,756.0,727.0,659.0,621.0,1605.0,1314.0,7143.0,0.0,2859.0
2023-01-03 02:00:00,761.0,682.0,641.0,621.0,1600.0,1261.0,6963.0,0.0,2847.0
