datetime,avg_nat_gas_production_forecast
2023-06-27T00:00:00.000000000,10292.08723
2023-06-27T01:00:00.000000000,9813.28957
2023-06-27T02:00:00.000000000,9064.63392
2023-06-27T03:00:00.000000000,7911.83409
2023-06-27T04:00:00.000000000,6885.79054
2023-06-27T05:00:00.000000000,5978.1301
2023-06-27T06:00:00.000000000,5462.57642
2023-06-27T07:00:00.000000000,5162.26856
2023-06-27T08:00:00.000000000,5323.30688
2023-06-27T09:00:00.000000000,5801.33661
2023-06-27T10:00:00.000000000,6057.7311
2023-06-27T11:00:00.000000000,6597.00476
2023-06-27T12:00:00.000000000,7206.73831
2023-06-27T13:00:00.000000000,7570.03942
2023-06-27T14:00:00.000000000,8068.78023
2023-06-27T15:00:00.000000000,8426.89474
2023-06-27T16:00:00.000000000,8440.14335
2023-06-27T17:00:00.000000000,8460.3828
2023-06-27T18:00:00.000000000,8756.55197
2023-06-27T19:00:00.000000000,8871.33734
2023-06-27T20:00:00.000000000,9111.91387
2023-06-27T21:00:00.000000000,9355.34812
2023-06-27T22:00:00.000000000,9511.95379
2023-06-27T23:00:00.000000000,9435.20447
2023-06-28T00:00:00.000000000,8937.0939
2023-06-28T01:00:00.000000000,8555.26826
2023-06-28T02:00:00.000000000,7881.72656
2023-06-28T03:00:00.000000000,6784.97008
2023-06-28T04:00:00.000000000,5799.90403
2023-06-28T05:00:00.000000000,4968.9157
2023-06-28T06:00:00.000000000,4491.00457
2023-06-28T07:00:00.000000000,4219.34143
2023-06-28T08:00:00.000000000,4377.52109
2023-06-28T09:00:00.000000000,4863.89098
2023-06-28T10:00:00.000000000,5205.36099
2023-06-28T11:00:00.000000000,5776.14545
2023-06-28T12:00:00.000000000,6352.07931
2023-06-28T13:00:00.000000000,6628.06998
2023-06-28T14:00:00.000000000,6997.3498
2023-06-28T15:00:00.000000000,7230.45363
2023-06-28T16:00:00.000000000,7155.35411
2023-06-28T17:00:00.000000000,7115.48686
2023-06-28T18:00:00.000000000,7340.95567
2023-06-28T19:00:00.000000000,7460.54671
2023-06-28T20:00:00.000000000,7755.16702
2023-06-28T21:00:00.000000000,8074.30406
2023-06-28T22:00:00.000000000,8311.50564
2023-06-28T23:00:00.000000000,8337.96752
2023-06-29T00:00:00.000000000,7852.77533
2023-06-29T01:00:00.000000000,7497.87019
2023-06-29T02:00:00.000000000,6879.1546
2023-06-29T03:00:00.000000000,5884.31721
2023-06-29T04:00:00.000000000,5001.94143
2023-06-29T05:00:00.000000000,4290.8474
2023-06-29T06:00:00.000000000,3897.89505
2023-06-29T07:00:00.000000000,3697.54043
2023-06-29T08:00:00.000000000,3880.02169
2023-06-29T09:00:00.000000000,4358.31515
2023-06-29T10:00:00.000000000,4722.44698
2023-06-29T11:00:00.000000000,5276.03159
2023-06-29T12:00:00.000000000,5805.98507
2023-06-29T13:00:00.000000000,6033.93904
2023-06-29T14:00:00.000000000,6348.2118
2023-06-29T15:00:00.000000000,6544.00052
2023-06-29T16:00:00.000000000,6471.2257
2023-06-29T17:00:00.000000000,6437.65996
2023-06-29T18:00:00.000000000,6634.40079
2023-06-29T19:00:00.000000000,6735.87662
2023-06-29T20:00:00.000000000,7003.55969
2023-06-29T21:00:00.000000000,7293.47665
2023-06-29T22:00:00.000000000,7494.8078
2023-06-29T23:00:00.000000000,7494.90687
2023-06-30T00:00:00.000000000,7120.93394
2023-06-30T01:00:00.000000000,6772.76102
2023-06-30T02:00:00.000000000,6181.59804
2023-06-30T03:00:00.000000000,5249.17761
2023-06-30T04:00:00.000000000,4432.78118
2023-06-30T05:00:00.000000000,3802.58445
2023-06-30T06:00:00.000000000,3468.779
2023-06-30T07:00:00.000000000,3319.84998
2023-06-30T08:00:00.000000000,3525.18051
2023-06-30T09:00:00.000000000,4008.23336
2023-06-30T10:00:00.000000000,4397.09587
2023-06-30T11:00:00.000000000,4948.77486
2023-06-30T12:00:00.000000000,5453.78417
2023-06-30T13:00:00.000000000,5651.50595
2023-06-30T14:00:00.000000000,5933.10741
2023-06-30T15:00:00.000000000,6111.01813
2023-06-30T16:00:00.000000000,6045.41646
2023-06-30T17:00:00.000000000,6020.74996
2023-06-30T18:00:00.000000000,6200.77467
2023-06-30T19:00:00.000000000,6288.39861
2023-06-30T20:00:00.000000000,6536.77621
2023-06-30T21:00:00.000000000,6805.12022
2023-06-30T22:00:00.000000000,6977.96759
2023-06-30T23:00:00.000000000,6950.3615
