UTC time,oil,wind,biomass,unknown,hydro,nat_gas,nuclear,solar
2023-01-01 00:00,0.0,,300.0,412.0,49.0,850.0,4949.0,0.0
2023-01-01 01:00,0.0,,298.0,419.0,49.0,865.0,4948.0,0.0
2023-01-01 02:00,0.0,,292.0,416.0,49.0,832.0,4951.0,0.0
2023-01-01 03:00,0.0,,301.0,424.0,49.0,858.0,4948.0,0.0
2023-01-01 04:00,0.0,,303.0,418.0,49.0,844.0,4948.0,0.0
2023-01-01 05:00,0.0,,300.0,428.0,49.0,861.0,4946.0,0.0
2023-01-01 06:00,0.0,,303.0,443.0,49.0,863.0,4949.0,0.0
2023-01-01 07:00,0.0,,306.0,462.0,49.0,857.0,4949.0,0.0
2023-01-01 08:00,0.0,,296.0,509.0,49.0,876.0,4951.0,75.0
2023-01-01 09:00,0.0,,300.0,487.0,49.0,820.0,4952.0,284.0
2023-01-01 10:00,0.0,,295.0,471.0,50.0,844.0,4955.0,709.0
2023-01-01 11:00,0.0,,297.0,461.0,51.0,851.0,4955.0,767.0
2023-01-01 12:00,0.0,,298.0,494.0,51.0,847.0,4953.0,521.0
2023-01-01 13:00,0.0,,290.0,606.0,51.0,863.0,4953.0,292.0
2023-01-01 14:00,0.0,,295.0,556.0,50.0,869.0,4953.0,97.0
2023-01-01 15:00,0.0,,298.0,585.0,49.0,888.0,4953.0,5.0
2023-01-01 16:00,0.0,,300.0,692.0,49.0,888.0,4951.0,0.0
2023-01-01 17:00,0.0,,300.0,548.0,50.0,857.0,4952.0,0.0
2023-01-01 18:00,0.0,,295.0,586.0,50.0,965.0,4949.0,0.0
2023-01-01 19:00,0.0,,299.0,754.0,51.0,913.0,4948.0,0.0
2023-01-01 20:00,0.0,,298.0,494.0,50.0,801.0,4951.0,0.0
2023-01-01 21:00,0.0,,294.0,432.0,50.0,853.0,4951.0,0.0
2023-01-01 22:00,0.0,,293.0,427.0,50.0,885.0,4948.0,0.0
2023-01-01 23:00,0.0,,306.0,432.0,50.0,932.0,4947.0,0.0
2023-01-02 00:00,0.0,,312.0,447.0,50.0,990.0,4947.0,0.0
2023-01-02 01:00,0.0,,348.0,435.0,50.0,977.0,4947.0,0.0
2023-01-02 02:00,0.0,,349.0,434.0,50.0,994.0,4947.0,0.0
2023-01-02 03:00,0.0,,370.0,432.0,50.0,972.0,4947.0,0.0
2023-01-02 04:00,0.0,,376.0,448.0,50.0,974.0,4946.0,0.0
2023-01-02 05:00,0.0,,375.0,485.0,50.0,988.0,4949.0,0.0
2023-01-02 06:00,0.0,,370.0,508.0,49.0,1021.0,4946.0,0.0
2023-01-02 07:00,0.0,,374.0,542.0,49.0,1047.0,4950.0,0.0
2023-01-02 08:00,0.0,,368.0,607.0,49.0,1110.0,4954.0,56.0
2023-01-02 09:00,0.0,,399.0,719.0,49.0,1278.0,4959.0,260.0
2023-01-02 10:00,0.0,,473.0,650.0,48.0,1243.0,4960.0,402.0
2023-01-02 11:00,0.0,,495.0,676.0,50.0,1310.0,4961.0,392.0
2023-01-02 12:00,0.0,,489.0,809.0,50.0,1313.0,4960.0,384.0
2023-01-02 13:00,0.0,,477.0,733.0,50.0,1427.0,4961.0,452.0
2023-01-02 14:00,0.0,,488.0,649.0,49.0,1617.0,4958.0,247.0
2023-01-02 15:00,0.0,,492.0,640.0,50.0,1637.0,4956.0,39.0
2023-01-02 16:00,0.0,,492.0,679.0,50.0,1800.0,4958.0,0.0
2023-01-02 17:00,0.0,,493.0,710.0,49.0,2044.0,4959.0,0.0
2023-01-02 18:00,0.0,,496.0,766.0,50.0,2032.0,4961.0,0.0
2023-01-02 19:00,0.0,,492.0,636.0,50.0,1663.0,4957.0,0.0
2023-01-02 20:00,0.0,,495.0,608.0,49.0,1357.0,4958.0,0.0
2023-01-02 21:00,0.0,,498.0,576.0,49.0,1155.0,4960.0,0.0
2023-01-02 22:00,0.0,,498.0,581.0,49.0,1194.0,4963.0,0.0
2023-01-02 23:00,0.0,,502.0,563.0,49.0,1157.0,4966.0,0.0
2023-01-03 00:00,0.0,,493.0,626.0,49.0,1203.0,4967.0,0.0
2023-01-03 01:00,0.0,377.0,496.0,636.0,49.0,1224.0,4968.0,0.0
2023-01-03 02:00,0.0,,499.0,629.0,48.0,1098.0,4965.0,0.0
2023-01-03 03:00,0.0,,496.0,518.0,49.0,1259.0,4964.0,0.0
2023-01-03 04:00,0.0,,501.0,546.0,49.0,1617.0,4965.0,0.0
2023-01-03 05:00,0.0,,501.0,704.0,48.0,1641.0,4964.0,0.0
2023-01-03 06:00,0.0,,505.0,787.0,48.0,1674.0,4963.0,0.0
2023-01-03 07:00,0.0,,503.0,870.0,48.0,1734.0,4964.0,0.0
2023-01-03 08:00,0.0,,504.0,841.0,48.0,1644.0,4960.0,92.0
2023-01-03 09:00,0.0,,505.0,686.0,47.0,1648.0,4957.0,310.0
2023-01-03 10:00,0.0,,505.0,697.0,49.0,1671.0,4960.0,569.0
2023-01-03 11:00,0.0,,501.0,781.0,50.0,1682.0,4962.0,834.0
2023-01-03 12:00,0.0,,511.0,746.0,49.0,1637.0,4960.0,1008.0
2023-01-03 13:00,0.0,,512.0,714.0,47.0,1639.0,4965.0,774.0
2023-01-03 14:00,0.0,,511.0,755.0,47.0,1703.0,4962.0,372.0
2023-01-03 15:00,0.0,,512.0,830.0,48.0,1743.0,4960.0,53.0
2023-01-03 16:00,0.0,,510.0,872.0,50.0,1717.0,4959.0,0.0
2023-01-03 17:00,0.0,,510.0,905.0,51.0,1672.0,4957.0,0.0
2023-01-03 18:00,0.0,,512.0,823.0,51.0,1683.0,4956.0,0.0
2023-01-03 19:00,0.0,,512.0,805.0,51.0,1661.0,4958.0,0.0
2023-01-03 20:00,0.0,,513.0,783.0,51.0,1322.0,4959.0,0.0
2023-01-03 21:00,0.0,,512.0,652.0,51.0,1139.0,4956.0,0.0
2023-01-03 22:00,0.0,,511.0,619.0,52.0,1072.0,4955.0,0.0
2023-01-03 23:00,0.0,,442.0,543.0,51.0,1067.0,4959.0,0.0
2023-01-04 00:00,0.0,,385.0,535.0,51.0,1001.0,4960.0,0.0
2023-01-04 01:00,0.0,,396.0,521.0,51.0,998.0,4958.0,0.0
2023-01-04 02:00,0.0,,396.0,527.0,51.0,1013.0,4956.0,0.0
2023-01-04 03:00,0.0,,399.0,592.0,52.0,979.0,4955.0,0.0
2023-01-04 04:00,0.0,,400.0,545.0,52.0,967.0,4953.0,0.0
2023-01-04 05:00,0.0,,438.0,572.0,53.0,948.0,4952.0,0.0
2023-01-04 06:00,0.0,,504.0,602.0,52.0,965.0,4949.0,0.0
2023-01-04 07:00,0.0,,510.0,675.0,50.0,1012.0,4951.0,0.0
2023-01-04 08:00,0.0,,497.0,683.0,49.0,1023.0,4948.0,20.0
2023-01-04 09:00,0.0,,493.0,760.0,49.0,1000.0,4945.0,92.0
2023-01-04 10:00,0.0,,495.0,751.0,48.0,963.0,4944.0,189.0
2023-01-04 11:00,0.0,,503.0,747.0,49.0,984.0,4940.0,236.0
2023-01-04 12:00,0.0,,495.0,716.0,51.0,1015.0,4939.0,231.0
2023-01-04 13:00,0.0,,502.0,782.0,51.0,1053.0,4939.0,206.0
2023-01-04 14:00,0.0,,508.0,735.0,52.0,1012.0,4937.0,97.0
2023-01-04 15:00,0.0,,489.0,716.0,52.0,997.0,4937.0,11.0
2023-01-04 16:00,0.0,,503.0,657.0,52.0,1050.0,4934.0,0.0
2023-01-04 17:00,0.0,,514.0,731.0,52.0,1123.0,4936.0,0.0
2023-01-04 18:00,0.0,,497.0,706.0,51.0,1247.0,4935.0,0.0
2023-01-04 19:00,0.0,,481.0,723.0,51.0,1137.0,4935.0,0.0
2023-01-04 20:00,0.0,,496.0,685.0,49.0,1031.0,4938.0,0.0
2023-01-04 21:00,0.0,,496.0,613.0,49.0,1024.0,4936.0,0.0
2023-01-04 22:00,0.0,,485.0,675.0,48.0,1067.0,4942.0,0.0
2023-01-04 23:00,0.0,,479.0,532.0,49.0,988.0,4945.0,0.0
2023-01-05 00:00,0.0,,449.0,482.0,50.0,1010.0,4946.0,0.0
2023-01-05 01:00,0.0,,391.0,502.0,50.0,1064.0,4947.0,0.0
2023-01-05 02:00,0.0,,391.0,529.0,51.0,947.0,4952.0,0.0
2023-01-05 03:00,0.0,,378.0,517.0,50.0,962.0,4951.0,0.0
2023-01-05 04:00,0.0,,399.0,501.0,51.0,1014.0,4946.0,0.0
2023-01-05 05:00,0.0,,471.0,525.0,51.0,1026.0,4944.0,0.0
2023-01-05 06:00,0.0,,487.0,585.0,50.0,1152.0,4943.0,0.0
2023-01-05 07:00,0.0,,476.0,637.0,51.0,1441.0,4946.0,0.0
2023-01-05 08:00,0.0,,499.0,789.0,51.0,1644.0,4946.0,158.0
