,Wind Onshore
2019-01-01 00:00:00+00:00,262.0
2019-01-01 01:00:00+00:00,231.0
2019-01-01 02:00:00+00:00,205.0
2019-01-01 03:00:00+00:00,166.0
2019-01-01 04:00:00+00:00,128.0
2019-01-01 05:00:00+00:00,98.0
2019-01-01 06:00:00+00:00,75.0
2019-01-01 07:00:00+00:00,61.0
2019-01-01 08:00:00+00:00,57.0
2019-01-01 09:00:00+00:00,58.0
2019-01-01 10:00:00+00:00,65.0
2019-01-01 11:00:00+00:00,74.0
2019-01-01 12:00:00+00:00,79.0
2019-01-01 13:00:00+00:00,87.0
2019-01-01 14:00:00+00:00,90.0
2019-01-01 15:00:00+00:00,81.0
2019-01-01 16:00:00+00:00,83.0
2019-01-01 17:00:00+00:00,109.0
2019-01-01 18:00:00+00:00,149.0
2019-01-01 19:00:00+00:00,191.0
2019-01-01 20:00:00+00:00,232.0
2019-01-01 21:00:00+00:00,262.0
2019-01-01 22:00:00+00:00,279.0
2019-01-01 23:00:00+00:00,281.0
2019-01-02 00:00:00+00:00,399.0
2019-01-02 01:00:00+00:00,405.0
2019-01-02 02:00:00+00:00,401.0
2019-01-02 03:00:00+00:00,412.0
2019-01-02 04:00:00+00:00,436.0
2019-01-02 05:00:00+00:00,475.0
2019-01-02 06:00:00+00:00,494.0
2019-01-02 07:00:00+00:00,472.0
2019-01-02 08:00:00+00:00,474.0
2019-01-02 09:00:00+00:00,493.0
2019-01-02 10:00:00+00:00,470.0
2019-01-02 11:00:00+00:00,407.0
2019-01-02 12:00:00+00:00,347.0
2019-01-02 13:00:00+00:00,319.0
2019-01-02 14:00:00+00:00,333.0
2019-01-02 15:00:00+00:00,348.0
2019-01-02 16:00:00+00:00,359.0
2019-01-02 17:00:00+00:00,372.0
2019-01-02 18:00:00+00:00,386.0
2019-01-02 19:00:00+00:00,410.0
2019-01-02 20:00:00+00:00,441.0
2019-01-02 21:00:00+00:00,464.0
2019-01-02 22:00:00+00:00,478.0
2019-01-02 23:00:00+00:00,493.0
2019-01-03 00:00:00+00:00,550.0
2019-01-03 01:00:00+00:00,555.0
2019-01-03 02:00:00+00:00,562.0
2019-01-03 03:00:00+00:00,576.0
2019-01-03 04:00:00+00:00,590.0
2019-01-03 05:00:00+00:00,598.0
2019-01-03 06:00:00+00:00,610.0
2019-01-03 07:00:00+00:00,625.0
2019-01-03 08:00:00+00:00,654.0
2019-01-03 09:00:00+00:00,675.0
2019-01-03 10:00:00+00:00,668.0
2019-01-03 11:00:00+00:00,662.0
2019-01-03 12:00:00+00:00,678.0
2019-01-03 13:00:00+00:00,688.0
2019-01-03 14:00:00+00:00,687.0
2019-01-03 15:00:00+00:00,677.0
2019-01-03 16:00:00+00:00,680.0
2019-01-03 17:00:00+00:00,707.0
2019-01-03 18:00:00+00:00,750.0
2019-01-03 19:00:00+00:00,797.0
2019-01-03 20:00:00+00:00,850.0
2019-01-03 21:00:00+00:00,893.0
2019-01-03 22:00:00+00:00,910.0
2019-01-03 23:00:00+00:00,906.0
2019-01-04 00:00:00+00:00,972.0
2019-01-04 01:00:00+00:00,965.0
2019-01-04 02:00:00+00:00,972.0
2019-01-04 03:00:00+00:00,974.0
2019-01-04 04:00:00+00:00,967.0
2019-01-04 05:00:00+00:00,959.0
2019-01-04 06:00:00+00:00,946.0
2019-01-04 07:00:00+00:00,927.0
2019-01-04 08:00:00+00:00,936.0
2019-01-04 09:00:00+00:00,984.0
2019-01-04 10:00:00+00:00,1034.0
2019-01-04 11:00:00+00:00,1095.0
2019-01-04 12:00:00+00:00,1178.0
2019-01-04 13:00:00+00:00,1205.0
2019-01-04 14:00:00+00:00,1156.0
2019-01-04 15:00:00+00:00,1071.0
2019-01-04 16:00:00+00:00,1000.0
2019-01-04 17:00:00+00:00,978.0
2019-01-04 18:00:00+00:00,985.0
2019-01-04 19:00:00+00:00,986.0
2019-01-04 20:00:00+00:00,1009.0
2019-01-04 21:00:00+00:00,1060.0
2019-01-04 22:00:00+00:00,1105.0
2019-01-04 23:00:00+00:00,1135.0
2019-01-05 00:00:00+00:00,1256.0
2019-01-05 01:00:00+00:00,1295.0
2019-01-05 02:00:00+00:00,1343.0
2019-01-05 03:00:00+00:00,1382.0
2019-01-05 04:00:00+00:00,1398.0
2019-01-05 05:00:00+00:00,1390.0
2019-01-05 06:00:00+00:00,1367.0
2019-01-05 07:00:00+00:00,1334.0
2019-01-05 08:00:00+00:00,1311.0
2019-01-05 09:00:00+00:00,1319.0
2019-01-05 10:00:00+00:00,1357.0
2019-01-05 11:00:00+00:00,1374.0
2019-01-05 12:00:00+00:00,1353.0
2019-01-05 13:00:00+00:00,1296.0
2019-01-05 14:00:00+00:00,1224.0
2019-01-05 15:00:00+00:00,1139.0
2019-01-05 16:00:00+00:00,1055.0
2019-01-05 17:00:00+00:00,970.0
2019-01-05 18:00:00+00:00,877.0
2019-01-05 19:00:00+00:00,776.0
2019-01-05 20:00:00+00:00,689.0
2019-01-05 21:00:00+00:00,615.0
2019-01-05 22:00:00+00:00,545.0
2019-01-05 23:00:00+00:00,482.0
2019-01-06 00:00:00+00:00,419.0
2019-01-06 01:00:00+00:00,371.0
2019-01-06 02:00:00+00:00,334.0
2019-01-06 03:00:00+00:00,299.0
2019-01-06 04:00:00+00:00,276.0
2019-01-06 05:00:00+00:00,254.0
2019-01-06 06:00:00+00:00,227.0
2019-01-06 07:00:00+00:00,198.0
2019-01-06 08:00:00+00:00,177.0
2019-01-06 09:00:00+00:00,171.0
2019-01-06 10:00:00+00:00,178.0
2019-01-06 11:00:00+00:00,182.0
2019-01-06 12:00:00+00:00,178.0
2019-01-06 13:00:00+00:00,171.0
