UTC time,coal,nat_gas,hydro,solar,wind,biomass,unknown
2023-12-29 00:00:00,112.0,68.0,1.0,0.0,103.0,64.0,1.0
2023-12-29 01:00:00,115.0,67.0,1.0,0.0,96.0,64.0,1.0
2023-12-29 02:00:00,115.0,66.0,1.0,0.0,93.0,64.0,1.0
2023-12-29 03:00:00,115.0,67.0,1.0,0.0,79.0,64.0,1.0
2023-12-29 04:00:00,115.0,66.0,1.0,0.0,51.0,66.0,1.0
2023-12-29 05:00:00,113.0,64.0,1.0,0.0,38.0,66.0,1.0
2023-12-29 06:00:00,116.0,65.0,1.0,0.0,51.0,66.0,1.0
2023-12-29 07:00:00,117.0,65.0,1.0,2.0,82.0,61.0,1.0
2023-12-29 08:00:00,119.0,64.0,1.0,5.0,103.0,52.0,1.0
2023-12-29 09:00:00,123.0,62.0,1.0,7.0,131.0,52.0,1.0
2023-12-29 10:00:00,117.0,63.0,1.0,9.0,132.0,52.0,1.0
2023-12-29 11:00:00,118.0,65.0,1.0,8.0,125.0,52.0,1.0
2023-12-29 12:00:00,122.0,63.0,1.0,5.0,131.0,50.0,1.0
2023-12-29 13:00:00,121.0,64.0,1.0,1.0,119.0,47.0,1.0
2023-12-29 14:00:00,128.0,65.0,1.0,0.0,114.0,48.0,1.0
2023-12-29 15:00:00,113.0,67.0,1.0,0.0,109.0,46.0,1.0
2023-12-29 16:00:00,123.0,66.0,1.0,0.0,103.0,50.0,1.0
2023-12-29 17:00:00,119.0,68.0,1.0,0.0,111.0,57.0,1.0
2023-12-29 18:00:00,129.0,69.0,1.0,0.0,111.0,63.0,1.0
2023-12-29 19:00:00,133.0,69.0,1.0,0.0,127.0,64.0,1.0
2023-12-29 20:00:00,123.0,65.0,1.0,0.0,130.0,64.0,1.0
2023-12-29 21:00:00,115.0,70.0,1.0,0.0,129.0,65.0,1.0
2023-12-29 22:00:00,119.0,67.0,1.0,0.0,125.0,64.0,1.0
2023-12-29 23:00:00,112.0,71.0,1.0,0.0,110.0,64.0,1.0
