,UTC time,carbon_intensity,coal,nat_gas,hydro,solar,wind,biomass,unknown
0,2019-01-01 00:00:00,346.34,1472.0,445.0,940.0,0.0,543.0,320.0,22.0
1,2019-01-01 01:00:00,370.33,1470.0,438.0,797.0,0.0,441.0,320.0,21.0
2,2019-01-01 02:00:00,386.39,1470.0,439.0,717.0,0.0,367.0,331.0,25.0
3,2019-01-01 03:00:00,430.64,1407.0,439.0,339.0,0.0,346.0,339.0,29.0
4,2019-01-01 04:00:00,421.11,1289.0,442.0,247.0,0.0,413.0,335.0,31.0
5,2019-01-01 05:00:00,416.89,1289.0,447.0,237.0,0.0,449.0,336.0,30.0
6,2019-01-01 06:00:00,426.1,1433.0,456.0,338.0,0.0,404.0,331.0,29.0
7,2019-01-01 07:00:00,433.36,1469.0,566.0,305.0,0.0,405.0,324.0,29.0
8,2019-01-01 08:00:00,421.69,1456.0,892.0,312.0,53.0,373.0,332.0,31.0
9,2019-01-01 09:00:00,394.74,1432.0,1098.0,406.0,196.0,341.0,326.0,28.0
10,2019-01-01 10:00:00,387.4,1430.0,1157.0,400.0,303.0,304.0,330.0,28.0
11,2019-01-01 11:00:00,384.93,1381.0,1081.0,413.0,348.0,223.0,334.0,29.0
12,2019-01-01 12:00:00,363.55,1427.0,1174.0,753.0,358.0,149.0,335.0,31.0
13,2019-01-01 13:00:00,389.77,1471.0,1193.0,564.0,351.0,97.0,340.0,32.0
14,2019-01-01 14:00:00,408.59,1329.0,1150.0,316.0,310.0,82.0,339.0,31.0
15,2019-01-01 15:00:00,415.35,1315.0,1160.0,307.0,235.0,104.0,330.0,30.0
16,2019-01-01 16:00:00,426.94,1470.0,1266.0,405.0,87.0,164.0,333.0,32.0
17,2019-01-01 17:00:00,391.99,1490.0,1387.0,748.0,1.0,253.0,334.0,32.0
18,2019-01-01 18:00:00,363.15,1624.0,1389.0,1213.0,0.0,272.0,334.0,31.0
19,2019-01-01 19:00:00,341.53,1717.0,1391.0,1619.0,0.0,285.0,337.0,31.0
