datetime,avg_hydro_production_forecast
2023-06-27T00:00:00.000000000,8586.98527
2023-06-27T01:00:00.000000000,8540.00839
2023-06-27T02:00:00.000000000,8476.60175
2023-06-27T03:00:00.000000000,8159.54202
2023-06-27T04:00:00.000000000,7675.7701
2023-06-27T05:00:00.000000000,7204.51119
2023-06-27T06:00:00.000000000,6691.68255
2023-06-27T07:00:00.000000000,6054.46896
2023-06-27T08:00:00.000000000,5384.45967
2023-06-27T09:00:00.000000000,5013.02498
2023-06-27T10:00:00.000000000,4662.90158
2023-06-27T11:00:00.000000000,4719.53823
2023-06-27T12:00:00.000000000,5342.54739
2023-06-27T13:00:00.000000000,5802.61193
2023-06-27T14:00:00.000000000,6282.01228
2023-06-27T15:00:00.000000000,6897.73052
2023-06-27T16:00:00.000000000,7356.98473
2023-06-27T17:00:00.000000000,7864.2318
2023-06-27T18:00:00.000000000,8143.42125
2023-06-27T19:00:00.000000000,8446.89019
2023-06-27T20:00:00.000000000,8413.73202
2023-06-27T21:00:00.000000000,8369.57349
2023-06-27T22:00:00.000000000,8280.73517
2023-06-27T23:00:00.000000000,8316.0778
2023-06-28T00:00:00.000000000,9022.92446
2023-06-28T01:00:00.000000000,8967.29283
2023-06-28T02:00:00.000000000,8920.11594
2023-06-28T03:00:00.000000000,8624.39308
2023-06-28T04:00:00.000000000,8190.7091
2023-06-28T05:00:00.000000000,7775.26822
2023-06-28T06:00:00.000000000,7285.15657
2023-06-28T07:00:00.000000000,6622.77741
2023-06-28T08:00:00.000000000,5904.6892
2023-06-28T09:00:00.000000000,5464.41798
2023-06-28T10:00:00.000000000,5004.28666
2023-06-28T11:00:00.000000000,4916.64605
2023-06-28T12:00:00.000000000,5407.08977
2023-06-28T13:00:00.000000000,5748.31522
2023-06-28T14:00:00.000000000,6159.59849
2023-06-28T15:00:00.000000000,6750.8339
2023-06-28T16:00:00.000000000,7216.68865
2023-06-28T17:00:00.000000000,7768.85805
2023-06-28T18:00:00.000000000,8138.31013
2023-06-28T19:00:00.000000000,8569.30166
2023-06-28T20:00:00.000000000,8640.54774
2023-06-28T21:00:00.000000000,8683.76703
2023-06-28T22:00:00.000000000,8660.17294
2023-06-28T23:00:00.000000000,8719.31498
2023-06-29T00:00:00.000000000,9540.19976
2023-06-29T01:00:00.000000000,9615.50443
2023-06-29T02:00:00.000000000,9703.6341
2023-06-29T03:00:00.000000000,9456.9852
2023-06-29T04:00:00.000000000,9067.48267
2023-06-29T05:00:00.000000000,8644.7492
2023-06-29T06:00:00.000000000,8056.32617
2023-06-29T07:00:00.000000000,7234.59353
2023-06-29T08:00:00.000000000,6372.12971
2023-06-29T09:00:00.000000000,5802.11822
2023-06-29T10:00:00.000000000,5213.4731
2023-06-29T11:00:00.000000000,4985.71997
2023-06-29T12:00:00.000000000,5377.33569
2023-06-29T13:00:00.000000000,5657.17084
2023-06-29T14:00:00.000000000,6024.15871
2023-06-29T15:00:00.000000000,6586.04138
2023-06-29T16:00:00.000000000,6990.05101
2023-06-29T17:00:00.000000000,7483.55413
2023-06-29T18:00:00.000000000,7844.22785
2023-06-29T19:00:00.000000000,8353.61718
2023-06-29T20:00:00.000000000,8529.66853
2023-06-29T21:00:00.000000000,8708.21032
2023-06-29T22:00:00.000000000,8857.30866
2023-06-29T23:00:00.000000000,9074.954
2023-06-30T00:00:00.000000000,10036.87241
2023-06-30T01:00:00.000000000,10210.51239
2023-06-30T02:00:00.000000000,10402.88584
2023-06-30T03:00:00.000000000,10187.01464
2023-06-30T04:00:00.000000000,9829.83472
2023-06-30T05:00:00.000000000,9401.55888
2023-06-30T06:00:00.000000000,8730.31001
2023-06-30T07:00:00.000000000,7769.25541
2023-06-30T08:00:00.000000000,6779.21519
2023-06-30T09:00:00.000000000,6094.13133
2023-06-30T10:00:00.000000000,5385.66153
2023-06-30T11:00:00.000000000,5019.20391
2023-06-30T12:00:00.000000000,5307.65394
2023-06-30T13:00:00.000000000,5515.18302
2023-06-30T14:00:00.000000000,5829.42074
2023-06-30T15:00:00.000000000,6359.34825
2023-06-30T16:00:00.000000000,6708.91598
2023-06-30T17:00:00.000000000,7163.08432
2023-06-30T18:00:00.000000000,7539.52199
2023-06-30T19:00:00.000000000,8148.2018
2023-06-30T20:00:00.000000000,8441.9535
2023-06-30T21:00:00.000000000,8760.55215
2023-06-30T22:00:00.000000000,9074.08354
2023-06-30T23:00:00.000000000,9433.81969
