,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,nuclear,oil,hydro,solar,wind,other
0,2023-08-21 00:00:00,2023-08-23 15:25:34,3.0,382.64,9570.0,20578.0,6905.0,0.0,1598.0,294.0,0.0,77.0
1,2023-08-21 01:00:00,2023-08-23 15:25:34,3.0,390.36,9313.0,20486.0,6918.0,0.0,865.0,3.0,0.0,75.0
2,2023-08-21 02:00:00,2023-08-23 15:25:34,3.0,388.74,8709.0,19906.0,6921.0,0.0,475.0,0.0,0.0,79.0
3,2023-08-21 03:00:00,2023-08-23 15:25:34,3.0,381.75,7822.0,18132.0,6938.0,0.0,293.0,0.0,0.0,76.0
4,2023-08-21 04:00:00,2023-08-23 15:25:34,3.0,375.4,7239.0,15900.0,6951.0,0.0,277.0,0.0,0.0,76.0
5,2023-08-21 05:00:00,2023-08-23 15:25:34,3.0,370.43,6868.0,14411.0,6957.0,0.0,293.0,0.0,0.0,79.0
6,2023-08-21 06:00:00,2023-08-23 15:25:34,3.0,366.48,6487.0,13927.0,6959.0,0.0,185.0,0.0,0.0,78.0
7,2023-08-21 07:00:00,2023-08-23 15:25:34,3.0,357.09,5871.0,13741.0,6966.0,0.0,203.0,0.0,0.0,79.0
8,2023-08-21 08:00:00,2023-08-23 15:25:34,3.0,351.72,5483.0,13472.0,6975.0,0.0,141.0,0.0,0.0,81.0
9,2023-08-21 09:00:00,2023-08-23 15:25:34,3.0,351.02,5385.0,13360.0,6977.0,0.0,70.0,0.0,0.0,79.0
10,2023-08-21 10:00:00,2023-08-23 15:25:34,3.0,354.47,5599.0,13607.0,6985.0,0.0,64.0,0.0,0.0,76.0
11,2023-08-21 11:00:00,2023-08-23 15:25:34,3.0,368.64,6554.0,13972.0,6981.0,0.0,72.0,0.0,0.0,78.0
12,2023-08-21 12:00:00,2023-08-23 15:25:34,3.0,373.86,7052.0,14403.0,6990.0,0.0,106.0,80.0,0.0,76.0
13,2023-08-21 13:00:00,2023-08-23 15:25:34,3.0,360.93,6682.0,14304.0,6982.0,0.0,59.0,752.0,0.0,77.0
14,2023-08-21 14:00:00,2023-08-23 15:25:34,3.0,359.62,7032.0,15227.0,6950.0,0.0,57.0,1308.0,0.0,78.0
15,2023-08-21 15:00:00,2023-08-23 15:25:34,3.0,361.51,7358.0,17033.0,6949.0,0.0,82.0,1527.0,0.0,80.0
16,2023-08-21 16:00:00,2023-08-23 15:25:34,3.0,369.94,8247.0,18657.0,6947.0,0.0,232.0,1563.0,0.0,79.0
17,2023-08-21 17:00:00,2023-08-23 15:25:34,3.0,384.86,9840.0,19871.0,6951.0,0.0,340.0,1573.0,0.0,80.0
18,2023-08-21 18:00:00,2023-08-23 15:25:34,3.0,380.23,9548.0,22447.0,6937.0,0.0,413.0,1624.0,0.0,81.0
19,2023-08-21 19:00:00,2023-08-23 15:25:34,3.0,377.62,9761.0,23325.0,6938.0,0.0,881.0,1636.0,0.0,79.0
20,2023-08-21 20:00:00,2023-08-23 15:25:34,3.0,373.03,9995.0,23461.0,6939.0,0.0,1709.0,1573.0,0.0,79.0
21,2023-08-21 21:00:00,2023-08-23 15:25:34,3.0,367.33,9699.0,23703.0,6940.0,0.0,2155.0,1490.0,0.0,78.0
22,2023-08-21 22:00:00,2023-08-23 15:25:34,3.0,363.92,9693.0,23653.0,6938.0,0.0,2663.0,1390.0,0.0,80.0
23,2023-08-21 23:00:00,2023-08-23 15:25:34,3.0,365.62,9539.0,22729.0,6934.0,0.0,2665.0,1008.0,0.0,79.0
