,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,nuclear,oil,hydro,solar,wind,other
0,2023-08-22 00:00:00,2023-08-23 19:34:33,3.0,462.89,9969.0,23638.0,6934.0,0.0,2218.0,287.0,0.0,80.0
1,2023-08-22 01:00:00,2023-08-23 19:34:33,3.0,468.78,9768.0,23430.0,6938.0,0.0,1745.0,2.0,0.0,79.0
2,2023-08-22 02:00:00,2023-08-23 19:34:33,3.0,468.57,8896.0,23158.0,6943.0,0.0,1059.0,0.0,0.0,79.0
3,2023-08-22 03:00:00,2023-08-23 19:34:33,3.0,471.39,8648.0,21582.0,6947.0,0.0,543.0,0.0,0.0,79.0
4,2023-08-22 04:00:00,2023-08-23 19:34:33,3.0,466.46,7948.0,18796.0,6951.0,0.0,254.0,0.0,0.0,81.0
5,2023-08-22 05:00:00,2023-08-23 19:34:33,3.0,460.65,7531.0,16585.0,6962.0,0.0,203.0,0.0,0.0,80.0
6,2023-08-22 06:00:00,2023-08-23 19:34:33,3.0,456.83,7224.0,15187.0,6961.0,0.0,112.0,0.0,0.0,72.0
7,2023-08-22 07:00:00,2023-08-23 19:34:33,3.0,454.1,7074.0,14413.0,6972.0,0.0,95.0,0.0,0.0,71.0
8,2023-08-22 08:00:00,2023-08-23 19:34:33,3.0,449.1,6800.0,14023.0,6970.0,0.0,158.0,0.0,0.0,72.0
9,2023-08-22 09:00:00,2023-08-23 19:34:33,3.0,444.87,6504.0,14083.0,6980.0,0.0,172.0,0.0,0.0,72.0
10,2023-08-22 10:00:00,2023-08-23 19:34:33,3.0,445.72,6539.0,13736.0,6979.0,0.0,111.0,0.0,0.0,71.0
11,2023-08-22 11:00:00,2023-08-23 19:34:33,3.0,449.99,6834.0,13925.0,6981.0,1.0,109.0,0.0,0.0,72.0
12,2023-08-22 12:00:00,2023-08-23 19:34:33,3.0,452.41,7078.0,14090.0,6994.0,0.0,84.0,79.0,0.0,69.0
13,2023-08-22 13:00:00,2023-08-23 19:34:33,3.0,445.04,7201.0,14048.0,6989.0,0.0,53.0,752.0,0.0,70.0
14,2023-08-22 14:00:00,2023-08-23 19:34:33,3.0,437.31,7162.0,14863.0,6971.0,0.0,146.0,1319.0,0.0,71.0
15,2023-08-22 15:00:00,2023-08-23 19:34:33,3.0,443.54,7644.0,17076.0,6952.0,0.0,156.0,1567.0,0.0,74.0
16,2023-08-22 16:00:00,2023-08-23 19:34:33,3.0,452.03,8227.0,19337.0,6942.0,0.0,160.0,1615.0,0.0,76.0
17,2023-08-22 17:00:00,2023-08-23 19:34:33,3.0,457.64,8804.0,20936.0,6944.0,0.0,303.0,1601.0,0.0,77.0
18,2023-08-22 18:00:00,2023-08-23 19:34:33,3.0,452.69,8581.0,22904.0,6934.0,0.0,848.0,1489.0,0.0,81.0
19,2023-08-22 19:00:00,2023-08-23 19:34:33,3.0,451.98,8955.0,23748.0,6939.0,0.0,1308.0,1487.0,0.0,78.0
20,2023-08-22 20:00:00,2023-08-23 19:34:33,3.0,452.15,9573.0,23990.0,6933.0,0.0,1844.0,1490.0,0.0,74.0
21,2023-08-22 21:00:00,2023-08-23 19:34:33,3.0,473.01,9853.0,79613.0,6933.0,21.0,2258.0,1363.0,0.0,78.0
22,2023-08-22 22:00:00,2023-08-23 19:34:33,3.0,453.36,9910.0,24304.0,6226.0,26.0,3093.0,1157.0,0.0,79.0
23,2023-08-22 23:00:00,2023-08-23 19:34:33,3.0,475.39,9306.0,79632.0,5735.0,0.0,3068.0,805.0,0.0,81.0
