UTC time,wind,hydro,solar,other,oil,nuclear,nat_gas,coal
2023-03-02T00,3746,1491,5527,-1047,83,2261,8182,4
2023-03-02T01,3723,1819,3627,-498,83,2261,9677,5
2023-03-02T02,3856,2916,462,773,83,2261,11533,5
2023-03-02T03,3839,3372,-20,1811,83,2262,12162,4
2023-03-02T04,3883,3412,-18,1474,83,2262,12520,3
2023-03-02T05,4226,3225,-16,1076,84,2262,12382,3
2023-03-02T06,4379,2912,-16,264,84,2263,12199,4
2023-03-02T07,4348,2078,-15,-68,84,2265,11642,3
2023-03-02T08,4222,1880,-15,-669,84,2265,11737,3
2023-03-02T09,3979,2009,-15,-417,84,2263,10227,4
2023-03-02T10,3721,1806,-15,-457,84,2263,9887,4
2023-03-02T11,3514,1741,-16,-279,84,2263,9530,2
2023-03-02T12,3518,2016,-16,-32,84,2263,9290,3
2023-03-02T13,2313,2350,-17,266,85,2263,10085,3
2023-03-02T14,1879,2665,-17,1036,85,2264,11529,2
2023-03-02T15,1349,3038,661,1791,84,2264,12960,3
2023-03-02T16,983,2388,6123,327,83,2263,10880,3
2023-03-02T17,797,1950,10777,-377,84,2262,7441,3
2023-03-02T18,726,1447,11875,-696,85,2262,5571,4
2023-03-02T19,701,1213,12099,-1092,84,2262,5865,4
2023-03-02T20,615,954,12303,-1668,85,2263,6190,4
2023-03-02T21,559,767,11772,-1913,85,2264,6187,4
2023-03-02T22,471,703,11235,-1997,84,2263,6505,3
2023-03-02T23,433,793,10459,-1138,84,2263,5835,3
