UTC time,wind,hydro,solar,other,oil,nuclear,nat_gas,coal
2023-03-01T00,2423,1722,5274,-132,82,2259,10668,4
2023-03-01T01,2140,2846,2822,-63,80,2260,12239,3
2023-03-01T02,2109,3419,306,1313,79,2260,14120,3
2023-03-01T03,2099,3653,-30,1312,78,2259,14505,4
2023-03-01T04,2293,3681,-27,1089,79,2259,14507,4
2023-03-01T05,2415,3599,-26,802,78,2259,13987,3
2023-03-01T06,2260,3148,-26,543,79,2260,13728,3
2023-03-01T07,2287,2688,-26,245,82,2263,13128,5
2023-03-01T08,2060,2024,-25,170,83,2263,12950,4
2023-03-01T09,2237,1836,-26,192,83,2261,12109,4
2023-03-01T10,2233,1539,-26,153,83,2260,12237,4
2023-03-01T11,2367,1455,-26,-9,82,2260,12211,4
2023-03-01T12,2402,1401,-26,190,82,2258,12389,4
2023-03-01T13,2852,1946,-27,197,82,2260,12257,4
2023-03-01T14,3416,2738,-29,535,83,2261,12316,4
2023-03-01T15,3136,3068,263,1381,82,2262,13006,2
2023-03-01T16,2940,2660,2652,137,82,2261,12920,3
2023-03-01T17,3266,1903,5649,-777,83,2261,11960,3
2023-03-01T18,3890,1464,7030,-751,83,2261,10286,3
2023-03-01T19,3418,1496,8123,-961,83,2262,7904,4
2023-03-01T20,3793,1516,7609,-1513,83,2261,7804,4
2023-03-01T21,4349,1121,7432,-1705,83,2261,8403,5
2023-03-01T22,4413,1184,6428,-687,83,2260,7282,4
2023-03-01T23,4139,1342,6346,-595,83,2260,6958,4
