UTC time,wind,hydro,solar,other,oil,nuclear,nat_gas,coal
2023-03-03T00,237,1176,9739,-763,84,2264,6878,3
2023-03-03T01,348,2053,6365,28,84,2263,8239,4
2023-03-03T02,423,3168,973,1500,84,2262,10348,4
2023-03-03T03,613,3579,-26,1629,84,2263,11914,3
2023-03-03T04,1030,3283,-26,1322,85,2263,11760,3
2023-03-03T05,1177,3138,-25,1089,85,2264,11537,3
2023-03-03T06,1732,2596,-25,635,85,2264,11434,3
2023-03-03T07,2536,2283,-25,33,85,2264,10687,3
2023-03-03T08,2025,2130,-25,-24,84,2264,10104,3
2023-03-03T09,2093,1949,-25,-160,84,2264,10233,3
2023-03-03T10,2269,1924,-25,-388,75,2265,10238,3
2023-03-03T11,2434,1862,-26,-566,84,2265,10371,3
2023-03-03T12,2519,1886,-26,-591,85,2264,10163,3
2023-03-03T13,2567,2038,-27,151,85,2264,9824,3
2023-03-03T14,2295,2371,-28,704,84,2265,11075,4
2023-03-03T15,2313,2789,777,1518,83,2265,11281,2
2023-03-03T16,2101,2061,6320,-395,83,2264,10735,2
2023-03-03T17,1786,1491,10475,-859,84,2264,7229,3
2023-03-03T18,915,983,11406,-594,84,2264,5599,3
2023-03-03T19,368,782,11389,-963,84,2263,5604,4
2023-03-03T20,224,572,11294,-1520,84,2262,5941,3
2023-03-03T21,146,502,10259,-1284,86,2262,5678,4
2023-03-03T22,122,516,10059,-858,85,2262,5362,4
2023-03-03T23,107,568,10185,-718,84,2262,5465,4
