UTC time,avg_biomass_production_forecast,avg_coal_production_forecast,avg_hydro_production_forecast,avg_nat_gas_production_forecast,avg_oil_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast
2021-07-01 00:00:00,197.28588,10922.85841,120.99209,1541.28073,198.957,0,1822.99994
2021-07-01 01:00:00,200.70983,11122.51852,123.72691,1551.5211,199.31317,0,1785.99994
2021-07-01 02:00:00,201.89821,11560.27966,124.02625,1555.30422,200.19206,5,1747.99995
2021-07-01 03:00:00,202.79631,12462.09761,120.90063,1558.3165,197.82275,97,1707.00004
2021-07-01 04:00:00,202.23604,13486.33213,121.01949,1564.40599,198.64821,375,1655.00003
2021-07-01 05:00:00,204.47783,14287.31936,121.7491,1548.27122,199.92995,885.99996,1724.99997
2021-07-01 06:00:00,204.1543,15364.71942,131.07583,1546.49344,200.07328,1523.00002,1862.00007
2021-07-01 07:00:00,201.22906,16094.57827,149.13028,1530.41799,199.27487,2077.00002,1954.00002
2021-07-01 08:00:00,203.12001,16367.07009,161.93339,1520.18344,199.18955,2420.00005,2038.99995
2021-07-01 09:00:00,204.34084,16286.30188,160.41346,1513.84706,199.60412,2589.99993,2069.99992
2021-07-01 10:00:00,204.48585,16348.58822,157.56871,1506.29901,199.34209,2665.99998,2037.99997
2021-07-01 11:00:00,206.07828,16255.43148,150.23042,1509.42115,200.66801,2614.99992,1967.00006
2021-07-01 12:00:00,206.67852,16163.12984,141.90179,1521.90244,200.99241,2425.99997,1867.99994
2021-07-01 13:00:00,205.6334,16050.04784,136.88969,1535.08107,201.32404,2151.0001,1746.99998
2021-07-01 14:00:00,205.36918,16043.81254,138.67283,1537.8529,202.20604,1748.00002,1595.00004
2021-07-01 15:00:00,206.29762,16144.51542,153.0658,1534.02241,202.41385,1197.99997,1395.00001
2021-07-01 16:00:00,205.17054,15985.17144,166.52625,1526.33225,201.75555,645.00001,1187.99997
2021-07-01 17:00:00,205.59501,15583.43132,181.0458,1516.82201,200.91192,239,1017.00004
2021-07-01 18:00:00,207.93809,15096.20889,183.07282,1499.83478,200.52392,44,935.00004
2021-07-01 19:00:00,209.96829,14293.72825,173.45229,1488.71171,200.44143,2,948.99997
2021-07-01 20:00:00,208.2724,13445.37212,155.70466,1488.24667,200.44476,0,1004.99997
2021-07-01 21:00:00,207.23886,12860.22798,136.63583,1502.37018,200.7829,0,1067.99998
2021-07-01 22:00:00,203.4674,12461.56275,128.07169,1510.02503,201.22059,0,1358
2021-07-01 23:00:00,201.50023,11824.39076,123.75961,1507.21703,201.03038,0,1284.99997
2021-07-02 00:00:00,208.24175,10799.17332,120.45042,1542.63038,201.01471,0,1136.04898
