,UTC time,carbon_intensity,wind,hydro,biomass,nat_gas,oil,coal,solar
13128,2021-07-01 00:00:00,685.35,1706,130,169,1408,199,11849,0
13129,2021-07-01 01:00:00,678.01,1835,130,166,1406,200,11644,0
13130,2021-07-01 02:00:00,680.29,1762,130,172,1410,199,11588,4
13131,2021-07-01 03:00:00,678.81,1653,129,229,1468,199,11665,115
13132,2021-07-01 04:00:00,692.05,1503,131,247,1715,199,14210,368
13133,2021-07-01 05:00:00,688.47,1352,141,249,1698,200,15098,804
13134,2021-07-01 06:00:00,679.69,1366,151,248,1619,199,15629,1191
13135,2021-07-01 07:00:00,657.87,1655,146,247,1589,200,15404,1567
13136,2021-07-01 08:00:00,645.03,1836,147,245,1502,187,15237,1795
13137,2021-07-01 09:00:00,635.82,2006,148,245,1488,185,15278,1957
13138,2021-07-01 10:00:00,627.59,2120,146,248,1485,184,15417,2184
13139,2021-07-01 11:00:00,622.82,2019,146,248,1642,183,15105,2328
13140,2021-07-01 12:00:00,630.36,2046,145,245,1705,184,14987,1970
13141,2021-07-01 13:00:00,637.12,1933,150,245,1638,185,14711,1773
13142,2021-07-01 14:00:00,651.5,1754,149,245,1701,185,15316,1625
13143,2021-07-01 15:00:00,667.21,1477,196,245,1672,181,15311,1346
13144,2021-07-01 16:00:00,689.44,1311,205,242,1668,182,15621,873
13145,2021-07-01 17:00:00,713.21,1091,205,239,1683,185,15922,434
13146,2021-07-01 18:00:00,722.05,1089,226,243,1658,185,15783,142
13147,2021-07-01 19:00:00,722.31,1183,225,244,1674,184,15639,10
13148,2021-07-01 20:00:00,722.91,1177,201,242,1582,184,15239,0
13149,2021-07-01 21:00:00,719.99,1221,201,241,1593,195,15036,0
13150,2021-07-01 22:00:00,720.48,1151,146,235,1575,197,14173,0
13151,2021-07-01 23:00:00,721.24,1052,135,237,1578,197,13535,0
13152,2021-07-02 00:00:00,723.9,948,135,236,1480,197,12982,0
13153,2021-07-02 01:00:00,729.34,807,135,233,1459,196,12751,0
13154,2021-07-02 02:00:00,732.46,735,135,243,1473,197,12826,2
13155,2021-07-02 03:00:00,737.31,696,136,247,1498,197,13883,47
13156,2021-07-02 04:00:00,743.09,573,144,247,1622,196,15494,162
13157,2021-07-02 05:00:00,738.05,483,192,247,1683,196,15771,352
13158,2021-07-02 06:00:00,734.28,426,207,250,1700,196,16144,538
13159,2021-07-02 07:00:00,726.84,412,212,248,1701,196,16232,773
13160,2021-07-02 08:00:00,720.08,518,215,244,1668,197,16174,862
13161,2021-07-02 09:00:00,704.66,624,212,249,1658,196,16540,1282
13162,2021-07-02 10:00:00,705.49,669,157,249,1652,197,16457,1253
13163,2021-07-02 11:00:00,699.59,741,147,246,1664,197,15952,1279
13164,2021-07-02 12:00:00,685.99,874,146,246,1649,196,15700,1521
13165,2021-07-02 13:00:00,683.19,996,146,245,1648,197,15604,1462
13166,2021-07-02 14:00:00,691.96,1061,145,248,1688,197,15473,1079
13167,2021-07-02 15:00:00,690.47,1099,146,248,1701,197,15419,1069
13168,2021-07-02 16:00:00,702.71,1036,205,247,1710,196,15631,740
13169,2021-07-02 17:00:00,719.43,942,217,249,1712,196,15998,389
13170,2021-07-02 18:00:00,727.2,947,256,248,1620,197,15991,151
13171,2021-07-02 19:00:00,728.08,1069,263,246,1565,197,16004,13
13172,2021-07-02 20:00:00,724.85,1167,243,247,1588,197,15904,0
13173,2021-07-02 21:00:00,722.94,1176,192,246,1598,195,15240,0
13174,2021-07-02 22:00:00,719.4,1204,137,238,1634,185,14436,0
13175,2021-07-02 23:00:00,710.17,1263,126,235,1590,185,13144,0
13176,2021-07-03 00:00:00,697.97,1369,126,235,1541,185,12003,0
13177,2021-07-03 01:00:00,690.8,1429,126,233,1479,185,11357,0
13178,2021-07-03 02:00:00,685.84,1509,126,240,1408,185,11151,4
13179,2021-07-03 03:00:00,687.92,1399,126,246,1406,185,11172,73
13180,2021-07-03 04:00:00,692.22,1203,125,248,1429,185,11507,241
13181,2021-07-03 05:00:00,686.95,1078,125,247,1520,185,11903,550
13182,2021-07-03 06:00:00,678.88,1003,127,248,1538,185,12322,913
13183,2021-07-03 07:00:00,667.34,1038,128,247,1581,185,12545,1221
13184,2021-07-03 08:00:00,657.62,1055,132,249,1535,186,12489,1464
13185,2021-07-03 09:00:00,653.2,1027,133,248,1553,185,12380,1583
13186,2021-07-03 10:00:00,647.91,1034,124,246,1594,185,12199,1674
13187,2021-07-03 11:00:00,649.29,1112,122,245,1558,183,11877,1474
13188,2021-07-03 12:00:00,652.58,1040,123,249,1463,184,11435,1360
13189,2021-07-03 13:00:00,641.05,999,126,250,1482,186,11330,1670
13190,2021-07-03 14:00:00,657.22,885,173,250,1596,186,11711,1388
13191,2021-07-03 15:00:00,676.63,839,179,246,1549,185,12550,1140
13192,2021-07-03 16:00:00,703.56,709,190,248,1644,184,13902,790
13193,2021-07-03 17:00:00,722.55,566,199,246,1649,185,14282,490
13194,2021-07-03 18:00:00,739.23,472,234,248,1615,184,14676,186
13195,2021-07-03 19:00:00,748.18,429,239,247,1625,184,14855,17
13196,2021-07-03 20:00:00,749.72,438,229,246,1592,184,14933,0
13197,2021-07-03 21:00:00,752.67,361,218,246,1598,192,14772,0
13198,2021-07-03 22:00:00,752.64,333,139,237,1558,195,13381,0
13199,2021-07-03 23:00:00,751.84,297,132,235,1531,196,12612,0
13200,2021-07-04 00:00:00,754.78,235,128,237,1378,196,11930,0
13201,2021-07-04 01:00:00,754.05,205,128,233,1379,196,11409,0
13202,2021-07-04 02:00:00,754.22,204,129,237,1381,196,11526,4
13203,2021-07-04 03:00:00,749.56,194,135,248,1378,195,11297,69
13204,2021-07-04 04:00:00,738.68,157,137,250,1388,196,11198,301
13205,2021-07-04 05:00:00,720.12,136,136,249,1420,194,11052,667
13206,2021-07-04 06:00:00,701.83,108,141,247,1417,196,11195,1105
13207,2021-07-04 07:00:00,688.56,91,146,246,1415,196,11169,1411
13208,2021-07-04 08:00:00,662.21,90,145,247,1412,196,11143,2033
13209,2021-07-04 09:00:00,649.31,102,144,247,1413,196,10970,2298
13210,2021-07-04 10:00:00,655.43,102,138,248,1409,196,11060,2175
13211,2021-07-04 11:00:00,648.42,110,136,247,1408,196,10728,2253
13212,2021-07-04 12:00:00,650.44,174,134,249,1407,196,10392,2042
13213,2021-07-04 13:00:00,653,249,134,248,1407,196,10483,1927
13214,2021-07-04 14:00:00,654.91,333,138,249,1409,195,11088,1951
13215,2021-07-04 15:00:00,671.51,444,140,247,1417,196,11662,1560
13216,2021-07-04 16:00:00,716.06,278,147,246,1504,196,14164,1046
13217,2021-07-04 17:00:00,742.53,206,199,245,1545,196,15237,506
13218,2021-07-04 18:00:00,752.59,234,218,247,1585,196,15374,196
13219,2021-07-04 19:00:00,757.66,303,218,248,1536,196,15386,14
13220,2021-07-04 20:00:00,759.33,297,199,246,1573,196,15558,0
13221,2021-07-04 21:00:00,760.34,264,134,245,1525,196,14420,0
13222,2021-07-04 22:00:00,755.7,257,129,235,1383,196,12403,0
13223,2021-07-04 23:00:00,754.87,212,129,235,1379,196,11687,0
13224,2021-07-05 00:00:00,755.84,166,129,236,1379,196,11369,0
13225,2021-07-05 01:00:00,758.03,119,129,232,1380,196,11250,0
13226,2021-07-05 02:00:00,759.3,102,129,235,1379,196,11388,4
13227,2021-07-05 03:00:00,756.29,100,131,240,1390,196,11632,75
13228,2021-07-05 04:00:00,755.11,82,131,242,1497,196,14541,341
13229,2021-07-05 05:00:00,738.29,53,177,243,1513,195,15687,866
13230,2021-07-05 06:00:00,722.71,45,207,246,1463,194,16109,1350
13231,2021-07-05 07:00:00,713.95,46,223,246,1290,194,16461,1703
13232,2021-07-05 08:00:00,705.54,62,151,246,1283,194,16591,2042
13233,2021-07-05 09:00:00,708.01,126,134,246,1329,193,16618,1905
13234,2021-07-05 10:00:00,694.45,202,137,246,1328,195,16410,2211
13235,2021-07-05 11:00:00,690.97,370,138,245,1244,195,15961,2082
13236,2021-07-05 12:00:00,680.63,523,135,244,1214,195,15779,2223
13237,2021-07-05 13:00:00,700.31,440,134,245,1211,195,15388,1630
13238,2021-07-05 14:00:00,699,739,133,248,1163,196,15619,1411
13239,2021-07-05 15:00:00,708.57,607,133,248,1173,195,16703,1447
13240,2021-07-05 16:00:00,726.87,475,190,249,1146,195,16555,965
13241,2021-07-05 17:00:00,740.81,450,197,247,1165,195,16699,599
13242,2021-07-05 18:00:00,754.66,418,234,245,1200,195,16915,221
13243,2021-07-05 19:00:00,762.6,383,223,249,1301,195,16906,12
13244,2021-07-05 20:00:00,758.89,397,176,249,1492,195,16042,0
13245,2021-07-05 21:00:00,757.57,418,129,246,1514,196,15420,0
13246,2021-07-05 22:00:00,751.92,469,128,240,1500,196,14378,0
13247,2021-07-05 23:00:00,735.46,643,127,235,1383,195,12197,0
13248,2021-07-06 00:00:00,729.73,700,127,238,1386,196,11737,0
13249,2021-07-06 01:00:00,734.22,602,127,236,1382,196,11641,0
13250,2021-07-06 02:00:00,738.87,459,127,237,1381,196,11201,3
13251,2021-07-06 03:00:00,738.98,366,128,246,1400,195,11431,111
13252,2021-07-06 04:00:00,737.77,244,128,246,1499,195,13750,503
13253,2021-07-06 05:00:00,729.94,109,130,247,1547,194,15775,1081
13254,2021-07-06 06:00:00,708.97,72,148,247,1538,195,15980,1741
13255,2021-07-06 07:00:00,682.12,131,150,247,1487,196,14868,2291
13256,2021-07-06 08:00:00,664.06,253,153,245,1487,196,14619,2663
13257,2021-07-06 09:00:00,659.31,342,146,243,1483,192,14988,2827
13258,2021-07-06 10:00:00,655.13,469,135,245,1479,196,15360,2943
13259,2021-07-06 11:00:00,645.42,571,133,242,1473,195,15009,3076
13260,2021-07-06 12:00:00,645.7,644,129,246,1473,195,14721,2907
13261,2021-07-06 13:00:00,653.03,634,129,247,1473,196,14846,2706
13262,2021-07-06 14:00:00,666.18,593,128,245,1475,195,15112,2389
13263,2021-07-06 15:00:00,688.38,535,127,246,1506,194,15806,1888
13264,2021-07-06 16:00:00,713.23,445,137,247,1515,194,16223,1280
13265,2021-07-06 17:00:00,737.7,386,196,245,1530,195,16853,644
13266,2021-07-06 18:00:00,747.86,520,211,247,1543,195,16968,204
13267,2021-07-06 19:00:00,741.9,830,212,246,1559,196,16721,15
13268,2021-07-06 20:00:00,721.88,1341,184,247,1575,195,16128,0
13269,2021-07-06 21:00:00,698.92,1861,133,246,1542,195,15007,0
13270,2021-07-06 22:00:00,678.56,2109,135,240,1377,195,13215,0
13271,2021-07-06 23:00:00,660.92,2263,136,236,1376,196,11921,0
13272,2021-07-07 00:00:00,665.11,2165,136,237,1378,195,11949,0
13273,2021-07-07 01:00:00,677.33,1821,136,236,1376,194,11712,0
13274,2021-07-07 02:00:00,687.38,1613,136,235,1376,194,11849,6
13275,2021-07-07 03:00:00,695.93,1417,135,242,1386,194,12391,106
13276,2021-07-07 04:00:00,711.96,1072,133,249,1500,195,14902,453
13277,2021-07-07 05:00:00,717.4,594,135,245,1525,196,15985,963
13278,2021-07-07 06:00:00,708.9,333,191,245,1560,195,16616,1525
13279,2021-07-07 07:00:00,696.07,250,205,247,1588,194,16589,1990
13280,2021-07-07 08:00:00,683.92,294,161,246,1565,191,16371,2351
13281,2021-07-07 09:00:00,685.03,392,151,245,1554,195,16499,2252
13282,2021-07-07 10:00:00,681.41,496,145,245,1536,194,16599,2297
13283,2021-07-07 11:00:00,672.26,768,144,245,1534,195,16468,2295
13284,2021-07-07 12:00:00,661.47,1234,140,229,1527,193,15899,2053
13285,2021-07-07 13:00:00,659.94,1498,138,201,1480,195,15672,1803
13286,2021-07-07 14:00:00,667.27,1580,137,202,1485,194,15459,1416
13287,2021-07-07 15:00:00,674.54,1791,138,202,1519,193,15649,990
13288,2021-07-07 16:00:00,686.28,1675,150,201,1546,195,15883,766
13289,2021-07-07 17:00:00,709.34,1287,226,202,1539,195,16169,436
13290,2021-07-07 18:00:00,724.11,1143,244,201,1545,195,16373,160
13291,2021-07-07 19:00:00,731.61,1070,246,201,1562,195,16369,11
13292,2021-07-07 20:00:00,735.91,990,171,201,1565,195,15967,0
13293,2021-07-07 21:00:00,736.07,921,141,201,1489,195,14930,0
13294,2021-07-07 22:00:00,736.06,882,141,193,1388,196,14248,0
13295,2021-07-07 23:00:00,741.11,729,141,190,1380,194,13876,0
13296,2021-07-08 00:00:00,746.51,606,141,191,1382,195,13874,0
13297,2021-07-08 01:00:00,751.68,484,141,189,1381,195,13771,0
