UTC time,wind,hydro,solar,other,oil,nuclear,nat_gas,coal
2023-03-01T00,1171,3318,0,110,708,3239,8227,0
2023-03-01T01,1101,3631,0,107,710,3227,7977,0
2023-03-01T02,887,3861,0,107,704,3219,7805,0
2023-03-01T03,762,3658,0,108,706,3221,7212,0
2023-03-01T04,595,3178,0,113,664,3227,6477,0
2023-03-01T05,591,3182,0,110,635,3189,5637,0
2023-03-01T06,491,2880,0,108,613,3037,5271,0
2023-03-01T07,394,2948,0,105,593,3032,5183,0
2023-03-01T08,414,2847,0,105,591,3038,5047,0
2023-03-01T09,442,2897,0,108,593,3051,5082,0
2023-03-01T10,441,2993,0,108,594,3065,5301,0
2023-03-01T11,612,2982,0,112,621,3202,5688,0
2023-03-01T12,637,2802,0,108,676,3227,7038,0
2023-03-01T13,506,2869,0,125,705,3234,7575,0
2023-03-01T14,520,3019,0,155,653,3238,7176,0
2023-03-01T15,519,3276,0,164,671,3208,6834,0
2023-03-01T16,486,3273,0,166,706,3196,6443,0
2023-03-01T17,558,3213,0,178,640,3181,6047,0
2023-03-01T18,601,3021,0,155,642,3148,5957,0
2023-03-01T19,521,2966,0,142,615,3148,6184,0
2023-03-01T20,573,2918,0,135,650,3160,6368,0
2023-03-01T21,539,3049,0,125,627,3165,6604,0
2023-03-01T22,417,2922,0,118,699,3195,7074,0
2023-03-01T23,436,3277,0,117,700,3200,7507,0
