UTC time,wind,hydro,solar,other,oil,nuclear,nat_gas,coal
2023-03-03T00,538,3560,0,110,670,3193,7266,0
2023-03-03T01,417,3527,0,113,665,3182,7126,0
2023-03-03T02,342,3436,0,110,682,3177,7118,0
2023-03-03T03,277,3304,0,108,676,3175,6955,0
2023-03-03T04,231,2831,0,112,659,3199,5997,0
2023-03-03T05,185,3097,0,117,622,3170,5450,0
2023-03-03T06,183,2985,0,118,604,3091,4560,0
2023-03-03T07,192,2997,0,120,617,3147,4361,0
2023-03-03T08,110,2848,0,119,604,3082,4410,0
2023-03-03T09,79,2947,0,119,607,3108,4742,0
2023-03-03T10,58,2982,0,113,602,3071,4933,0
2023-03-03T11,59,3165,0,112,623,3179,5853,0
2023-03-03T12,121,3516,0,122,671,3181,6637,0
2023-03-03T13,218,3608,0,133,688,3177,6876,0
2023-03-03T14,223,3622,0,176,621,3179,6535,0
2023-03-03T15,207,3457,0,164,618,3177,6428,0
2023-03-03T16,301,3488,0,172,618,3178,5960,0
2023-03-03T17,338,3453,0,183,618,3167,5772,0
2023-03-03T18,373,3395,0,175,613,3143,5852,0
2023-03-03T19,523,3338,0,166,608,3135,6013,0
2023-03-03T20,703,3197,0,143,609,3136,6463,0
2023-03-03T21,842,3127,0,128,614,3163,6930,0
2023-03-03T22,902,3190,0,124,667,3178,6950,0
2023-03-03T23,1009,3423,0,119,699,3192,7253,0
