UTC time,wind,hydro,solar,other,oil,nuclear,nat_gas,coal
2023-03-02T00,504,3706,0,115,710,3216,7791,0
2023-03-02T01,626,3627,0,111,707,3214,7430,0
2023-03-02T02,653,3381,0,112,700,3201,7210,0
2023-03-02T03,721,3385,0,118,639,3199,6244,0
2023-03-02T04,747,2880,0,115,625,3169,5849,0
2023-03-02T05,800,2739,0,112,780,3153,5436,0
2023-03-02T06,778,2449,0,112,615,3053,5114,0
2023-03-02T07,722,2787,0,117,590,3089,4507,0
2023-03-02T08,763,2780,0,115,589,3094,4262,0
2023-03-02T09,656,2755,0,113,575,3017,4462,0
2023-03-02T10,716,2733,0,115,584,3064,4480,0
2023-03-02T11,555,3337,0,112,592,3108,5128,0
2023-03-02T12,478,3466,0,111,669,3181,6598,0
2023-03-02T13,512,3668,0,116,681,3189,7040,0
2023-03-02T14,621,3446,0,122,691,3206,7115,0
2023-03-02T15,726,3375,0,126,681,3194,7088,0
2023-03-02T16,737,3600,0,134,695,3162,7029,0
2023-03-02T17,621,3552,0,135,670,3139,6980,0
2023-03-02T18,702,3323,0,140,634,3125,6626,0
2023-03-02T19,750,3328,0,140,660,3120,6630,0
2023-03-02T20,713,3357,0,145,618,3125,6345,0
2023-03-02T21,618,3623,0,131,620,3132,6539,0
2023-03-02T22,635,3499,0,121,610,3164,6864,0
2023-03-02T23,573,3498,0,111,651,3189,7098,0
