,UTC time,carbon_intensity,wind,coal,nat_gas,nuclear,hydro,solar,other
0,2020-01-01 00:00:00,363.03,4209,8284,22209,5117,66,109,28
1,2020-01-01 01:00:00,362.72,5125,8988,22324,5116,66,0,24
2,2020-01-01 02:00:00,325.89,7386,7285,21058,5116,66,0,18
3,2020-01-01 03:00:00,296.91,9383,6317,19088,5116,66,0,15
4,2020-01-01 04:00:00,281.51,10450,5907,17667,5117,41,0,14
5,2020-01-01 05:00:00,267.89,11448,5775,15677,5117,39,0,17
6,2020-01-01 06:00:00,260.64,11934,5756,14320,5117,2,0,14
7,2020-01-01 07:00:00,249.75,12842,5787,12738,5117,20,0,17
8,2020-01-01 08:00:00,243.46,13340,5761,11982,5117,12,0,13
9,2020-01-01 09:00:00,235.71,13926,5726,11037,5117,3,0,15
10,2020-01-01 10:00:00,227.71,14458,5606,10334,5117,5,0,12
11,2020-01-01 11:00:00,224.15,14735,5503,10326,5117,42,0,13
12,2020-01-01 12:00:00,230.94,14366,5600,11083,5117,43,0,16
13,2020-01-01 13:00:00,236,14151,5656,11903,5117,68,0,13
14,2020-01-01 14:00:00,236.74,14287,5732,12059,5117,70,0,12
15,2020-01-01 15:00:00,236.74,14347,5714,12427,5117,70,109,13
16,2020-01-01 16:00:00,241.81,14041,5932,13140,5117,70,467,12
17,2020-01-01 17:00:00,246,14287,6349,13320,5117,106,491,16
18,2020-01-01 18:00:00,245.43,14472,6428,13390,5117,88,613,13
19,2020-01-01 19:00:00,250.26,14143,6539,13559,4983,116,583,14
20,2020-01-01 20:00:00,266.77,13921,7011,14086,3905,22,581,13
21,2020-01-01 21:00:00,264.07,14049,6859,13753,3905,3,455,12
22,2020-01-01 22:00:00,262.15,14212,6745,13594,3905,5,295,12
23,2020-01-01 23:00:00,268.17,14000,7018,13739,3905,42,154,11
24,2020-01-02 00:00:00,276.26,14580,7893,13912,3905,42,39,23
25,2020-01-02 01:00:00,267.76,15841,7891,13764,3905,42,0,22
26,2020-01-02 02:00:00,250.54,16783,7076,13250,3905,42,0,18
