UTC time,avg_wind_production_forecast,avg_solar_production_forecast,avg_nat_gas_production_forecast,avg_coal_production_forecast,avg_nuclear_production_forecast,avg_hydro_production_forecast,avg_other_production_forecast
2021-07-01 00:00:00,5186.99111,3468.60556,36475.06977,12548.26648,4983.63575,62.89048,58.28645
2021-07-01 01:00:00,5473.69715,1906.65884,34705.75753,12221.53686,5001.62303,55.05858,86.4505
2021-07-01 02:00:00,5750.25337,503.363,32189.0171,11509.33212,4993.0435,46.79372,0
2021-07-01 03:00:00,5642.59767,0,29947.90634,11100.98535,4980.69294,35.99502,31.29936
2021-07-01 04:00:00,5951.33819,0,27960.55853,10482.03952,4963.03559,31.664,40.10655
2021-07-01 05:00:00,5891.65873,0,25685.13934,10167.39857,4953.22554,20.5826,35.96095
2021-07-01 06:00:00,5546.68534,0,23708.27641,9185.59531,4958.55193,17.05466,24.86472
2021-07-01 07:00:00,5503.48049,0,22227.32539,8653.07053,4964.63693,15.75029,45.8787
2021-07-01 08:00:00,4838.62462,0,21173.22672,8179.61539,4961.56202,15.05239,44.82473
2021-07-01 09:00:00,4650.65879,0,21126.33816,8079.26254,4956.55199,18.77111,53.74195
2021-07-01 10:00:00,4014.35758,0,21607.36269,8452.37395,4961.86603,18.6051,0
2021-07-01 11:00:00,3934.41366,0,21990.94017,8866.03119,4962.09195,20.39632,10.97337
2021-07-01 12:00:00,3319.20222,31.51173,22780.91934,9741.90594,4983.44239,18.24973,59.84943
2021-07-01 13:00:00,3254.2956,553.78267,23665.45289,10367.4195,4987.74505,18.09198,45.1979
2021-07-01 14:00:00,2651.41764,1833.28091,25138.28969,10943.49298,4992.18164,16.55721,78.21786
2021-07-01 15:00:00,2530.31406,3438.61353,27282.55183,11318.0076,4943.74943,36.27132,75.66352
2021-07-01 16:00:00,2185.67935,4404.05892,30020.70504,11705.42757,4974.36998,56.31321,87.2132
2021-07-01 17:00:00,2448.53808,4742.61235,32426.92077,11924.89352,4971.096,73.03193,104.06999
2021-07-01 18:00:00,2305.86292,4764.21599,34985.15085,11979.8321,4964.37104,96.85805,109.39763
2021-07-01 19:00:00,2675.00836,4832.79716,36727.74255,11946.24761,4977.66355,110.86098,110.09813
2021-07-01 20:00:00,2684.42624,4598.70003,38145.43093,12281.86658,4979.40594,111.65289,69.13368
2021-07-01 21:00:00,3103.75316,4624.60398,38874.91468,12358.86085,4986.56545,111.42372,97.65435
2021-07-01 22:00:00,3609.20749,4450.75312,38338.84265,12406.12947,4976.28597,88.38185,92.75952
2021-07-01 23:00:00,4104.68848,4191.46547,36885.96911,12269.71827,4950.39507,85.82857,88.81793
2021-07-02 00:00:00,6024.7334,2764.61698,36803.05612,12797.17254,4875.96502,90.9377,48.38092
2021-07-02 01:00:00,5937.13616,1872.99159,34684.82524,12558.44819,4874.43806,73.79129,44.78917
2021-07-02 02:00:00,5956.20909,1016.93054,31871.79972,12197.84572,4871.46577,63.33909,37.70803
2021-07-02 03:00:00,6002.5032,388.23221,29056.18146,11633.69815,4877.23365,56.36337,40.26303
2021-07-02 04:00:00,5903.22628,406.50128,26537.85771,11044.68214,4880.85608,42.135,43.5541
2021-07-02 05:00:00,5862.77035,561.25635,23979.69972,10463.02388,4886.90127,34.98958,42.56309
2021-07-02 06:00:00,5849.69283,163.31723,21561.53834,9966.91949,4898.6466,26.0305,41.27845
2021-07-02 07:00:00,5741.2032,0,19808.99529,9422.74805,4906.14761,20.07189,36.10587
2021-07-02 08:00:00,5322.95237,0,18950.64585,8890.82595,4917.01226,9.05767,29.53583
2021-07-02 09:00:00,4860.38079,0,18254.08043,8641.49964,4927.67228,7.9306,26.92947
2021-07-02 10:00:00,4503.02648,0,18401.33613,8517.61422,4932.47075,15.36869,26.48567
2021-07-02 11:00:00,4278.11194,0,18944.52883,8761.22595,4935.17006,21.57821,23.4291
2021-07-02 12:00:00,4213.55428,257.78051,19531.17521,9218.63395,4938.41224,28.94411,20.2426
2021-07-02 13:00:00,4177.22488,846.08195,20784.60363,9896.6452,4942.84437,34.04575,52.40848
2021-07-02 14:00:00,3873.87174,1538.25364,22833.5428,10801.12373,4944.35142,53.56031,35.12521
2021-07-02 15:00:00,3661.636,2459.53335,25826.45394,11600.63706,4934.41437,67.29204,26.63807
2021-07-02 16:00:00,3419.601,3194.60681,28704.37014,11951.41283,4934.96343,82.39375,34.52721
2021-07-02 17:00:00,3220.20925,4073.11568,31306.99987,12239.95753,4904.77327,90.45545,16.64321
2021-07-02 18:00:00,3248.7062,4851.94056,33337.30532,12314.68702,4880.56905,97.17136,14.65492
2021-07-02 19:00:00,3202.4101,5463.64943,35136.25385,12304.12434,4863.80411,103.84374,37.22511
2021-07-02 20:00:00,3190.97291,5567.99909,36146.28166,12298.89597,4863.1137,99.8256,13.44527
2021-07-02 21:00:00,3596.53466,5220.78519,36581.055,12312.85162,4869.40379,101.19535,23.82892
2021-07-02 22:00:00,4032.61914,4364.85103,36154.09738,12078.3713,4868.45984,95.5182,13.80695
2021-07-02 23:00:00,4426.5669,3414.80096,34773.35055,11812.03313,4868.71724,95.10368,25.27616
2021-07-03 00:00:00,6385.88916,2715.19153,34436.71788,12761.61092,4776.05655,101.2188,48.38092
2021-07-03 01:00:00,6310.47713,1827.24435,32338.69539,12525.43762,4774.58175,81.87737,44.78917
2021-07-03 02:00:00,6339.05568,980.69816,29592.96296,12167.23675,4771.68446,70.15847,37.70803
2021-07-03 03:00:00,6398.52484,365.35518,26839.96565,11606.48635,4777.43012,62.27067,40.26303
2021-07-03 04:00:00,6309.04611,394.0985,24362.33556,11020.596,4781.38587,46.70341,43.5541
2021-07-03 05:00:00,6271.26844,555.81989,21875.84861,10441.44247,4787.46825,39.11975,42.56309
2021-07-03 06:00:00,6265.7162,165.66915,19585.79874,9947.24785,4799.01266,29.94855,41.27845
2021-07-03 07:00:00,6166.13543,0,17937.34468,9405.77198,4806.42433,23.85551,36.10587
2021-07-03 08:00:00,5754.65456,0,17168.45065,8876.5167,4816.98759,11.89732,29.53583
2021-07-03 09:00:00,5294.50584,0,16610.51479,8628.77321,4827.45951,11.09944,26.92947
2021-07-03 10:00:00,4926.80269,0,16895.77135,8505.96194,4832.36415,19.73928,26.48567
2021-07-03 11:00:00,4684.87715,0,17588.13763,8748.61387,4835.14786,26.79679,23.4291
2021-07-03 12:00:00,4599.87724,259.28758,18344.64186,9203.50591,4838.42755,35.33311,20.2426
2021-07-03 13:00:00,4535.53453,850.26365,19717.30187,9877.80286,4842.80026,41.12795,52.40848
2021-07-03 14:00:00,4201.08446,1541.68108,21803.39889,10777.66483,4844.57968,62.1263,35.12521
2021-07-03 15:00:00,3962.59947,2458.61243,24724.23811,11572.68015,4835.32934,76.62187,26.63807
2021-07-03 16:00:00,3700.8082,3189.87006,27497.76971,11920.98417,4835.88858,92.68185,34.52721
2021-07-03 17:00:00,3482.517,4058.56649,29974.40193,12207.67102,4807.47306,101.1951,16.64321
2021-07-03 18:00:00,3491.01852,4819.74171,31899.16052,12281.82659,4784.83268,108.51883,14.65492
2021-07-03 19:00:00,3418.74551,5415.63149,33556.48586,12271.15726,4769.10105,115.70586,37.22511
2021-07-03 20:00:00,3396.16336,5515.71744,34446.40533,12265.84189,4768.68748,110.80061,13.44527
2021-07-03 21:00:00,3795.56649,5167.75632,34750.63016,12279.89928,4775.04763,112.18572,23.82892
2021-07-03 22:00:00,4232.49453,4311.75423,34222.82953,12046.94074,4774.35768,105.69688,13.80695
2021-07-03 23:00:00,4627.64044,3363.23345,32815.33044,11782.89262,4774.81415,104.83462,25.27616
2021-07-04 00:00:00,7260.00993,2758.47747,34699.20213,12959.88485,4733.68712,104.73691,48.38092
2021-07-04 01:00:00,7182.32035,1839.38347,32353.87405,12649.03398,4732.23424,83.6519,44.78917
2021-07-04 02:00:00,7193.18799,971.89762,29374.21791,12216.43408,4729.36889,70.60474,37.70803
2021-07-04 03:00:00,7235.87702,350.74655,26463.4728,11589.70814,4735.10483,61.6855,40.26303
2021-07-04 04:00:00,7123.67716,392.74348,23927.24209,10932.35358,4739.20224,44.77987,43.5541
2021-07-04 05:00:00,7050.65414,571.50523,21481.84104,10299.4121,4745.30036,36.12562,42.56309
2021-07-04 06:00:00,7017.11247,174.40141,19293.98967,9768.23301,4756.75959,26.54578,41.27845
2021-07-04 07:00:00,6890.64556,0,17824.78097,9190.71002,4764.1336,20.30108,36.10587
2021-07-04 08:00:00,6447.37978,0,17303.57901,8629.18926,4774.56879,7.95628,29.53583
2021-07-04 09:00:00,5954.78404,0,17010.64805,8366.58926,4784.96107,7.35079,26.92947
2021-07-04 10:00:00,5547.25921,0,17591.71671,8245.38817,4789.91046,16.78839,26.48567
2021-07-04 11:00:00,5266.26563,0,18592.72038,8503.44037,4792.73013,24.86569,23.4291
2021-07-04 12:00:00,5150.58078,272.80539,19610.00008,8997.77952,4796.02556,34.54866,20.2426
2021-07-04 13:00:00,5057.59052,890.16157,21193.75237,9733.2397,4800.37327,41.24357,52.40848
2021-07-04 14:00:00,4695.43696,1606.35508,23446.10796,10707.64312,4802.26828,63.87964,35.12521
2021-07-04 15:00:00,4441.68977,2554.84928,26498.07539,11587.1571,4793.30897,79.60686,26.63807
2021-07-04 16:00:00,4183.98556,3311.37099,29332.76574,12010.45861,4793.87254,97.0327,34.52721
2021-07-04 17:00:00,3971.06715,4199.95663,31799.4942,12372.03,4766.20977,106.34213,16.64321
2021-07-04 18:00:00,3987.93717,4970.0679,33610.33647,12505.55269,4744.23265,114.10894,14.65492
2021-07-04 19:00:00,3912.37321,5566.6317,35080.84586,12535.9568,4728.93927,121.50991,37.22511
