UTC time,nat_gas,hydro
2023-08-15 00:00:00,345.0,122.0
2023-08-15 01:00:00,344.0,122.0
2023-08-15 02:00:00,365.0,122.0
2023-08-15 03:00:00,365.0,122.0
2023-08-15 04:00:00,369.0,122.0
2023-08-15 05:00:00,374.0,122.0
2023-08-15 06:00:00,334.0,122.0
2023-08-15 07:00:00,277.0,122.0
2023-08-15 08:00:00,258.0,122.0
2023-08-15 09:00:00,238.0,122.0
2023-08-15 10:00:00,237.0,122.0
2023-08-15 11:00:00,237.0,122.0
2023-08-15 12:00:00,286.0,122.0
2023-08-15 13:00:00,299.0,122.0
2023-08-15 14:00:00,294.0,122.0
2023-08-15 15:00:00,271.0,122.0
2023-08-15 16:00:00,294.0,122.0
2023-08-15 17:00:00,299.0,122.0
2023-08-15 18:00:00,277.0,122.0
2023-08-15 19:00:00,278.0,122.0
2023-08-15 20:00:00,294.0,122.0
2023-08-15 21:00:00,339.0,122.0
2023-08-15 22:00:00,348.0,122.0
2023-08-15 23:00:00,346.0,122.0
