UTC time,nat_gas,hydro
2023-07-01 00:00:00,370.0,99.0
2023-07-01 01:00:00,355.0,99.0
2023-07-01 02:00:00,345.0,100.0
2023-07-01 03:00:00,366.0,99.0
2023-07-01 04:00:00,367.0,99.0
2023-07-01 05:00:00,337.0,99.0
2023-07-01 06:00:00,302.0,99.0
2023-07-01 07:00:00,227.0,99.0
2023-07-01 08:00:00,199.0,99.0
2023-07-01 09:00:00,192.0,99.0
2023-07-01 10:00:00,186.0,99.0
2023-07-01 11:00:00,187.0,99.0
2023-07-01 12:00:00,186.0,99.0
2023-07-01 13:00:00,184.0,99.0
2023-07-01 14:00:00,174.0,99.0
2023-07-01 15:00:00,166.0,99.0
2023-07-01 16:00:00,167.0,99.0
2023-07-01 17:00:00,167.0,99.0
2023-07-01 18:00:00,167.0,99.0
2023-07-01 19:00:00,222.0,99.0
2023-07-01 20:00:00,226.0,99.0
2023-07-01 21:00:00,247.0,99.0
2023-07-01 22:00:00,254.0,99.0
2023-07-01 23:00:00,252.0,99.0
