UTC time,nat_gas,coal,solar,hydro,biomass,nuclear,oil,unknown,geothermal,wind
2019-01-01 00:00,13695.0,31135.0,0.0,6215.0,22297.0,34141.0,,2171.0,76.0,100935.0
2019-01-01 01:00,12763.0,30278.0,0.0,6044.0,22144.0,31816.0,,1915.0,76.0,102694.0
2019-01-01 02:00,12624.0,30510.0,0.0,5979.0,22042.0,28887.0,,1900.0,76.0,108760.0
2019-01-01 03:00,12910.0,29949.0,0.0,5833.0,22081.0,28480.0,,1892.0,72.0,115908.0
2019-01-01 04:00,12860.0,29551.0,0.0,5540.0,22093.0,28243.0,,1892.0,72.0,121113.0
2019-01-01 05:00,12722.0,28924.0,0.0,5665.0,22190.0,28141.0,,1888.0,71.0,126208.0
2019-01-01 06:00,12929.0,28882.0,0.0,5728.0,22281.0,28692.0,,1888.0,72.0,129437.0
2019-01-01 07:00,13191.0,28745.0,337.0,5784.0,22339.0,28622.0,,1888.0,72.0,132544.0
2019-01-01 08:00,13412.0,30282.0,2331.0,5933.0,22370.0,27960.0,,1888.0,72.0,131781.0
2019-01-01 09:00,13383.0,30582.0,5475.0,6142.0,22497.0,26559.0,,1888.0,69.0,135589.0
2019-01-01 10:00,13666.0,30720.0,8213.0,6294.0,22470.0,26834.0,,1889.0,68.0,143224.0
2019-01-01 11:00,13812.0,31020.0,8927.0,6402.0,22423.0,27817.0,,1889.0,69.0,144522.0
2019-01-01 12:00,13629.0,31061.0,8026.0,6288.0,22329.0,27811.0,,1892.0,68.0,146563.0
2019-01-01 13:00,13506.0,31090.0,5189.0,6424.0,22284.0,28066.0,,1892.0,68.0,148253.0
2019-01-01 14:00,13328.0,31399.0,1780.0,6240.0,22181.0,29082.0,,1891.0,68.0,147361.0
2019-01-01 15:00,13509.0,30771.0,87.0,6239.0,22236.0,30025.0,,1888.0,68.0,151861.0
2019-01-01 16:00,13509.0,30916.0,0.0,5781.0,22242.0,30617.0,,1888.0,68.0,154114.0
2019-01-01 17:00,13262.0,30544.0,0.0,5724.0,22364.0,29996.0,,1888.0,68.0,154238.0
2019-01-01 18:00,13195.0,30626.0,0.0,5669.0,22291.0,28398.0,,1888.0,68.0,152844.0
2019-01-01 19:00,13256.0,30428.0,0.0,5635.0,22174.0,26394.0,,1890.0,68.0,152515.0
2019-01-01 20:00,12906.0,30624.0,0.0,5591.0,22130.0,24607.0,,1892.0,71.0,150877.0
2019-01-01 21:00,13014.0,30470.0,0.0,5542.0,21989.0,24305.0,,1892.0,72.0,146706.0
