UTC time,nat_gas,hydro,solar,wind,biomass
2023-01-01 00:00:00,0.0,84.0,0.0,172.0,174.0
2023-01-01 01:00:00,1.0,84.0,0.0,181.0,169.0
2023-01-01 02:00:00,4.0,84.0,0.0,181.0,172.0
2023-01-01 03:00:00,2.0,84.0,0.0,169.0,172.0
2023-01-01 04:00:00,1.0,84.0,0.0,169.0,171.0
2023-01-01 05:00:00,68.0,84.0,0.0,170.0,171.0
2023-01-01 06:00:00,72.0,84.0,0.0,160.0,171.0
2023-01-01 07:00:00,63.0,84.0,1.0,147.0,169.0
2023-01-01 08:00:00,59.0,84.0,13.0,325.0,171.0
2023-01-01 09:00:00,61.0,84.0,19.0,315.0,172.0
2023-01-01 10:00:00,54.0,84.0,34.0,301.0,173.0
2023-01-01 11:00:00,55.0,84.0,74.0,318.0,168.0
2023-01-01 12:00:00,66.0,84.0,52.0,267.0,173.0
2023-01-01 13:00:00,65.0,83.0,38.0,246.0,172.0
2023-01-01 14:00:00,63.0,84.0,12.0,200.0,176.0
2023-01-01 15:00:00,60.0,84.0,1.0,166.0,163.0
2023-01-01 16:00:00,61.0,84.0,0.0,234.0,170.0
2023-01-01 17:00:00,62.0,84.0,0.0,354.0,172.0
2023-01-01 18:00:00,65.0,84.0,0.0,459.0,168.0
2023-01-01 19:00:00,62.0,84.0,0.0,487.0,171.0
2023-01-01 20:00:00,57.0,84.0,0.0,507.0,171.0
2023-01-01 21:00:00,6.0,84.0,0.0,493.0,172.0
2023-01-01 22:00:00,0.0,84.0,0.0,474.0,172.0
2023-01-01 23:00:00,4.0,84.0,0.0,438.0,167.0
2023-01-02 00:00:00,4.0,84.0,0.0,452.0,169.0
2023-01-02 01:00:00,4.0,84.0,0.0,471.0,170.0
2023-01-02 02:00:00,4.0,84.0,0.0,463.0,170.0
2023-01-02 03:00:00,4.0,84.0,0.0,437.0,172.0
2023-01-02 04:00:00,5.0,84.0,0.0,429.0,169.0
2023-01-02 05:00:00,72.0,84.0,0.0,434.0,168.0
2023-01-02 06:00:00,73.0,84.0,0.0,473.0,171.0
2023-01-02 07:00:00,71.0,84.0,0.0,480.0,164.0
2023-01-02 08:00:00,80.0,84.0,10.0,429.0,159.0
2023-01-02 09:00:00,72.0,84.0,22.0,328.0,158.0
2023-01-02 10:00:00,79.0,84.0,23.0,193.0,155.0
2023-01-02 11:00:00,80.0,84.0,39.0,181.0,155.0
2023-01-02 12:00:00,85.0,84.0,42.0,232.0,160.0
2023-01-02 13:00:00,78.0,84.0,31.0,248.0,161.0
2023-01-02 14:00:00,73.0,84.0,19.0,305.0,163.0
2023-01-02 15:00:00,76.0,85.0,6.0,377.0,165.0
2023-01-02 16:00:00,77.0,85.0,0.0,382.0,164.0
2023-01-02 17:00:00,81.0,84.0,0.0,360.0,166.0
2023-01-02 18:00:00,79.0,84.0,0.0,341.0,161.0
2023-01-02 19:00:00,75.0,84.0,0.0,304.0,162.0
2023-01-02 20:00:00,75.0,84.0,0.0,344.0,164.0
2023-01-02 21:00:00,8.0,84.0,0.0,291.0,165.0
2023-01-02 22:00:00,4.0,84.0,0.0,207.0,160.0
2023-01-02 23:00:00,4.0,84.0,0.0,149.0,87.0
2023-01-03 00:00:00,4.0,84.0,0.0,143.0,86.0
2023-01-03 01:00:00,4.0,84.0,0.0,153.0,85.0
2023-01-03 02:00:00,4.0,84.0,0.0,147.0,88.0
2023-01-03 03:00:00,4.0,84.0,0.0,155.0,85.0
2023-01-03 04:00:00,5.0,84.0,0.0,115.0,84.0
2023-01-03 05:00:00,80.0,84.0,0.0,132.0,72.0
2023-01-03 06:00:00,89.0,84.0,0.0,148.0,83.0
2023-01-03 07:00:00,83.0,84.0,0.0,159.0,81.0
2023-01-03 08:00:00,77.0,84.0,15.0,166.0,84.0
2023-01-03 09:00:00,78.0,87.0,47.0,172.0,84.0
2023-01-03 10:00:00,84.0,88.0,57.0,196.0,83.0
2023-01-03 11:00:00,87.0,88.0,100.0,254.0,83.0
2023-01-03 12:00:00,79.0,87.0,138.0,259.0,84.0
2023-01-03 13:00:00,75.0,66.0,123.0,195.0,83.0
2023-01-03 14:00:00,74.0,64.0,52.0,183.0,81.0
2023-01-03 15:00:00,82.0,64.0,4.0,195.0,83.0
2023-01-03 16:00:00,85.0,65.0,0.0,184.0,85.0
2023-01-03 17:00:00,83.0,88.0,0.0,223.0,84.0
2023-01-03 18:00:00,81.0,88.0,0.0,293.0,86.0
2023-01-03 19:00:00,75.0,88.0,0.0,344.0,89.0
2023-01-03 20:00:00,70.0,88.0,0.0,385.0,90.0
2023-01-03 21:00:00,10.0,66.0,0.0,419.0,90.0
2023-01-03 22:00:00,4.0,64.0,0.0,468.0,89.0
2023-01-03 23:00:00,4.0,64.0,0.0,519.0,169.0
2023-01-04 00:00:00,4.0,64.0,0.0,529.0,167.0
2023-01-04 01:00:00,4.0,66.0,0.0,542.0,160.0
2023-01-04 02:00:00,4.0,67.0,0.0,540.0,156.0
2023-01-04 03:00:00,4.0,67.0,0.0,535.0,155.0
2023-01-04 04:00:00,5.0,65.0,0.0,538.0,158.0
2023-01-04 05:00:00,73.0,64.0,0.0,541.0,157.0
2023-01-04 06:00:00,81.0,67.0,0.0,539.0,161.0
2023-01-04 07:00:00,79.0,87.0,0.0,535.0,153.0
2023-01-04 08:00:00,84.0,86.0,6.0,545.0,157.0
2023-01-04 09:00:00,81.0,65.0,17.0,538.0,159.0
2023-01-04 10:00:00,76.0,64.0,26.0,541.0,149.0
2023-01-04 11:00:00,77.0,64.0,37.0,547.0,151.0
2023-01-04 12:00:00,74.0,64.0,36.0,549.0,159.0
2023-01-04 13:00:00,77.0,64.0,27.0,560.0,156.0
2023-01-04 14:00:00,76.0,65.0,14.0,563.0,151.0
2023-01-04 15:00:00,76.0,65.0,1.0,559.0,147.0
2023-01-04 16:00:00,84.0,66.0,0.0,561.0,145.0
2023-01-04 17:00:00,80.0,88.0,0.0,517.0,142.0
2023-01-04 18:00:00,77.0,88.0,0.0,529.0,140.0
2023-01-04 19:00:00,74.0,88.0,0.0,524.0,137.0
2023-01-04 20:00:00,70.0,88.0,0.0,517.0,144.0
2023-01-04 21:00:00,6.0,68.0,0.0,423.0,146.0
2023-01-04 22:00:00,4.0,65.0,0.0,490.0,136.0
2023-01-04 23:00:00,2.0,68.0,0.0,500.0,134.0
2023-01-05 00:00:00,0.0,68.0,0.0,510.0,130.0
2023-01-05 01:00:00,3.0,65.0,0.0,473.0,133.0
2023-01-05 02:00:00,4.0,68.0,0.0,457.0,131.0
2023-01-05 03:00:00,4.0,68.0,0.0,454.0,131.0
2023-01-05 04:00:00,5.0,68.0,0.0,403.0,129.0
2023-01-05 05:00:00,79.0,68.0,0.0,386.0,123.0
2023-01-05 06:00:00,87.0,68.0,0.0,392.0,124.0
2023-01-05 07:00:00,81.0,87.0,0.0,392.0,127.0
2023-01-05 08:00:00,82.0,84.0,19.0,342.0,128.0
2023-01-05 09:00:00,74.0,48.0,59.0,310.0,128.0
2023-01-05 10:00:00,74.0,48.0,100.0,273.0,130.0
2023-01-05 11:00:00,71.0,48.0,115.0,257.0,133.0
2023-01-05 12:00:00,63.0,48.0,92.0,170.0,133.0
2023-01-05 13:00:00,75.0,48.0,60.0,120.0,132.0
2023-01-05 14:00:00,75.0,48.0,20.0,91.0,132.0
2023-01-05 15:00:00,81.0,48.0,4.0,142.0,139.0
2023-01-05 16:00:00,80.0,48.0,0.0,217.0,144.0
2023-01-05 17:00:00,82.0,87.0,0.0,236.0,132.0
2023-01-05 18:00:00,80.0,88.0,0.0,191.0,138.0
2023-01-05 19:00:00,77.0,87.0,0.0,216.0,150.0
2023-01-05 20:00:00,72.0,88.0,0.0,244.0,148.0
2023-01-05 21:00:00,7.0,48.0,0.0,340.0,141.0
2023-01-05 22:00:00,4.0,48.0,0.0,251.0,131.0
2023-01-05 23:00:00,4.0,48.0,0.0,265.0,134.0
2023-01-06 00:00:00,1.0,48.0,0.0,307.0,148.0
2023-01-06 01:00:00,1.0,48.0,0.0,331.0,136.0
2023-01-06 02:00:00,4.0,48.0,0.0,339.0,134.0
2023-01-06 03:00:00,7.0,48.0,0.0,374.0,134.0
2023-01-06 04:00:00,9.0,48.0,0.0,295.0,137.0
2023-01-06 05:00:00,78.0,64.0,0.0,307.0,134.0
2023-01-06 06:00:00,86.0,65.0,0.0,316.0,142.0
2023-01-06 07:00:00,87.0,88.0,1.0,304.0,146.0
2023-01-06 08:00:00,88.0,88.0,23.0,347.0,136.0
2023-01-06 09:00:00,86.0,84.0,56.0,375.0,138.0
2023-01-06 10:00:00,78.0,83.0,55.0,319.0,127.0
2023-01-06 11:00:00,79.0,65.0,64.0,306.0,134.0
2023-01-06 12:00:00,84.0,64.0,69.0,309.0,118.0
2023-01-06 13:00:00,81.0,68.0,56.0,318.0,96.0
2023-01-06 14:00:00,77.0,66.0,28.0,314.0,101.0
2023-01-06 15:00:00,69.0,64.0,3.0,283.0,135.0
2023-01-06 16:00:00,78.0,65.0,0.0,255.0,143.0
