Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,nuclear,hydro,solar,wind,biomass
43368,2023-12-13 00:00:00,2024-07-17 00:00:00,3.1,362.99,1682.0,332.0,2121.0,84.0,0.0,101.0,18.0
43369,2023-12-13 01:00:00,2024-07-17 00:00:00,3.1,365.68,1676.0,332.0,2121.0,84.0,0.0,60.0,19.0
43370,2023-12-13 02:00:00,2024-07-17 00:00:00,3.1,370.05,1694.0,331.0,2121.0,84.0,0.0,30.0,19.0
43371,2023-12-13 03:00:00,2024-07-17 00:00:00,3.1,378.46,1778.0,334.0,2121.0,87.0,0.0,31.0,19.0
43372,2023-12-13 04:00:00,2024-07-17 00:00:00,3.1,392.71,1950.0,336.0,2122.0,120.0,0.0,28.0,19.0
43373,2023-12-13 05:00:00,2024-07-17 00:00:00,3.1,394.34,2131.0,337.0,2124.0,275.0,5.0,54.0,18.0
43374,2023-12-13 06:00:00,2024-07-17 00:00:00,3.1,380.5,2203.0,336.0,2122.0,372.0,130.0,119.0,19.0
43375,2023-12-13 07:00:00,2024-07-17 00:00:00,3.1,359.46,2148.0,335.0,2122.0,356.0,403.0,135.0,19.0
43376,2023-12-13 08:00:00,2024-07-17 00:00:00,3.1,331.35,1867.0,333.0,2120.0,211.0,584.0,169.0,19.0
43377,2023-12-13 09:00:00,2024-07-17 00:00:00,3.1,330.12,1847.0,339.0,2122.0,121.0,612.0,221.0,19.0
43378,2023-12-13 10:00:00,2024-07-17 00:00:00,3.1,330.78,1856.0,337.0,2123.0,99.0,621.0,235.0,19.0
43379,2023-12-13 11:00:00,2024-07-17 00:00:00,3.1,336.77,1857.0,341.0,2125.0,95.0,440.0,305.0,19.0
43380,2023-12-13 12:00:00,2024-07-17 00:00:00,3.1,334.67,1842.0,350.0,2123.0,95.0,369.0,386.0,19.0
43381,2023-12-13 13:00:00,2024-07-17 00:00:00,3.1,340.81,1834.0,354.0,2121.0,96.0,197.0,435.0,19.0
43382,2023-12-13 14:00:00,2024-07-17 00:00:00,3.1,341.25,1865.0,352.0,2122.0,218.0,21.0,512.0,19.0
43383,2023-12-13 15:00:00,2024-07-17 00:00:00,3.1,341.43,1948.0,354.0,2121.0,376.0,1.0,497.0,20.0
43384,2023-12-13 16:00:00,2024-07-17 00:00:00,3.1,339.27,2032.0,360.0,2122.0,550.0,1.0,490.0,19.0
43385,2023-12-13 17:00:00,2024-07-17 00:00:00,3.1,331.88,1909.0,359.0,2123.0,506.0,0.0,473.0,19.0
43386,2023-12-13 18:00:00,2024-07-17 00:00:00,3.1,338.61,1891.0,358.0,2124.0,336.0,0.0,497.0,21.0
43387,2023-12-13 19:00:00,2024-07-17 00:00:00,3.1,348.02,1896.0,358.0,2124.0,198.0,0.0,491.0,20.0
43388,2023-12-13 20:00:00,2024-07-17 00:00:00,3.1,353.45,1910.0,359.0,2122.0,151.0,0.0,477.0,20.0
43389,2023-12-13 21:00:00,2024-07-17 00:00:00,3.1,352.52,1862.0,359.0,2122.0,123.0,0.0,452.0,20.0
43390,2023-12-13 22:00:00,2024-07-17 00:00:00,3.1,352.53,1837.0,349.0,2121.0,82.0,0.0,454.0,20.0
43391,2023-12-13 23:00:00,2024-07-17 00:00:00,3.1,347.16,1771.0,350.0,2122.0,83.0,0.0,437.0,21.0
