,Wind Onshore
2019-01-01 02:00:00+02:00,1451.0
2019-01-01 03:00:00+02:00,1374.0
2019-01-01 04:00:00+02:00,1191.0
2019-01-01 05:00:00+02:00,1007.0
2019-01-01 06:00:00+02:00,817.0
2019-01-01 07:00:00+02:00,649.0
2019-01-01 08:00:00+02:00,505.0
2019-01-01 09:00:00+02:00,411.0
2019-01-01 10:00:00+02:00,392.0
2019-01-01 11:00:00+02:00,439.0
2019-01-01 12:00:00+02:00,543.0
2019-01-01 13:00:00+02:00,758.0
2019-01-01 14:00:00+02:00,1071.0
2019-01-01 15:00:00+02:00,1340.0
2019-01-01 16:00:00+02:00,1508.0
2019-01-01 17:00:00+02:00,1585.0
2019-01-01 18:00:00+02:00,1633.0
2019-01-01 19:00:00+02:00,1690.0
2019-01-01 20:00:00+02:00,1722.0
2019-01-01 21:00:00+02:00,1737.0
2019-01-01 22:00:00+02:00,1747.0
2019-01-01 23:00:00+02:00,1769.0
2019-01-02 00:00:00+02:00,1757.0
2019-01-02 01:00:00+02:00,1762.0
2019-01-02 02:00:00+02:00,1281.0
2019-01-02 03:00:00+02:00,1323.0
2019-01-02 04:00:00+02:00,1303.0
2019-01-02 05:00:00+02:00,1343.0
2019-01-02 06:00:00+02:00,1379.0
2019-01-02 07:00:00+02:00,1405.0
2019-01-02 08:00:00+02:00,1425.0
2019-01-02 09:00:00+02:00,1431.0
2019-01-02 10:00:00+02:00,1433.0
2019-01-02 11:00:00+02:00,1434.0
2019-01-02 12:00:00+02:00,1425.0
2019-01-02 13:00:00+02:00,1368.0
2019-01-02 14:00:00+02:00,1318.0
2019-01-02 15:00:00+02:00,1272.0
2019-01-02 16:00:00+02:00,1223.0
2019-01-02 17:00:00+02:00,1180.0
2019-01-02 18:00:00+02:00,1145.0
2019-01-02 19:00:00+02:00,1108.0
2019-01-02 20:00:00+02:00,1079.0
2019-01-02 21:00:00+02:00,1051.0
2019-01-02 22:00:00+02:00,1013.0
2019-01-02 23:00:00+02:00,967.0
2019-01-03 00:00:00+02:00,916.0
2019-01-03 01:00:00+02:00,868.0
2019-01-03 02:00:00+02:00,1008.0
2019-01-03 03:00:00+02:00,859.0
2019-01-03 04:00:00+02:00,701.0
2019-01-03 05:00:00+02:00,610.0
2019-01-03 06:00:00+02:00,516.0
2019-01-03 07:00:00+02:00,441.0
2019-01-03 08:00:00+02:00,378.0
2019-01-03 09:00:00+02:00,336.0
2019-01-03 10:00:00+02:00,324.0
2019-01-03 11:00:00+02:00,341.0
2019-01-03 12:00:00+02:00,401.0
2019-01-03 13:00:00+02:00,535.0
2019-01-03 14:00:00+02:00,673.0
2019-01-03 15:00:00+02:00,806.0
2019-01-03 16:00:00+02:00,962.0
2019-01-03 17:00:00+02:00,1123.0
2019-01-03 18:00:00+02:00,1253.0
2019-01-03 19:00:00+02:00,1325.0
2019-01-03 20:00:00+02:00,1326.0
2019-01-03 21:00:00+02:00,1262.0
2019-01-03 22:00:00+02:00,1151.0
2019-01-03 23:00:00+02:00,995.0
2019-01-04 00:00:00+02:00,758.0
