UTC time,coal,nat_gas,solar,wind
2023-06-23 00:00:00,1324.0,332.0,116.0,405.0
2023-06-23 01:00:00,1348.0,332.0,111.0,436.0
2023-06-23 02:00:00,1335.0,332.0,58.0,472.0
2023-06-23 03:00:00,1378.0,332.0,6.0,495.0
2023-06-23 04:00:00,1384.0,331.0,0.0,484.0
2023-06-23 05:00:00,1350.0,331.0,0.0,427.0
2023-06-23 06:00:00,1345.0,330.0,0.0,389.0
2023-06-23 07:00:00,1331.0,330.0,0.0,334.0
2023-06-23 08:00:00,1350.0,331.0,0.0,331.0
2023-06-23 09:00:00,1348.0,331.0,0.0,357.0
2023-06-23 10:00:00,1337.0,332.0,0.0,242.0
2023-06-23 11:00:00,1332.0,331.0,0.0,130.0
2023-06-23 12:00:00,1328.0,332.0,0.0,30.0
2023-06-23 13:00:00,1324.0,330.0,3.0,57.0
2023-06-23 14:00:00,1200.0,330.0,52.0,7.0
2023-06-23 15:00:00,945.0,331.0,114.0,22.0
2023-06-23 16:00:00,956.0,331.0,131.0,14.0
2023-06-23 17:00:00,973.0,332.0,131.0,44.0
2023-06-23 18:00:00,988.0,331.0,131.0,81.0
2023-06-23 19:00:00,1030.0,333.0,130.0,140.0
2023-06-23 20:00:00,977.0,331.0,128.0,201.0
2023-06-23 21:00:00,1013.0,331.0,127.0,272.0
2023-06-23 22:00:00,1026.0,331.0,127.0,431.0
2023-06-23 23:00:00,1042.0,331.0,126.0,467.0
